scientific name,genus name,family name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,woodiness
Cardamine changbaiana,NA,Brassicaceae,Ìì³ØËéÃ×Üù,7,8,7,8,CB
Cardamine impatiens,Cardamine,Brassicaceae,µ¯ÁÑËéÃ×Üù,4,6,5,7,CB
Cardamine komarovii,NA,Brassicaceae,Òí±úËéÃ×Üù,5,6,5,6,CB
Cardamine leucantha,Cardamine,Brassicaceae,°×»¨ËéÃ×Üù,5,7,5,7,CB
Cardamine lyrata,Cardamine,Brassicaceae,Ë®ÌïËéÃ×Üù,6,7,7,7,CB
Cardamine macrophylla,Cardamine,Brassicaceae,´óÒ¶ËéÃ×Üù,5,6,7,8,CB
Cardamine prorepens,Cardamine,Brassicaceae,¸¡Ë®ËéÃ×Üù,6,8,7,9,CB
Cardamine scutata,Cardamine,Brassicaceae,Ô²³İËéÃ×Üù,4,5,8,9,CB
Cardamine trifida,Cardamine,Brassicaceae,Ï¸Ò¶ËéÃ×Üù,5,6,6,7,CB
Carduus crispus,NA,Asteraceae,Ë¿Ã«·ÉÁ®,5,9,5,9,CB
Carex angarae,NA,Cyperaceae,Ô²ËëŞ·²İ,6,8,6,8,CB
Carex angustior,NA,Cyperaceae,Ğ¡ĞÇËëŞ·²İ,NA,NA,NA,NA,CB
Carex aperta,NA,Cyperaceae,ÑÇÃÀŞ·²İ,NA,NA,NA,NA,CB
Carex appendiculata,NA,Cyperaceae,»ÒÂöŞ·²İ,6,7,6,7,CB
Carex arnellii,Carex,Cyperaceae,Âé¸ùŞ·²İ,5,6,5,6,CB
Carex atrata,NA,Cyperaceae,ºÚËëŞ·²İ,NA,NA,NA,NA,CB
Carex bostrychostigma,Carex,Cyperaceae,¾íÖùÍ·Ş·²İ,5,7,5,7,CB
Carex breviculmis,Carex,Cyperaceae,ÇàÂÌŞ·²İ,3,6,3,6,CB
Carex caespititia,Carex,Cyperaceae,´ÔÉúŞ·²İ,6,6,6,6,CB
Carex caespitosa,Carex,Cyperaceae,´ÔŞ·²İ,6,7,6,7,CB
Carex callitrichos,NA,Cyperaceae,ÑòĞë²İ,4,7,4,7,CB
Carex callitrichos var. nana,NA,Cyperaceae,°«´ÔŞ·²İ,4,7,4,7,CB
Carex capillacea,Carex,Cyperaceae,·¢¸ÑŞ·²İ,4,5,4,5,CB
Carex capillaris,Carex,Cyperaceae,Ï¸¸ÑŞ·²İ,6,7,6,7,CB
Carex capricornis,Carex,Cyperaceae,¹­à¹Ş·²İ,5,8,5,8,CB
Carex cinerascens,Carex,Cyperaceae,»Ò»¯Ş·²İ,4,5,4,5,CB
Carex diandra,NA,Cyperaceae,Ô²×¶Ş·²İ,7,7,7,7,CB
Carex dispalata,NA,Cyperaceae,Öå¹ûŞ·²İ,5,7,5,7,CB
Carex disperma,NA,Cyperaceae,¶ş×ÑŞ·²İ,6,7,6,7,CB
Carex drymophila,Carex,Cyperaceae,Ò°óÒŞ·²İ,6,8,6,8,CB
Carex drymophila var. abbreviata,NA,Cyperaceae,ºÚË®Ş·²İ,6,7,6,7,CB
Carex duriuscula,Carex,Cyperaceae,´ç²İ,4,6,4,6,CB
Carex duriuscula subsp. rigescens,NA,Cyperaceae,°×Ó±Ş·²İ,NA,NA,NA,NA,CB
Carex eleusinoides,Carex,Cyperaceae,ó¬ó°Ş·²İ,8,9,8,9,CB
Carex enervis,NA,Cyperaceae,ÎŞÂöŞ·²İ,6,8,6,8,CB
Carex eremopyroides,Carex,Cyperaceae,ÀëËëŞ·²İ,5,7,5,7,CB
Carex eriophylla,NA,Cyperaceae,Ã«Ò¶Ş·²İ,6,7,6,7,CB
Carex erythrobasis,NA,Cyperaceae,ºìÇÊŞ·²İ,6,7,6,7,CB
Carex forficula,NA,Cyperaceae,ÏªË®Ş·²İ,7,8,7,8,CB
Carex globularis,Carex,Cyperaceae,Óñô¢Ş·²İ,6,8,6,8,CB
Carex gmelinii,NA,Cyperaceae,³¤Ã¢Ş·²İ,NA,NA,NA,NA,CB
Carex gotoi,Carex,Cyperaceae,²æ³İŞ·²İ,5,6,5,6,CB
Carex gynocrates,NA,Cyperaceae,ÒìÖêŞ·²İ,NA,NA,NA,NA,CB
Carex hancockiana,Carex,Cyperaceae,µãÒ¶Ş·²İ,6,7,6,7,CB
Carex heterolepis,NA,Cyperaceae,ÒìÁÛŞ·²İ,4,7,4,7,CB
Carex heterostachya,NA,Cyperaceae,ÒìËëŞ·²İ,4,6,4,6,CB
Carex hypochlora,NA,Cyperaceae,ÂÌÄÒŞ·²İ,5,6,5,6,CB
Carex jaluensis,Carex,Cyperaceae,Ñ¼ÂÌŞ·²İ,5,7,5,7,CB
Carex kirinensis,NA,Cyperaceae,¼ªÁÖŞ·²İ,NA,NA,NA,NA,CB
Carex kobomugi,Carex,Cyperaceae,É¸²İ,6,9,6,9,CB
Carex lachenalii,NA,Cyperaceae,¶şÁÑŞ·²İ,NA,NA,NA,NA,CB
Carex laevissima,Carex,Cyperaceae,¼Ù¼â×ìŞ·²İ,6,8,6,8,CB
Carex lanceolata,NA,Cyperaceae,´óÅûÕëŞ·²İ,4,7,4,7,CB
Carex lanceolata var. subpediformis,NA,Cyperaceae,ÑÇ±úŞ·²İ,NA,NA,NA,NA,CB
Carex lasiocarpa,Carex,Cyperaceae,Ã«Ş·²İ,6,7,6,7,CB
Carex latisquamea,Carex,Cyperaceae,¿íÁÛŞ·²İ,4,5,4,5,CB
Carex laxa,NA,Cyperaceae,Ï¡»¨Ş·²İ,6,8,6,8,CB
Carex leiorhyncha,Carex,Cyperaceae,¼â×ìŞ·²İ,6,7,6,7,CB
Carex limosa,Carex,Cyperaceae,ÊªÉúŞ·²İ,5,7,5,7,CB
Carex lithophila,Carex,Cyperaceae,¶şÖùŞ·²İ,5,6,5,6,CB
Carex loliacea,NA,Cyperaceae,¼äËëŞ·²İ,NA,NA,NA,NA,CB
Carex longerostrata,Carex,Cyperaceae,³¤×ìŞ·²İ,5,6,5,6,CB
Carex longerostrata var. pallida,NA,Cyperaceae,Ï¸ËëŞ·²İ,NA,NA,NA,NA,CB
Carex maackii,Carex,Cyperaceae,ÂÑ¹ûŞ·²İ,5,6,5,6,CB
Carex meyeriana,Carex,Cyperaceae,ÎÚÀ­²İ,6,7,6,7,CB
Carex nervata,Carex,Cyperaceae,½Ø×ìŞ·²İ,6,7,6,7,CB
Carex neurocarpa,Carex,Cyperaceae,Òí¹ûŞ·²İ,6,8,6,8,CB
Carex onoei,NA,Cyperaceae,ÕëÒ¶Ş·²İ,NA,NA,NA,NA,CB
Carex orthostachys,NA,Cyperaceae,Ö±ËëŞ·²İ,5,7,5,7,CB
Carex pallida,NA,Cyperaceae,ğàÄÒŞ·²İ,6,8,6,8,CB
Carex pediformis,NA,Cyperaceae,±ú×´Ş·²İ,5,9,5,9,CB
Carex pediformis var. pedunculata,NA,Cyperaceae,×õŞ·²İ,NA,NA,NA,NA,CB
Carex peiktusani,NA,Cyperaceae,°×Í·É½Ş·²İ,6,8,6,8,CB
Carex pilosa,Carex,Cyperaceae,Ã«ÔµŞ·²İ,4,5,4,5,CB
Carex pilosa var. auriculata,NA,Cyperaceae,´ÌÃ«ÔµŞ·²İ,NA,NA,NA,NA,CB
Carex pisiformis,Carex,Cyperaceae,Íã¶¹ĞÎŞ·²İ,5,6,5,6,CB
Carex planiculmis,Carex,Cyperaceae,±â¸ÑŞ·²İ,4,8,4,8,CB
Carex platysperma,NA,Cyperaceae,Ë«ÁÉŞ·²İ,NA,NA,NA,NA,CB
Carex pseudo-curaica,NA,Cyperaceae,Æ¯·¤Ş·²İ,NA,NA,NA,NA,CB
Carex pseudo-longerostrata,NA,Cyperaceae,¼Ù³¤×ìŞ·²İ,NA,NA,NA,NA,CB
Carex quadriflora,NA,Cyperaceae,ËÄ»¨Ş·²İ,5,6,5,6,CB
Carex raddei,Carex,Cyperaceae,×¶ÄÒŞ·²İ,6,7,6,7,CB
Carex rara,Carex,Cyperaceae,ËÉÒ¶Ş·²İ,4,5,4,5,CB
Carex remotiuscula,Carex,Cyperaceae,Ë¿ÒıŞ·²İ,6,7,6,7,CB
Carex reptabunda,Carex,Cyperaceae,×ß¾¥Ş·²İ,5,7,5,7,CB
Carex rhynchophysa,NA,Cyperaceae,´óËëŞ·²İ,6,7,6,7,CB
Carex rostrata,NA,Cyperaceae,»ÒÖêŞ·²İ,6,7,6,7,CB
Carex rugulosa,Carex,Cyperaceae,´ÖÂöŞ·²İ,6,7,6,7,CB
Carex schmidtii,NA,Cyperaceae,ÁöÄÒŞ·²İ,6,7,6,7,CB
Carex siderosticta,Carex,Cyperaceae,¿íÒ¶Ş·²İ,4,5,4,5,CB
Carex siroumensis,Carex,Cyperaceae,¶³Ô­Ş·²İ,7,8,7,8,CB
Carex sparsiflora var. petersii,NA,Cyperaceae,´óÉÙ»¨Ş·²İ,NA,NA,NA,NA,CB
Carex stipata,Carex,Cyperaceae,º£Ãà»ùŞ·²İ,7,7,7,7,CB
Carex tarumensis,Carex,Cyperaceae,³¤ÁÛŞ·²İ,7,8,7,8,CB
Carex tenuiflora,NA,Cyperaceae,Ï¸»¨Ş·²İ,7,7,7,7,CB
Carex tuminensis,Carex,Cyperaceae,Í¼ÃÇŞ·²İ,6,9,6,9,CB
Carex uda,Carex,Cyperaceae,´óÕëŞ·²İ,6,7,6,7,CB
Carex ussuriensis,Carex,Cyperaceae,ÎÚËÕÀïŞ·²İ,6,7,6,7,CB
Carex vesicaria,Carex,Cyperaceae,ÕÍÄÒŞ·²İ,5,7,5,7,CB
Carex xiphium,NA,Cyperaceae,°ŞŞ·²İ,6,6,6,6,CB
Carex yamatsutana,Carex,Cyperaceae,É½ÁÖŞ·²İ,6,7,6,7,CB
Carlesia sinensis,NA,Apiaceae,É½ÜîÏã,7,9,7,9,CB
Carpesium cernuum,NA,Asteraceae,ÑÌ¹ÜÍ·²İ,7,10,7,10,CB
Carpesium divaricatum,NA,Asteraceae,½ğÍÚ¶ú,7,10,7,10,CB
Carpesium macrocephalum,NA,Asteraceae,´ó»¨½ğÍÚ¶ú,7,10,7,10,CB
Carpesium triste,NA,Asteraceae,°µ»¨½ğÍÚ¶ú,7,10,7,10,CB
Carpinus cordata,NA,Betulaceae,Ç§½ïÓÜ,5,6,7,8,WD
Carum buriaticum,NA,Apiaceae,Ìï¸ğÂÆ×Ó,6,8,8,8,CB
Castanea mollissima,NA,Fagaceae,Àõ,4,6,8,10,WD
Catalpa ovata,NA,Bignoniaceae,è÷,5,6,8,10,WD
Caulophyllum robustum,Caulophyllum,Berberidaceae,ºìÃ«Ê¿,5,6,7,8,CB
Celastrus flagellaris,Celastrus,Celastraceae,´Ì°úÄÏÉßÌÙ,4,5,8,9,WD
Celastrus orbiculatus,NA,Celastraceae,ÄÏÉßÌÙ,5,6,7,10,WD
Centipeda minima,NA,Asteraceae,Ê¯ºúİ´,7,10,7,10,CB
Cephalanthera longibracteata,Cephalanthera,Orchidaceae,³¤°úÍ·ÈïÀ¼,5,6,8,9,CB
Cerastium arvense,NA,Caryophyllaceae,¾í¶ú,6,7,7,8,CB
Cerastium baischanense,Cerastium,Caryophyllaceae,³¤°×¾í¶ú,6,8,7,8,CB
Cerastium cerastoides,Cerastium,Caryophyllaceae,Áù³İ¾í¶ú,5,8,8,9,CB
Cerastium fontanum,Cerastium,Caryophyllaceae,Ï²Èª¾í¶ú,5,6,6,7,CB
Cerastium fontanum subsp. vulgare,NA,Caryophyllaceae,´ØÉúÈª¾í¶ú,NA,NA,NA,NA,CB
Cerastium furcatum,Cerastium,Caryophyllaceae,ÔµÃ«¾í¶ú,5,8,8,9,CB
Cerastium pauciflorum,NA,Caryophyllaceae,Êè»¨¾í¶ú,5,6,7,8,CB
Cerastium pauciflorum var. oxalidiflorum,NA,Caryophyllaceae,Ã«Èï¾í¶ú,5,7,7,8,CB
Cerasus humilis,NA,Rosaceae,Å·Àî,4,5,6,10,WD
Cerasus japonica,NA,Rosaceae,ÓôÀî,5,5,6,8,WD
Cerasus japonica var. nakaii,NA,Rosaceae,³¤¹£ÓôÀî,5,5,6,7,WD
Cerasus maximowiczii,Cerasus,Rosaceae,ºÚÓ£ÌÒ,6,6,9,9,WD
Cerasus tomentosa,NA,Rosaceae,Ã«Ó£ÌÒ,4,5,6,9,WD
Ceratophyllum demersum,NA,Ceratophyllaceae,½ğÓãÔå,6,7,8,9,CB
Ceratophyllum platyacanthum subsp. oryzetorum,NA,Ceratophyllaceae,Îå´Ì½ğÓãÔå,6,9,6,9,CB
Chaetoseris ciliata,Chaetoseris,Asteraceae,¾°¶«Ã«ÁÛ¾Õ,11,11,NA,NA,CB
Chamaedaphne calyculata,Chamaedaphne,Ericaceae,µØ¹ğ,6,6,7,7,WD
Chamerion angustifolium,NA,Onagraceae,ÁøÀ¼,NA,NA,NA,NA,CB
Chamerion angustifolium subsp. circumvagum,NA,Onagraceae,Ã«ÂöÁøÀ¼,7,9,8,10,CB
Chelidonium majus,NA,Papaveraceae,°×Çü²Ë,5,8,6,9,CB
Chenopodium acuminatum,NA,Chenopodiaceae,¼âÍ·Ò¶Ş¼,6,8,8,9,CB
Chenopodium bryoniifolium,NA,Chenopodiaceae,ÁâÒ¶Ş¼,7,9,7,9,CB
Chenopodium urbicum,Chenopodium,Chenopodiaceae,ÊĞŞ¼,3,9,9,10,CB
Chenopodium urbicum subsp. sinicum,NA,Chenopodiaceae,¶«ÑÇÊĞŞ¼,7,10,7,10,CB
Chimaphila japonica,NA,Ericaceae,Ï²¶¬²İ,7,7,8,9,WD
Chimaphila umbellata,Chimaphila,Ericaceae,É¡ĞÎÏ²¶¬²İ,7,7,8,9,WD
Chloranthus japonicus,Chloranthus,Chloranthaceae,ÒøÏß²İ,4,5,5,7,CB
Chosenia arbutifolia,NA,Salicaceae,×êÌìÁø,5,5,6,6,WD
Chrysanthemum chanetii,NA,Asteraceae,Ğ¡ºì¾Õ,9,10,9,10,CB
Chrysanthemum indicum,NA,Asteraceae,Ò°¾Õ,9,10,9,10,CB
Chrysanthemum lavandulifolium,NA,Asteraceae,¸Ê¾Õ,9,10,9,10,CB
Chrysanthemum maximowiczii,NA,Asteraceae,Ï¸Ò¶¾Õ,7,9,NA,NA,CB
Chrysanthemum oreastrum,NA,Asteraceae,Ğ¡É½¾Õ,6,8,6,8,CB
Chrysanthemum zawadskii,NA,Asteraceae,×Ï»¨Ò°¾Õ,7,9,7,9,CB
Chrysosplenium flagelliferum,Chrysosplenium,Saxifragaceae,Âû½ğÑü,5,7,5,7,CB
Chrysosplenium japonicum,NA,Saxifragaceae,ÈÕ±¾½ğÑü,3,6,3,6,CB
Chrysosplenium lectus-cochleae,Chrysosplenium,Saxifragaceae,ÁÖ½ğÑü,5,8,5,8,CB
Chrysosplenium pilosum,Chrysosplenium,Saxifragaceae,Ã«½ğÑü,4,6,4,6,CB
Chrysosplenium ramosum,Chrysosplenium,Saxifragaceae,¶àÖ¦½ğÑü,5,8,5,8,CB
Chrysosplenium sinicum,Chrysosplenium,Saxifragaceae,ÖĞ»ª½ğÑü,4,8,4,8,CB
Cicuta virosa,Cicuta,Apiaceae,¶¾ÇÛ,7,8,8,9,CB
Cicuta virosa var. latisecta,NA,Apiaceae,¿íÒ¶¶¾ÇÛ,NA,NA,NA,NA,CB
Cimicifuga dahurica,NA,Ranunculaceae,ĞË°²ÉıÂé,7,8,8,9,CB
Cimicifuga foetida,NA,Ranunculaceae,ÉıÂé,7,9,8,10,CB
Cimicifuga heracleifolia,NA,Ranunculaceae,´óÈıÒ¶ÉıÂé,8,9,9,10,CB
Cimicifuga simplex,NA,Ranunculaceae,µ¥ËëÉıÂé,7,8,8,9,CB
Cinna latifolia,Cinna,Poaceae,µ¥Èï²İ,8,9,8,9,CB
Circaea alpina,NA,Onagraceae,¸ßÉ½Â¶Öé²İ,NA,NA,NA,NA,CB
Circaea alpina subsp. caulescens,NA,Onagraceae,ÉîÉ½Â¶Öé²İ,6,9,7,9,CB
Circaea alpina subsp. imaicola,NA,Onagraceae,¸ßÔ­Â¶Öé²İ,7,9,8,11,CB
Circaea canadensis subsp. quadrisulcata,NA,Onagraceae,Ë®Öé²İ,6,8,7,9,CB
Circaea cordata,NA,Onagraceae,Â¶Öé²İ,6,8,7,9,CB
Circaea mollis,NA,Onagraceae,ÄÏ·½Â¶Öé²İ,7,9,8,10,CB
Cirsium arvense,Cirsium,Asteraceae,Ë¿Â·¼»,6,9,6,9,CB
Cirsium maackii,NA,Asteraceae,Ò°¼»,6,8,6,8,CB
Cirsium pendulum,Cirsium,Asteraceae,ÑÌ¹Ü¼»,6,7,9,9,CB
Cirsium salicifolium,NA,Asteraceae,¿é¼»,NA,NA,NA,NA,CB
Cirsium schantarense,Cirsium,Asteraceae,ÁÖ¼»,6,8,6,8,CB
Cirsium setosum,Cirsium,Asteraceae,´Ì¶ù²Ë,7,9,7,9,CB
Cirsium vlassovianum,Cirsium,Asteraceae,ÈŞ±³¼»,7,9,7,9,CB
Clausia trichosepala,Clausia,Brassicaceae,Ã«İàÏã½æ,5,8,5,8,CB
Cleistogenes caespitosa,Cleistogenes,Poaceae,´ÔÉúÒş×Ó²İ,7,9,7,9,CB
Cleistogenes hackelii,Cleistogenes,Poaceae,³¯ÑôÒş×Ó²İ,7,11,7,11,CB
Cleistogenes hancei,Cleistogenes,Poaceae,±±¾©Òş×Ó²İ,8,9,8,9,CB
Cleistogenes polyphylla,Cleistogenes,Poaceae,¶àÒ¶Òş×Ó²İ,7,10,7,10,CB
Cleistogenes squarrosa,Cleistogenes,Poaceae,²ÚÒş×Ó²İ,8,10,8,10,CB
Clematis brevicaudata,Clematis,Ranunculaceae,¶ÌÎ²ÌúÏßÁ«,8,9,9,10,WD
Clematis fusca,Clematis,Ranunculaceae,ºÖÃ«ÌúÏßÁ«,6,7,8,9,CB
Clematis fusca var. violacea,NA,Ranunculaceae,×Ï»¨ÌúÏßÁ«,NA,NA,NA,NA,CB
Clematis heracleifolia,NA,Ranunculaceae,´óÒ¶ÌúÏßÁ«,8,9,10,10,CB
Clematis hexapetala,Clematis,Ranunculaceae,ÃŞÍÅÌúÏßÁ«,6,8,7,10,CB
Clematis koreana,Clematis,Ranunculaceae,³¯ÏÊÌúÏßÁ«,5,5,7,7,WD
Clematis macropetala,Clematis,Ranunculaceae,³¤°êÌúÏßÁ«,7,7,8,8,WD
Clematis patens,Clematis,Ranunculaceae,×ª×ÓÁ«,5,6,6,7,CB
Clematis serratifolia,Clematis,Ranunculaceae,³İÒ¶ÌúÏßÁ«,8,8,9,10,WD
Clematis sibirica,NA,Ranunculaceae,Î÷²®ÀûÑÇÌúÏßÁ«,5,7,7,8,WD
Clematis sibirica var. ochotensis,NA,Ranunculaceae,°ëÖÓÌúÏßÁ«,5,6,7,8,WD
Clematis terniflora var. mandshurica,NA,Ranunculaceae,À±Ş¤ÌúÏßÁ«,NA,NA,NA,NA,WD
Clinopodium urticifolium,NA,Lamiaceae,ÂéÒ¶·çÂÖ²Ë,6,8,8,10,CB
Clintonia udensis,Clintonia,Liliaceae,Æß½î¹½,5,6,7,10,CB
Codonopsis lanceolata,NA,Campanulaceae,ÑòÈé,7,8,8,9,CB
Codonopsis pilosula,NA,Campanulaceae,µ³²Î,7,9,9,10,CB
Codonopsis ussuriensis,Codonopsis,Campanulaceae,È¸°ßµ³²Î,7,8,8,9,CB
Coeloglossum viride,NA,Orchidaceae,°¼ÉàÀ¼,6,8,6,8,CB
Coelopleurum nakaianum,NA,Apiaceae,³¤°×¸ßÉ½ÇÛ,7,8,8,9,CB
Coelopleurum saxatile,NA,Apiaceae,¸ßÉ½ÇÛ,7,8,8,9,CB
Comarum palustre,Comarum,Rosaceae,ÕÓÎ¯Áê²Ë,5,8,7,10,CB
Commelina communis,NA,Commelinaceae,Ñ¼õÅ²İ,7,9,7,9,CB
Convallaria majalis,NA,Liliaceae,ÁåÀ¼,5,6,7,9,CB
Convolvulus ammannii,NA,Convolvulaceae,Òø»ÒĞı»¨,6,8,8,8,CB
Conyza canadensis,NA,Asteraceae,Ğ¡Åî²İ,NA,NA,NA,NA,CB
Corallorhiza trifida,Corallorhiza,Orchidaceae,Éºº÷À¼,6,6,6,8,CB
Corispermum candelabrum,Corispermum,Chenopodiaceae,ÖòÌ¨³æÊµ,7,9,7,9,CB
Corispermum chinganicum,Corispermum,Chenopodiaceae,ĞË°²³æÊµ,6,8,6,8,CB
Corispermum confertum,Corispermum,Chenopodiaceae,ÃÜËë³æÊµ,7,8,7,8,CB
Corispermum dilutum,Corispermum,Chenopodiaceae,ÁÉÎ÷³æÊµ,7,9,7,9,CB
Corispermum elongatum,Corispermum,Chenopodiaceae,³¤Ëë³æÊµ,7,9,7,9,CB
Corispermum macrocarpum,Corispermum,Chenopodiaceae,´ó¹û³æÊµ,7,9,7,9,CB
Corispermum platypterum,Corispermum,Chenopodiaceae,¿í³á³æÊµ,7,9,7,9,CB
Corispermum stauntonii,Corispermum,Chenopodiaceae,»ª³æÊµ,7,9,7,9,CB
Corispermum stenolepis,Corispermum,Chenopodiaceae,Ï¸°ú³æÊµ,8,9,8,9,CB
Cornus alba,NA,Cornaceae,ºìÈğÄ¾,6,7,8,10,WD
Cornus bretschneideri,NA,Cornaceae,É³—…,6,7,8,9,WD
Cornus canadensis,Cornus,Cornaceae,²İÜïİÇ,7,8,8,9,CB
Cornus coreana,NA,Cornaceae,³¯ÏÊ—…Ä¾,5,6,9,10,WD
Corydalis buschii,NA,Papaveraceae,¶«×ÏİÀ,4,5,5,6,CB
Corydalis caudata,NA,Papaveraceae,Ğ¡Ò©°Ëµ©×Ó,4,5,4,5,CB
Corydalis fumariifolia,NA,Papaveraceae,İÀÒ¶ÑÓºúË÷,3,5,3,5,CB
Corydalis gigantea,NA,Papaveraceae,¾Ş×ÏİÀ,6,7,7,8,CB
Corydalis impatiens,Corydalis,Papaveraceae,Èü±±×ÏİÀ,6,10,6,10,CB
Corydalis kiautschouensis,NA,Papaveraceae,½ºÖİÑÓºúË÷,4,5,4,5,CB
Corydalis linjiangensis,NA,Papaveraceae,ÁÙ½­ÑÓºúË÷,NA,NA,NA,NA,CB
Corydalis ochotensis,Corydalis,Papaveraceae,»Æ×ÏİÀ,6,8,8,9,CB
Corydalis pallida,NA,Papaveraceae,»ÆİÀ,4,6,5,7,CB
Corydalis raddeana,Corydalis,Papaveraceae,Ğ¡»Æ×ÏİÀ,6,10,6,10,CB
Corydalis repens,NA,Papaveraceae,È«Ò¶ÑÓºúË÷,NA,NA,NA,NA,CB
Corydalis repens var. watanabei,NA,Papaveraceae,½Ç°êÑÓºúË÷,NA,NA,NA,NA,CB
Corydalis sibirica,Corydalis,Papaveraceae,±±×ÏİÀ,6,8,7,9,CB
Corydalis speciosa,NA,Papaveraceae,Öé¹û»ÆİÀ,NA,NA,NA,NA,CB
Corydalis ternata,NA,Papaveraceae,ÈıÁÑÑÓºúË÷,NA,NA,NA,NA,CB
Corydalis turtschaninovii,NA,Papaveraceae,³İ°êÑÓºúË÷,NA,NA,NA,NA,CB
Corylus heterophylla,NA,Betulaceae,é»,5,7,7,8,WD
Corylus mandshurica,NA,Betulaceae,Ã«é»,5,7,7,9,WD
Cotoneaster melanocarpus,Cotoneaster,Rosaceae,ºÚ¹û–Õ×Ó,5,6,8,9,WD
Crataegus dahurica,Crataegus,Rosaceae,¹âÒ¶É½é«,5,5,8,8,WD
Crataegus maximowiczii,NA,Rosaceae,Ã«É½é«,5,6,8,9,WD
Crataegus pinnatifida,NA,Rosaceae,É½é«,5,6,8,9,WD
Crataegus pinnatifida var. major,NA,Rosaceae,É½Àïºì,NA,NA,NA,NA,WD
Crataegus pinnatifida var. psilosa,NA,Rosaceae,ÎŞÃ«É½é«,NA,NA,NA,NA,WD
Crataegus sanguinea,Crataegus,Rosaceae,ÁÉÄşÉ½é«,5,6,7,8,WD
Crypsis aculeata,Crypsis,Poaceae,Òş»¨²İ,7,9,7,9,CB
Cymbaria daurica,NA,Scrophulariaceae,´ïÎÚÀïĞ¾°ú,6,8,7,9,CB
Cynanchum acuminatifolium,NA,Asclepiadaceae,³±·ç²İ,6,8,8,11,CB
Cynanchum amplexicaule,Cynanchum,Asclepiadaceae,ºÏÕÆÏû,5,9,8,9,CB
Cynanchum atratum,Cynanchum,Asclepiadaceae,°×Ş±,5,6,7,9,CB
Cynanchum chinense,Cynanchum,Asclepiadaceae,¶ìÈŞÌÙ,6,8,8,10,CB
Cynanchum paniculatum,NA,Asclepiadaceae,Ğì³¤Çä,6,8,7,9,CB
Cynanchum purpureum,Cynanchum,Asclepiadaceae,×Ï»¨¶ìÈŞÌÙ,6,7,7,9,CB
Cynanchum thesioides,Cynanchum,Asclepiadaceae,µØÉÒ¹Ï,6,7,7,9,WD
Cynanchum volubile,Cynanchum,Asclepiadaceae,Âû°×Ç°,5,8,7,9,CB
Cynanchum wilfordii,Cynanchum,Asclepiadaceae,¸ôÉ½Ïû,6,8,7,10,CB
Cynoglossum divaricatum,Cynoglossum,Boraginaceae,´ó¹ûÁğÁ§²İ,6,8,6,8,CB
Cyperus amuricus,NA,Cyperaceae,°¢ÄÂ¶ûÉ¯²İ,7,10,7,10,CB
Cyperus exaltatus,Cyperus,Cyperaceae,¸ß¸ÑÉ¯²İ,6,8,6,8,CB
Cyperus glomeratus,NA,Cyperaceae,Í·×´ËëÉ¯²İ,6,10,6,10,CB
Cyperus michelianus,Cyperus,Cyperaceae,ĞıÁÛÉ¯²İ,6,9,6,9,CB
Cyperus orthostachyus,Cyperus,Cyperaceae,ÈıÂÖ²İ,8,10,8,10,CB
Cypripedium calceolus,Cypripedium,Orchidaceae,è¼À¼,6,7,8,8,CB
Cypripedium guttatum,Cypripedium,Orchidaceae,×Ïµãè¼À¼,6,7,8,8,CB
Cypripedium macranthum,Cypripedium,Orchidaceae,´ó»¨è¼À¼,6,7,8,9,CB
Czernaevia laevigata,NA,Apiaceae,ÁøÒ¶ÇÛ,7,8,9,9,CB
Daphne pseudomezereum,NA,Thymelaeaceae,¶«±±ÈğÏã,2,4,7,8,WD
Delphinium grandiflorum,Delphinium,Ranunculaceae,´äÈ¸,5,10,NA,NA,CB
Delphinium maackianum,Delphinium,Ranunculaceae,¿í°ú´äÈ¸»¨,7,8,NA,NA,CB
Deschampsia cespitosa,Deschampsia,Poaceae,·¢²İ,7,9,7,9,CB
Deutzia baroniana,Deutzia,Saxifragaceae,¹³³İäÑÊè,4,5,9,10,WD
Deutzia glabrata,Deutzia,Saxifragaceae,¹âİàäÑÊè,6,7,8,9,WD
Deutzia parviflora,NA,Saxifragaceae,Ğ¡»¨äÑÊè,4,6,7,10,WD
Deutzia parviflora var. amurensis,NA,Saxifragaceae,¶«±±äÑÊè,6,6,9,9,WD
Deyeuxia korotkyi,NA,Poaceae,ĞË°²Ò°ÇàÃ©,8,8,NA,NA,CB
Deyeuxia neglecta,NA,Poaceae,Ğ¡»¨Ò°ÇàÃ©,8,9,8,9,CB
Deyeuxia purpurea,NA,Poaceae,´óÒ¶ÕÂ,7,9,NA,NA,CB
Deyeuxia pyramidalis,NA,Poaceae,Ò°ÇàÃ©,6,10,6,10,CB
Dianthus barbatus,NA,Caryophyllaceae,Ğë°úÊ¯Öñ,NA,NA,NA,NA,CB
Dianthus barbatus var. asiaticus,NA,Caryophyllaceae,Í·Ê¯Öñ,5,10,5,10,CB
Dianthus chinensis,NA,Caryophyllaceae,Ê¯Öñ,5,6,7,9,CB
Dianthus superbus,NA,Caryophyllaceae,öÄÂó,6,9,8,10,CB
Dianthus superbus subsp. alpestris,NA,Caryophyllaceae,¸ßÉ½öÄÂó,NA,NA,NA,NA,CB
Diarrhena japonica,NA,Poaceae,ÈÕ±¾Áú³£²İ,8,9,8,9,CB
