Chinese name,scientific name,first flowering month,last flowering month,first fruiting month,last fruiting month,family name,scientific name,Genus name,woodiness
Ïã³È,Citrus junos,NA,NA,NA,NA,Rutaceae,Citrus junos,Citrus,WD
èÖ,Citrus maxima,4,5,9,12,Rutaceae,Citrus maxima,Citrus,WD
Ìğ³È,Citrus sinensis,3,5,10,12,Rutaceae,Citrus sinensis,Citrus,WD
è×,Citrus trifoliata,5,6,10,11,Rutaceae,Poncirus trifoliata,Poncirus,WD
è×,Citrus trifoliata,5,6,10,11,Rutaceae,Citrus reticulata cv. Ponkan,Citrus,WD
³á¼ÔÏã»±,Cladrastis platycarpa,4,6,7,10,Fabaceae,Cladrastis platycarpa,Cladrastis,WD
Ïã»±,Cladrastis wilsonii,5,7,8,9,Fabaceae,Cladrastis wilsonii,Cladrastis,WD
òÚò¼À¼,Cleisostoma scolopendrifolium,4,4,NA,NA,Orchidaceae,Cleisostoma scolopendrifolium,Cleisostoma,CB
³¯ÑôÒş×Ó²İ,Cleistogenes hackelii,7,10,7,10,Poaceae,Cleistogenes hackelii,Cleistogenes,CB
¿íÒ¶Òş×Ó²İ,Cleistogenes hackelii var. nakaii,NA,NA,NA,NA,Poaceae,Cleistogenes hackelii var. nakaii,Cleistogenes,CB
±±¾©Òş×Ó²İ,Cleistogenes hancei,7,11,7,11,Poaceae,Cleistogenes hancei,Cleistogenes,CB
Å®Î®,Clematis apiifolia,7,9,9,10,Ranunculaceae,Clematis apiifolia,Clematis,WD
¶Û³İÌúÏßÁ«,Clematis apiifolia var. argentilucida,NA,NA,NA,NA,Ranunculaceae,Clematis apiifolia var. argentilucida,Clematis,WD
Ğ¡Ä¾Í¨,Clematis armandii,3,4,4,7,Ranunculaceae,Clematis armandii,Clematis,WD
¶ÌÎ²ÌúÏßÁ«,Clematis brevicaudata,7,9,9,10,Ranunculaceae,Clematis brevicaudata,Clematis,WD
¶ÌÖùÌúÏßÁ«,Clematis cadmia,4,5,6,7,Ranunculaceae,Clematis cadmia,Clematis,CB
ÍşÁéÏÉ,Clematis chinensis,6,9,8,11,Ranunculaceae,Clematis chinensis,Clematis,WD
°²»ÕÌúÏßÁ«,Clematis chinensis var. anhweiensis,5,5,7,7,Ranunculaceae,Clematis chinensis var. anhweiensis,Clematis,WD
Ã«Ò¶ÍşÁéÏÉ,Clematis chinensis var. vestita,6,8,NA,NA,Ranunculaceae,Clematis chinensis var. vestita,Clematis,WD
´ó»¨ÍşÁéÏÉ,Clematis courtoisii,5,6,6,7,Ranunculaceae,Clematis courtoisii,Clematis,WD
É½Ä¾Í¨,Clematis finetiana,4,6,7,11,Ranunculaceae,Clematis finetiana,Clematis,WD
ÌúÏßÁ«,Clematis florida,1,2,3,4,Ranunculaceae,Clematis florida,Clematis,CB
´Ö³İÌúÏßÁ«,Clematis grandidentata,5,7,7,10,Ranunculaceae,Clematis grandidentata,Clematis,WD
Ã«İàÌúÏßÁ«,Clematis hancockiana,5,5,6,6,Ranunculaceae,Clematis hancockiana,Clematis,WD
µ¥Ò¶ÌúÏßÁ«,Clematis henryi,11,12,3,4,Ranunculaceae,Clematis henryi,Clematis,WD
´óÒ¶ÌúÏßÁ«,Clematis heracleifolia,8,9,10,10,Ranunculaceae,Clematis heracleifolia,Clematis,CB
³¤¶¬²İ,Clematis hexapetala var. tchefouensis,6,8,8,9,Ranunculaceae,Clematis hexapetala var. tchefouensis,Clematis,CB
½ğÕ¯ÌúÏßÁ«,Clematis jinzhaiensis,NA,NA,NA,NA,Ranunculaceae,Clematis jinzhaiensis,Clematis,WD
Ì«ĞĞÌúÏßÁ«,Clematis kirilowii,6,8,8,9,Ranunculaceae,Clematis kirilowii,Clematis,WD
Ã«ÈïÌúÏßÁ«,Clematis lasiandra,10,10,11,11,Ranunculaceae,Clematis lasiandra,Clematis,CB
Ã«ÖùÌúÏßÁ«,Clematis meyeniana,6,8,8,10,Ranunculaceae,Clematis meyeniana,Clematis,WD
ĞåÇòÌÙ,Clematis montana,4,6,7,9,Ranunculaceae,Clematis montana,Clematis,WD
°ÍÉ½ÌúÏßÁ«,Clematis pashanensis,NA,NA,NA,NA,Ranunculaceae,Clematis pashanensis,Clematis,WD
¶ÛİàÌúÏßÁ«,Clematis peterae,6,8,9,12,Ranunculaceae,Clematis peterae,Clematis,WD
Ã«¹ûÌúÏßÁ«,Clematis peterae var. trichocarpa,NA,NA,NA,NA,Ranunculaceae,Clematis peterae var. trichocarpa,Clematis,WD
Ñî×ÓÌúÏßÁ«,Clematis puberula var. ganpiniana,NA,NA,NA,NA,Ranunculaceae,Clematis puberula var. ganpiniana,Clematis,WD
Ô²×¶ÌúÏßÁ«,Clematis terniflora,6,8,8,11,Ranunculaceae,Clematis terniflora,Clematis,WD
Öù¹ûÌúÏßÁ«,Clematis uncinata,6,7,7,9,Ranunculaceae,Clematis uncinata,Clematis,WD
ÖåÒ¶ÌúÏßÁ«,Clematis uncinata var. coriacea,6,7,8,9,Ranunculaceae,Clematis uncinata var. coriacea,Clematis,WD
³ôÄµµ¤,Clerodendrum bungei,5,11,5,11,Verbenaceae,Clerodendrum bungei,Clerodendrum,WD
´óÇà,Clerodendrum cyrtophyllum,6,2,6,2,Verbenaceae,Clerodendrum cyrtophyllum,Clerodendrum,WD
Õã½­´óÇà,Clerodendrum kaichianum,7,10,7,10,Verbenaceae,Clerodendrum kaichianum,Clerodendrum,WD
¼â³İ³ôÜÔÀò,Clerodendrum lindleyi,6,11,6,11,Verbenaceae,Clerodendrum lindleyi,Clerodendrum,WD
º£Öİ³£É½,Clerodendrum trichotomum,6,11,6,11,Verbenaceae,Clerodendrum trichotomum,Clerodendrum,WD
÷ÚÂöèçÒ¶Ê÷,Clethra barbinervis,7,8,9,11,Clethraceae,Clethra barbinervis,Clethra,WD
ºìÏª±È,Cleyera japonica,5,6,10,11,Theaceae,Cleyera japonica,Cleyera,WD
·çÂÖ²Ë,Clinopodium chinense,5,8,8,10,Lamiaceae,Clinopodium chinense,Clinopodium,CB
ÁÚ½ü·çÂÖ²Ë,Clinopodium confine,4,6,7,8,Lamiaceae,Clinopodium confine,Clinopodium,CB
Ï¸·çÂÖ²Ë,Clinopodium gracile,6,8,8,10,Lamiaceae,Clinopodium gracile,Clinopodium,CB
µÆÁı²İ,Clinopodium polycephalum,7,8,9,9,Lamiaceae,Clinopodium polycephalum,Clinopodium,CB
ÂéÒ¶·çÂÖ²Ë,Clinopodium urticifolium,NA,NA,NA,NA,Lamiaceae,Clinopodium urticifolium,Clinopodium,CB
Éß´²,Cnidium monnieri,4,7,6,10,Apiaceae,Cnidium monnieri,Cnidium,CB
Ä¾·À¼º,Cocculus orbiculatus,NA,NA,NA,NA,Menispermaceae,Cocculus orbiculatus,Cocculus,WD
Ã«Ä¾·À¼º,Cocculus orbiculatus var. mollis,NA,NA,NA,NA,Menispermaceae,Cocculus orbiculatus var. mollis,Cocculus,WD
Ğ¡Ò¶Èıµã½ğ,Codariocalyx microphyllus,5,9,9,11,Fabaceae,Codariocalyx microphyllus,Codariocalyx,WD
ÑòÈé,Codonopsis lanceolata,7,8,7,8,Campanulaceae,Codonopsis lanceolata,Codonopsis,CB
µ³²Î,Codonopsis pilosula,7,10,7,10,Campanulaceae,Codonopsis pilosula,Codonopsis,CB
Ë®ÉúŞ²ÜÓ,Coix aquatica,8,11,8,11,Poaceae,Coix aquatica,Coix,CB
Ò°Óó,Colocasia esculentum var. antiquorum,NA,NA,NA,NA,Araceae,Colocasia esculentum var. antiquorum,Colocasia,CB
ÌìÈË²İ,Comanthosphace japonica,8,9,10,11,Lamiaceae,Comanthosphace japonica,Comanthosphace,CB
ÃàËëËÕ,Comanthosphace ningpoensis,8,10,NA,NA,Lamiaceae,Comanthosphace ningpoensis,Comanthosphace,CB
ÃàËëËÕÈŞÃ«±äÖÖ,Comanthosphace ningpoensis var. stellipiloides,NA,NA,NA,NA,Lamiaceae,Comanthosphace ningpoensis var. stellipiloides,Comanthosphace,CB
·¹°ü²İ,Commelina benghalensis,NA,NA,NA,NA,Commelinaceae,Commelina benghalensis,Commelina,CB
Ñ¼õÅ²İ,Commelina communis,NA,NA,NA,NA,Commelinaceae,Commelina communis,Commelina,CB
¿àÜÄÌ¦,Conandron ramondioides,6,6,NA,NA,Gesneriaceae,Conandron ramondioides,Conandron,CB
É½Üº,Conioselinum chinense,8,10,8,10,Apiaceae,Conioselinum chinense,Conioselinum,CB
ÏãË¿²İ,Conyza bonariensis,5,10,NA,NA,Asteraceae,Conyza bonariensis,Conyza,CB
Ğ¡Åî²İ,Conyza canadensis,5,9,NA,NA,Asteraceae,Conyza canadensis,Conyza,CB
ËÕÃÅ°×¾Æ²İ,Conyza sumatrensis,5,10,NA,NA,Asteraceae,Conyza sumatrensis,Conyza,CB
»ÆÁ¬,Coptis chinensis,2,3,4,6,Ranunculaceae,Coptis chinensis,Coptis,CB
¶Ìİà»ÆÁ¬,Coptis chinensis var. brevisepala,2,3,4,6,Ranunculaceae,Coptis chinensis var. brevisepala,Coptis,CB
Á÷ËÕ×Ó,Coptosapelta diffusa,5,7,5,12,Rubiaceae,Coptosapelta diffusa,Coptosapelta,WD
ÌïÂé,Corchoropsis crenata,NA,NA,NA,NA,Tiliaceae,Corchoropsis crenata,Corchoropsis,CB
¹â¹ûÌïÂé,Corchoropsis crenata var. hupehensis,NA,NA,NA,NA,Tiliaceae,Corchoropsis crenata var. hupehensis,Corchoropsis,CB
ÌğÂé,Corchorus aestuans,NA,NA,NA,NA,Tiliaceae,Corchorus aestuans,Corchorus,CB
ÈíÃ«³æÊµ,Corispermum puberulum,7,9,7,9,Chenopodiaceae,Corispermum puberulum,Corispermum,CB
Ã«¹ûÉş³æÊµ,Corispermum tylocarpum,NA,NA,NA,NA,Chenopodiaceae,Corispermum tylocarpum,Corispermum,CB
ºìÈğÄ¾,Cornus alba,6,7,8,10,Cornaceae,Cornus alba,Cornus,WD
Í·×´ËÄÕÕ»¨,Cornus capitata,5,6,9,10,Cornaceae,Cornus capitata,Cornus,WD
¼âÒ¶ËÄÕÕ»¨,Cornus elliptica,6,7,10,11,Cornaceae,Cornus elliptica,Cornus,WD
ÈÕ±¾ËÄÕÕ»¨,Cornus kousa,NA,NA,NA,NA,Cornaceae,NA,NA,NA
ËÄÕÕ»¨,Cornus kousa subsp. chinensis,NA,NA,NA,NA,Cornaceae,Cornus kousa subsp. chinensis,Cornus,WD
—…Ä¾,Cornus macrophylla,6,7,8,9,Cornaceae,Cornus macrophylla,Cornus,WD
¶àÂöËÄÕÕ»¨,Cornus multinervosa,5,6,10,11,Cornaceae,Cornus multinervosa,Cornus,WD
É½ÜïİÇ,Cornus officinalis,3,4,9,10,Cornaceae,Cornus officinalis,Cornus,WD
Ã«—…,Cornus walteri,5,5,9,9,Cornaceae,Cornus walteri,Cornus,WD
¹âÆ¤—…Ä¾,Cornus wilsoniana,5,5,10,11,Cornaceae,Cornus wilsoniana,Cornus,WD
³ôÜù,Coronopus didymus,NA,NA,NA,NA,Brassicaceae,Coronopus didymus,Coronopus,CB
±±Ô½×ÏİÀ,Corydalis balansae,NA,NA,NA,NA,Papaveraceae,Corydalis balansae,Corydalis,CB
¸·Æ½»ÆİÀ,Corydalis chanetii,NA,NA,NA,NA,Papaveraceae,Corydalis chanetii,Corydalis,CB
ÏÄÌìÎŞ,Corydalis decumbens,NA,NA,NA,NA,Papaveraceae,Corydalis decumbens,Corydalis,CB
×ÏİÀ,Corydalis edulis,NA,NA,NA,NA,Papaveraceae,Corydalis edulis,Corydalis,CB
¿ÌÒ¶×ÏİÀ,Corydalis incisa,NA,NA,NA,NA,Papaveraceae,Corydalis incisa,Corydalis,CB
Éß¹û»ÆİÀ,Corydalis ophiocarpa,NA,NA,NA,NA,Papaveraceae,Corydalis ophiocarpa,Corydalis,CB
»ÆİÀ,Corydalis pallida,NA,NA,NA,NA,Papaveraceae,Corydalis pallida,Corydalis,CB
Ğ¡»¨»ÆİÀ,Corydalis racemosa,NA,NA,NA,NA,Papaveraceae,Corydalis racemosa,Corydalis,CB
È«Ò¶ÑÓºúË÷,Corydalis repens,NA,NA,NA,NA,Papaveraceae,Corydalis repens,Corydalis,CB
µØ½õÃç,Corydalis sheareri,NA,NA,NA,NA,Papaveraceae,Corydalis sheareri,Corydalis,CB
³İ°êÑÓºúË÷,Corydalis turtschaninovii,NA,NA,NA,NA,Papaveraceae,Corydalis turtschaninovii,Corydalis,CB
ÑÓºúË÷,Corydalis yanhusuo,NA,NA,NA,NA,Papaveraceae,Corydalis yanhusuo,Corydalis,CB
ÏÙÀ¯°ê»¨,Corylopsis glandulifera,NA,NA,NA,NA,Hamamelidaceae,Corylopsis glandulifera,Corylopsis,WD
À«À¯°ê»¨,Corylopsis platypetala,NA,NA,NA,NA,Hamamelidaceae,Corylopsis platypetala,Corylopsis,WD
À¯°ê»¨,Corylopsis sinensis,NA,NA,NA,NA,Hamamelidaceae,Corylopsis sinensis,Corylopsis,WD
ÍºÀ¯°ê»¨,Corylopsis sinensis var. calvescens,NA,NA,NA,NA,Hamamelidaceae,Corylopsis sinensis var. calvescens,Corylopsis,WD
ºìÒ©À¯°ê»¨,Corylopsis veitchiana,NA,NA,NA,NA,Hamamelidaceae,Corylopsis veitchiana,Corylopsis,WD
é»,Corylus heterophylla,NA,NA,NA,NA,Betulaceae,Corylus heterophylla,Corylus,WD
´¨é»,Corylus heterophylla var. sutchuenensis,NA,NA,NA,NA,Betulaceae,Corylus heterophylla var. sutchuenensis,Corylus,WD
ÇïÓ¢,Cosmos bipinnata,NA,NA,NA,NA,Asteraceae,Cosmos bipinnata,Cosmos,CB
Ã«»ÆèÓ(±äÖÖ),Cotinus coggygria var. pubescens,NA,NA,NA,NA,Anacardiaceae,Cotinus coggygria var. pubescens,Cotinus,WD
ÃÜÃ«»Ò–Õ×Ó,Cotoneaster acutifolius var. villosulus,NA,NA,NA,NA,Rosaceae,Cotoneaster acutifolius var. villosulus,Cotoneaster,WD
É¢Éú–Õ×Ó,Cotoneaster divaricatus,4,6,9,10,Rosaceae,Cotoneaster divaricatus,Cotoneaster,WD
Æ½Ö¦–Õ×Ó,Cotoneaster horizontalis,5,6,9,10,Rosaceae,Cotoneaster horizontalis,Cotoneaster,WD
É½¶«–Õ×Ó,Cotoneaster schantungensis,5,5,8,9,Rosaceae,Cotoneaster schantungensis,Cotoneaster,WD
»ªÖĞ–Õ×Ó,Cotoneaster silvestrii,6,6,9,9,Rosaceae,Cotoneaster silvestrii,Cotoneaster,WD
Ò°É½é«,Crataegus cuneata,5,6,9,11,Rosaceae,Crataegus cuneata,Crataegus,WD
ºş±±É½é«,Crataegus hupehensis,5,6,8,9,Rosaceae,Crataegus hupehensis,Crataegus,WD
É½é«,Crataegus pinnatifida,5,6,9,10,Rosaceae,Crataegus pinnatifida,Crataegus,WD
É½Àïºì,Crataegus pinnatifida var. major,NA,NA,NA,NA,Rosaceae,Crataegus pinnatifida var. major,Crataegus,WD
ÉÙÃ«É½é«,Crataegus wilsonii,5,5,8,9,Rosaceae,Crataegus wilsonii,Crataegus,WD
¶Å¾éÀ¼,Cremastra appendiculata,5,6,9,12,Orchidaceae,Cremastra appendiculata,Cremastra,CB
»Æ¹Ï¼Ù»¹Ñô²Î,Crepidiastrum denticulatum,5,11,5,11,Asteraceae,NA,NA,NA
¼âÁÑ¼Ù»¹Ñô²Î,Crepidiastrum sonchifolium,8,9,8,9,Asteraceae,NA,NA,NA
»Æ¾«Ò¶¹³ÎÇ,Croomia japonica,NA,NA,NA,NA,Stemonaceae,Croomia japonica,Croomia,CB
ÏìÁå¶¹,Crotalaria albida,5,12,5,12,Fabaceae,Crotalaria albida,Crotalaria,CB
ÖĞ¹úÖíÊº¶¹,Crotalaria chinensis,6,12,6,12,Fabaceae,Crotalaria chinensis,Crotalaria,CB
¼ÙµØÀ¼,Crotalaria ferruginea,NA,NA,NA,NA,Fabaceae,Crotalaria ferruginea,Crotalaria,CB
Ò°°ÙºÏ,Crotalaria sessiliflora,5,6,9,10,Fabaceae,Crotalaria sessiliflora,Crotalaria,CB
Ò°°ÙºÏ,Crotalaria sessiliflora,5,6,9,10,Fabaceae,Lilium brownii,Lilium,CB
Òş»¨²İ,Crypsis aculeata,5,9,5,9,Poaceae,Crypsis aculeata,Crypsis,CB
İş×´Òş»¨²İ,Crypsis schoenoides,6,9,6,9,Poaceae,Crypsis schoenoides,Crypsis,CB
Ğ¡ÂíÅİ,Cucumis bisexualis,NA,NA,NA,NA,Cucurbitaceae,Cucumis bisexualis,Cucumis,CB
İËË¿×Ó,Cuscuta chinensis,NA,NA,NA,NA,Convolvulaceae,Cuscuta chinensis,Cuscuta,CB
Çà¸Ô,Cyclobalanopsis glauca,NA,NA,NA,NA,Fagaceae,Cyclobalanopsis glauca,Cyclobalanopsis,WD
Ï¸Ò¶Çà¸Ô,Cyclobalanopsis gracilis,3,4,10,11,Fagaceae,Cyclobalanopsis gracilis,Cyclobalanopsis,WD
Ğ¡Ò¶Çà¸Ô,Cyclobalanopsis myrsinifolia,6,6,10,10,Fagaceae,NA,NA,NA
ÂüÇà¸Ô,Cyclobalanopsis oxyodon,5,6,9,10,Fagaceae,Cyclobalanopsis oxyodon,Cyclobalanopsis,WD
ÔÆÉ½Çà¸Ô,Cyclobalanopsis sessilifolia,4,5,10,11,Fagaceae,Cyclobalanopsis sessilifolia,Cyclobalanopsis,WD
ºÖÒ¶Çà¸Ô,Cyclobalanopsis stewardiana,7,7,10,10,Fagaceae,Cyclobalanopsis stewardiana,Cyclobalanopsis,WD
ÇàÇ®Áø,Cyclocarya paliurus,4,5,7,9,Juglandaceae,Cyclocarya paliurus,Cyclocarya,WD
½¨À¼,Cymbidium ensifolium,6,10,NA,NA,Orchidaceae,Cymbidium ensifolium,Cymbidium,CB
Ş¥À¼,Cymbidium faberi,3,5,NA,NA,Orchidaceae,Cymbidium faberi,Cymbidium,CB
´ºÀ¼,Cymbidium goeringii,1,3,NA,NA,Orchidaceae,Cymbidium goeringii,Cymbidium,CB
º®À¼,Cymbidium kanran,8,12,NA,NA,Orchidaceae,Cymbidium kanran,Cymbidium,CB
Ä«À¼,Cymbidium sinense,10,3,NA,NA,Orchidaceae,Cymbidium sinense,Cymbidium,CB
éÙ²İ,Cymbopogon goeringii,7,10,7,10,Poaceae,Cymbopogon goeringii,Cymbopogon,CB
ºÏÕÆÏû,Cynanchum amplexicaule,5,9,7,9,Asclepiadaceae,Cynanchum amplexicaule,Cynanchum,CB
°×Ş±,Cynanchum atratum,4,8,6,8,Asclepiadaceae,Cynanchum atratum,Cynanchum,CB
Å£Æ¤Ïû,Cynanchum auriculatum,6,9,7,11,Asclepiadaceae,Cynanchum auriculatum,Cynanchum,CB
Âû¼ô²İ,Cynanchum chekiangense,5,5,6,6,Asclepiadaceae,Cynanchum chekiangense,Cynanchum,CB
¶ìÈŞÌÙ,Cynanchum chinense,6,8,8,10,Asclepiadaceae,Cynanchum chinense,Cynanchum,CB
°×Ç°,Cynanchum glaucescens,5,11,7,11,Asclepiadaceae,Cynanchum glaucescens,Cynanchum,WD
ÖñÁéÏû,Cynanchum inamoenum,5,7,7,10,Asclepiadaceae,Cynanchum inamoenum,Cynanchum,CB
Ã«°×Ç°,Cynanchum mooreanum,6,7,8,10,Asclepiadaceae,Cynanchum mooreanum,Cynanchum,CB
ÖìÉ°ÌÙ,Cynanchum officinale,5,8,7,10,Asclepiadaceae,Cynanchum officinale,Cynanchum,WD
Ğì³¤Çä,Cynanchum paniculatum,5,7,9,10,Asclepiadaceae,Cynanchum paniculatum,Cynanchum,CB
ÁøÒ¶°×Ç°,Cynanchum stauntonii,5,8,9,12,Asclepiadaceae,Cynanchum stauntonii,Cynanchum,WD
Ì«ĞĞ°×Ç°,Cynanchum taihangense,6,8,NA,NA,Asclepiadaceae,Cynanchum taihangense,Cynanchum,CB
µØÉÒ¹Ï,Cynanchum thesioides,5,8,8,10,Asclepiadaceae,Cynanchum thesioides,Cynanchum,WD
±äÉ«°×Ç°,Cynanchum versicolor,5,8,7,9,Asclepiadaceae,Cynanchum versicolor,Cynanchum,WD
¸ôÉ½Ïû,Cynanchum wilfordii,5,9,7,10,Asclepiadaceae,Cynanchum wilfordii,Cynanchum,CB
¹·ÑÀ¸ù,Cynodon dactylon,5,10,5,10,Poaceae,Cynodon dactylon,Cynodon,CB
Ë«»¨¹·ÑÀ¸ù,Cynodon dactylon var. biflorus,NA,NA,NA,NA,Poaceae,Cynodon dactylon var. biflorus,Cynodon,CB
ÁğÁ§²İ,Cynoglossum furcatum,5,10,5,10,Boraginaceae,Cynoglossum furcatum,Cynoglossum,CB
°¢ÄÂ¶ûÉ¯²İ,Cyperus amuricus,7,10,7,10,Cyperaceae,Cyperus amuricus,Cyperus,CB
±âËëÉ¯²İ,Cyperus compressus,7,12,7,12,Cyperaceae,Cyperus compressus,Cyperus,CB
³¤¼âÉ¯²İ,Cyperus cuspidatus,6,9,6,9,Cyperaceae,Cyperus cuspidatus,Cyperus,CB
×©×ÓÃç,Cyperus cyperoides,4,10,4,10,Cyperaceae,Mariscus sumatrensis,Mariscus,CB
ÒìĞÍÉ¯²İ,Cyperus difformis,7,10,7,10,Cyperaceae,Cyperus difformis,Cyperus,CB
¸ß¸ÑÉ¯²İ,Cyperus exaltatus,6,8,6,8,Cyperaceae,Cyperus exaltatus,Cyperus,CB
³¤Ëë¸ß¸ÑÉ¯²İ,Cyperus exaltatus var. megalanthus,9,11,9,11,Cyperaceae,Cyperus exaltatus var. megalanthus,Cyperus,CB
ºÖËëÉ¯²İ,Cyperus fuscus,7,10,7,10,Cyperaceae,Cyperus fuscus,Cyperus,CB
Í·×´ËëÉ¯²İ,Cyperus glomeratus,6,10,6,10,Cyperaceae,Cyperus glomeratus,Cyperus,CB
ÆèÅÏÉ¯²İ,Cyperus haspan,NA,NA,NA,NA,Cyperaceae,Cyperus haspan,Cyperus,CB
ËéÃ×É¯²İ,Cyperus iria,6,10,6,10,Cyperaceae,Cyperus iria,Cyperus,CB
ĞıÁÛÉ¯²İ,Cyperus michelianus,6,9,6,9,Cyperaceae,Cyperus michelianus,Cyperus,CB
¾ßÃ¢ËéÃ×É¯²İ,Cyperus microiria,8,10,8,10,Cyperaceae,Cyperus microiria,Cyperus,CB
°×ÁÛÉ¯²İ,Cyperus nipponicus,8,9,8,9,Cyperaceae,Cyperus nipponicus,Cyperus,CB
ÈıÂÖ²İ,Cyperus orthostachyus,8,10,8,10,Cyperaceae,Cyperus orthostachyus,Cyperus,CB
Ã«ÖáÉ¯²İ,Cyperus pilosus,8,11,8,11,Cyperaceae,Cyperus pilosus,Cyperus,CB
°«É¯²İ,Cyperus pygmaeus,10,11,10,11,Cyperaceae,Cyperus pygmaeus,Cyperus,CB
Ïã¸½×Ó,Cyperus rotundus,5,11,5,11,Cyperaceae,Cyperus rotundus,Cyperus,CB
Õ­ËëÉ¯²İ,Cyperus tenuispica,9,11,9,11,Cyperaceae,Cyperus tenuispica,Cyperus,CB
ÉÈÂöè¼À¼,Cypripedium japonicum,4,5,6,10,Orchidaceae,Cypripedium japonicum,Cypripedium,CB
ÑªºìÈâ¹ûÀ¼,Cyrtosia septentrionalis,5,7,9,9,Orchidaceae,Cyrtosia septentrionalis,Cyrtosia,CB
Ñ¼Ã©,Dactylis glomerata,NA,NA,NA,NA,Poaceae,Dactylis glomerata,Dactylis,CB
´ó½ğ¸ÕÌÙ,Dalbergia dyeriana,5,5,NA,NA,Fabaceae,Dalbergia dyeriana,Dalbergia,WD
ÌÙ»ÆÌ´,Dalbergia hancei,3,5,6,11,Fabaceae,Dalbergia hancei,Dalbergia,WD
»ÆÌ´,Dalbergia hupeana,5,7,NA,NA,Fabaceae,Dalbergia hupeana,Dalbergia,WD
Ì¨Íå»¢´Ì,Damnacanthus angustifolius,3,4,12,12,Rubiaceae,Damnacanthus angustifolius,Damnacanthus,WD
¶Ì´Ì»¢´Ì,Damnacanthus giganteus,3,5,11,1,Rubiaceae,Damnacanthus giganteus,Damnacanthus,WD
»¢´Ì,Damnacanthus indicus,3,5,12,3,Rubiaceae,Damnacanthus indicus,Damnacanthus,WD
ÕãÍî»¢´Ì,Damnacanthus macrophyllus,3,5,11,1,Rubiaceae,Damnacanthus macrophyllus,Damnacanthus,WD
Ü¾»¨,Daphne genkwa,3,5,6,7,Thymelaeaceae,Daphne genkwa,Daphne,WD
µ¹ÂÑÒ¶ÈğÏã,Daphne grueningiana,3,4,6,7,Thymelaeaceae,Daphne grueningiana,Daphne,WD
½ğÕ¯ÈğÏã,Daphne jinzhaiensis,NA,NA,NA,NA,Thymelaeaceae,Daphne jinzhaiensis,Daphne,WD
Ã«ÈğÏã,Daphne kiusiana var. atrocaulis,11,2,4,5,Thymelaeaceae,Daphne kiusiana var. atrocaulis,Daphne,WD
ÈğÏã,Daphne odora,3,5,7,8,Thymelaeaceae,Daphne odora,Daphne,WD
½»ÈÃÄ¾,Daphniphyllum macropodum,3,5,8,10,Daphniphyllaceae,Daphniphyllum macropodum,Daphniphyllum,WD
»¢Æ¤éª,Daphniphyllum oldhami,3,5,8,11,Daphniphyllaceae,Daphniphyllum oldhami,Daphniphyllum,WD
»¢Æ¤éª,Daphniphyllum oldhamii,NA,NA,8,8,Daphniphyllaceae,Daphniphyllum oldhami,Daphniphyllum,WD
Ò°ºúÂŞ²·,Daucus carota,5,7,NA,NA,Apiaceae,Daucus carota,Daucus,CB
Ã¨¶ùÊº,Decaisnea insignis,4,6,7,8,Lardizabalaceae,Decaisnea insignis,Decaisnea,WD
ÔóŞ¬½·,Deinostema violacea,NA,NA,NA,NA,Scrophulariaceae,Deinostema violacea,Deinostema,CB
»¹ÁÁ²İ,Delphinium anthriscifolium,3,5,NA,NA,Ranunculaceae,Delphinium anthriscifolium,Delphinium,CB
´ó»¨»¹ÁÁ²İ,Delphinium anthriscifolium var. majus,NA,NA,NA,NA,Ranunculaceae,Delphinium anthriscifolium var. majus,Delphinium,CB
ÂÑ°ê»¹ÁÁ²İ,Delphinium anthriscifolium var. savatieri,NA,NA,NA,NA,Ranunculaceae,Delphinium anthriscifolium var. savatieri,Delphinium,CB
ÏÙÃ«´äÈ¸,Delphinium grandiflorum var. gilgianum,NA,NA,NA,NA,Ranunculaceae,Delphinium grandiflorum var. gilgianum,Delphinium,CB
ÈıĞ¡Ò¶´äÈ¸»¨,Delphinium trifoliolatum,7,8,NA,NA,Ranunculaceae,Delphinium trifoliolatum,Delphinium,CB
È«ÁÑ´äÈ¸»¨,Delphinium trisectum,4,5,NA,NA,Ranunculaceae,Delphinium trisectum,Delphinium,CB
¸Ê¾Õ,Dendranthema lavandulifolium,5,11,5,11,Asteraceae,Chrysanthemum lavandulifolium,Chrysanthemum,CB
ÖØ´½Ê¯õú,Dendrobium hercoglossum,5,6,NA,NA,Orchidaceae,Dendrobium hercoglossum,Dendrobium,CB
Ê¯õú,Dendrobium nobile,4,5,NA,NA,Orchidaceae,Dendrobium nobile,Dendrobium,CB
´ó¹ûÊ÷²Î,Dendropanax chevalieri,8,9,10,12,Araliaceae,Dendropanax chevalieri,Dendropanax,WD
Ê÷²Î,Dendropanax dentiger,8,10,10,12,Araliaceae,Dendropanax dentigerus,Dendropanax,WD
Ê÷²Î,Dendropanax dentigerus,NA,NA,NA,NA,Araliaceae,Dendropanax dentigerus,Dendropanax,WD
²¥Äïİï,Descurainia sophia,4,5,NA,NA,Brassicaceae,Descurainia sophia,Descurainia,CB
¼ÙµØ¶¹,Desmodium heterocarpon,7,10,10,11,Fabaceae,Desmodium heterocarpon,Desmodium,WD
²ÚÃ«¼ÙµØ¶¹,Desmodium heterocarpon var. strigosum,NA,NA,NA,NA,Fabaceae,Desmodium heterocarpon var. strigosum,Desmodium,WD
