scientific name,Chinese name,genus name,family name,first flowering month,last flowering month,first fruiting month,last fruiting month,woodiness
Bulbostylis densa,Ë¿Ò¶ÇòÖù²İ,Bulbostylis,Cyperaceae,4,10,4,10,CB
Bunias orientalis,ğà¹û³×Üù,NA,Brassicaceae,6,7,7,8,CB
Bupleurum angustissimum,ÏßÒ¶²ñºú,NA,Apiaceae,6,7,8,9,CB
Bupleurum chinense,±±²ñºú,NA,Apiaceae,8,9,9,10,CB
Bupleurum euphorbioides,´ó°ú²ñºú,Bupleurum,Apiaceae,6,7,8,9,CB
Bupleurum komarovianum,³¤°×²ñºú,Bupleurum,Apiaceae,7,8,8,9,CB
Bupleurum longiradiatum,´óÒ¶²ñºú,NA,Apiaceae,7,8,8,9,CB
Bupleurum longiradiatum var. breviradiatum,¶ÌÉ¡´óÒ¶²ñºú,NA,Apiaceae,NA,NA,NA,NA,CB
Bupleurum scorzonerifolium,ºì²ñºú,NA,Apiaceae,7,9,7,9,CB
Bupleurum sibiricum,ĞË°²²ñºú,Bupleurum,Apiaceae,7,8,8,9,CB
Butomus umbellatus,»¨İş,NA,Butomaceae,7,9,NA,NA,CB
Calamagrostis epigeios,·÷×ÓÃ©,Calamagrostis,Poaceae,7,9,7,9,CB
Calamagrostis macrolepis,´ó·÷×ÓÃ©,NA,Poaceae,7,9,7,9,CB
Calamagrostis pseudophragmites,¼ÙÎ­·÷×ÓÃ©,Calamagrostis,Poaceae,7,9,7,9,CB
Calla palustris,Ë®Óó,NA,Araceae,6,7,8,8,CB
Callicarpa japonica,ÈÕ±¾×ÏÖé,Callicarpa,Verbenaceae,6,7,8,10,WD
Callistephus chinensis,´ä¾Õ,NA,Asteraceae,8,9,9,10,CB
Callitriche palustris,Ë®Âí³İ,NA,Callitrichaceae,NA,NA,NA,NA,CB
Callitriche palustris var. elegans,¶«±±Ë®Âí³İ,NA,Callitrichaceae,NA,NA,1,12,CB
Caltha palustris,Â¿Ìã²İ,Caltha,Ranunculaceae,5,6,7,7,CB
Caltha palustris var. membranacea,Ä¤Ò¶Â¿Ìã²İ,NA,Ranunculaceae,NA,NA,NA,NA,CB
Caltha palustris var. sibirica,Èı½ÇÒ¶Â¿Ìã²İ,NA,Ranunculaceae,NA,NA,NA,NA,CB
Calystegia pellita,ÌÙ³¤Ãç,NA,Convolvulaceae,7,9,8,10,CB
Calystegia pubescens,ÈáÃ«´òÍë»¨,NA,Convolvulaceae,8,8,NA,NA,CB
Calystegia soldanella,ÉöÒ¶´òÍë»¨,NA,Convolvulaceae,5,7,7,9,CB
Camelina microcarpa,Ğ¡¹ûÑÇÂéÜù,Camelina,Brassicaceae,5,8,6,7,CB
Campanula glomerata,±±½®·çÁå²İ,Campanula,Campanulaceae,7,9,9,10,CB
Campanula glomerata subsp. cephalotes,¾Û»¨·çÁå²İ,NA,Campanulaceae,NA,NA,NA,NA,CB
Campanula punctata,×Ï°ß·çÁå²İ,Campanula,Campanulaceae,6,7,7,9,CB
Capillipedium parviflorum,Ï¸±ú²İ,Capillipedium,Poaceae,8,10,8,10,CB
Capsella bursa-pastoris,Üù,NA,Brassicaceae,5,5,5,6,CB
Caragana arborescens,Ê÷½õ¼¦¶ù,NA,Fabaceae,5,6,8,9,WD
Caragana frutex,»Æ´ÌÌõ,NA,Fabaceae,5,6,7,7,WD
Caragana fruticosa,¼«¶«½õ¼¦¶ù,NA,Fabaceae,6,6,7,7,WD
Caragana litwinowii,½ğÖİ½õ¼¦¶ù,Caragana,Fabaceae,5,5,NA,NA,WD
Caragana manshurica,¶«±±½õ¼¦¶ù,Caragana,Fabaceae,5,5,7,8,WD
Caragana microphylla,Ğ¡Ò¶½õ¼¦¶ù,NA,Fabaceae,6,9,6,9,WD
Caragana rosea,ºì»¨½õ¼¦¶ù,NA,Fabaceae,4,5,6,7,WD
Caragana sinica,½õ¼¦¶ù,NA,Fabaceae,4,5,7,7,WD
Cardamine komarovii,Òí±úËéÃ×Üù,NA,Brassicaceae,5,6,5,6,CB
Cardamine leucantha,°×»¨ËéÃ×Üù,Cardamine,Brassicaceae,5,6,6,7,CB
Cardamine lyrata,Ë®ÌïËéÃ×Üù,Cardamine,Brassicaceae,6,7,7,8,CB
Cardamine macrophylla,´óÒ¶ËéÃ×Üù,Cardamine,Brassicaceae,5,6,7,8,CB
Cardamine parviflora,Ğ¡»¨ËéÃ×Üù,NA,Brassicaceae,5,6,6,7,CB
Cardamine scutata,Ô²³İËéÃ×Üù,Cardamine,Brassicaceae,5,6,9,11,CB
Carduus crispus,Ë¿Ã«·ÉÁ®,NA,Asteraceae,5,9,5,9,CB
Carex amgunensis,ÇòËëŞ·²İ,Carex,Cyperaceae,5,6,5,6,CB
Carex angustinowiczii,¶ÌÁÛŞ·²İ,NA,Cyperaceae,NA,NA,NA,NA,CB
Carex arnellii,Âé¸ùŞ·²İ,Carex,Cyperaceae,5,6,5,6,CB
Carex bostrychostigma,¾íÖùÍ·Ş·²İ,Carex,Cyperaceae,5,7,5,7,CB
Carex breviculmis,ÇàÂÌŞ·²İ,Carex,Cyperaceae,3,6,3,6,CB
Carex callitrichos,ÑòĞë²İ,NA,Cyperaceae,4,7,4,7,CB
Carex callitrichos var. nana,°«´ÔŞ·²İ,NA,Cyperaceae,4,7,4,7,CB
Carex capillacea,·¢¸ÑŞ·²İ,Carex,Cyperaceae,5,6,5,6,CB
Carex capricornis,¹­à¹Ş·²İ,Carex,Cyperaceae,6,8,6,8,CB
Carex cinerascens,»Ò»¯Ş·²İ,Carex,Cyperaceae,6,7,6,7,CB
Carex coriophora,±âÄÒŞ·²İ,NA,Cyperaceae,6,8,6,8,CB
Carex coriophora subsp. langtaodianensis,ÀËÌÔµîŞ·²İ,NA,Cyperaceae,NA,NA,NA,NA,CB
Carex dispalata,Öå¹ûŞ·²İ,NA,Cyperaceae,5,6,5,6,CB
Carex duriuscula,´ç²İ,Carex,Cyperaceae,4,6,4,6,CB
Carex duriuscula subsp. rigescens,°×Ó±Ş·²İ,NA,Cyperaceae,NA,NA,NA,NA,CB
Carex duriuscula subsp. stenophylloides,Ï¸Ò¶Ş·²İ,NA,Cyperaceae,NA,NA,NA,NA,CB
Carex egena,ÉÙÄÒŞ·²İ,Carex,Cyperaceae,5,6,5,6,CB
Carex enervis,ÎŞÂöŞ·²İ,NA,Cyperaceae,6,8,6,8,CB
Carex forficula,ÏªË®Ş·²İ,NA,Cyperaceae,5,6,5,6,CB
Carex glabrescens,ÁÉ¶«Ş·²İ,NA,Cyperaceae,4,6,4,6,CB
Carex glaucaeformis,Ã×ÖùŞ·²İ,Carex,Cyperaceae,5,6,5,6,CB
Carex gotoi,²æ³İŞ·²İ,Carex,Cyperaceae,5,7,5,7,CB
Carex heterolepis,ÒìÁÛŞ·²İ,NA,Cyperaceae,5,6,5,6,CB
Carex heterostachya,ÒìËëŞ·²İ,NA,Cyperaceae,5,7,5,7,CB
Carex humilis,µÍ°«Ş·²İ,NA,Cyperaceae,4,5,4,5,CB
Carex humilis var. scirrobasis,³ûÌïŞ·²İ,NA,Cyperaceae,NA,NA,NA,NA,CB
Carex hypochlora,ÂÌÄÒŞ·²İ,NA,Cyperaceae,5,6,5,6,CB
Carex jaluensis,Ñ¼ÂÌŞ·²İ,Carex,Cyperaceae,5,7,5,7,CB
Carex japonica,ÈÕ±¾Ş·²İ,Carex,Cyperaceae,5,7,5,7,CB
Carex karoi,Ğ¡Á£Ş·²İ,Carex,Cyperaceae,5,7,5,7,CB
Carex kirinensis,¼ªÁÖŞ·²İ,NA,Cyperaceae,NA,NA,NA,NA,CB
Carex kobomugi,É¸²İ,Carex,Cyperaceae,5,7,5,7,CB
Carex korshinskyi,»ÆÄÒŞ·²İ,Carex,Cyperaceae,5,7,5,7,CB
Carex laevissima,¼Ù¼â×ìŞ·²İ,Carex,Cyperaceae,6,8,6,8,CB
Carex lanceolata,´óÅûÕëŞ·²İ,NA,Cyperaceae,4,6,4,6,CB
Carex lanceolata var. subpediformis,ÑÇ±úŞ·²İ,NA,Cyperaceae,NA,NA,NA,NA,CB
Carex lasiocarpa,Ã«Ş·²İ,Carex,Cyperaceae,6,7,6,7,CB
Carex latisquamea,¿íÁÛŞ·²İ,Carex,Cyperaceae,5,7,5,7,CB
Carex leiorhyncha,¼â×ìŞ·²İ,Carex,Cyperaceae,5,7,5,7,CB
Carex lithophila,¶şÖùŞ·²İ,Carex,Cyperaceae,5,7,5,7,CB
Carex longerostrata var. pallida,Ï¸ËëŞ·²İ,NA,Cyperaceae,NA,NA,NA,NA,CB
Carex maackii,ÂÑ¹ûŞ·²İ,Carex,Cyperaceae,5,7,5,7,CB
Carex maximowiczii,ÈéÍ»Ş·²İ,NA,Cyperaceae,6,7,6,7,CB
Carex meyeriana,ÎÚÀ­²İ,Carex,Cyperaceae,6,7,6,7,CB
Carex neurocarpa,Òí¹ûŞ·²İ,Carex,Cyperaceae,5,7,5,7,CB
Carex omiana,ĞÇËëŞ·²İ,Carex,Cyperaceae,5,7,5,7,CB
Carex onoei,ÕëÒ¶Ş·²İ,NA,Cyperaceae,5,7,5,7,CB
Carex orthostachys,Ö±ËëŞ·²İ,NA,Cyperaceae,6,8,6,8,CB
Carex pallida,ğàÄÒŞ·²İ,NA,Cyperaceae,6,8,6,8,CB
Carex pediformis,±ú×´Ş·²İ,NA,Cyperaceae,5,9,5,9,CB
Carex peiktusani,°×Í·É½Ş·²İ,NA,Cyperaceae,6,7,6,7,CB
Carex pilosa,Ã«ÔµŞ·²İ,Carex,Cyperaceae,6,7,6,7,CB
Carex pisiformis,Íã¶¹ĞÎŞ·²İ,Carex,Cyperaceae,5,6,5,6,CB
Carex planiculmis,±â¸ÑŞ·²İ,Carex,Cyperaceae,4,8,4,8,CB
Carex pumila,°«ÉúŞ·²İ,NA,Cyperaceae,5,6,5,6,CB
Carex quadriflora,ËÄ»¨Ş·²İ,NA,Cyperaceae,5,6,5,6,CB
Carex raddei,×¶ÄÒŞ·²İ,Carex,Cyperaceae,6,7,6,7,CB
Carex remotiuscula,Ë¿ÒıŞ·²İ,Carex,Cyperaceae,6,7,6,7,CB
Carex reptabunda,×ß¾¥Ş·²İ,Carex,Cyperaceae,6,7,6,7,CB
Carex rugulosa,´ÖÂöŞ·²İ,Carex,Cyperaceae,6,7,6,7,CB
Carex scabrifolia,²ÚÒ¶Ş·²İ,Carex,Cyperaceae,5,7,5,7,CB
Carex siderosticta,¿íÒ¶Ş·²İ,Carex,Cyperaceae,5,7,5,7,CB
Carex siderosticta var. pilosa,Ã«Ôµ¿íÒ¶Ş·²İ,NA,Cyperaceae,NA,NA,NA,NA,CB
Carex thunbergii,Ä°ÉÏİÑ,Carex,Cyperaceae,5,6,5,6,CB
Carex ussuriensis,ÎÚËÕÀïŞ·²İ,Carex,Cyperaceae,6,7,6,7,CB
Carex vesicaria,ÕÍÄÒŞ·²İ,Carex,Cyperaceae,6,8,6,8,CB
Carex yamatsutana,É½ÁÖŞ·²İ,Carex,Cyperaceae,6,7,6,7,CB
Carlesia sinensis,É½ÜîÏã,NA,Apiaceae,8,9,9,10,CB
Carpesium cernuum,ÑÌ¹ÜÍ·²İ,NA,Asteraceae,7,9,9,10,CB
Carpesium divaricatum,½ğÍÚ¶ú,NA,Asteraceae,7,10,10,11,CB
Carpesium macrocephalum,´ó»¨½ğÍÚ¶ú,NA,Asteraceae,7,9,9,10,CB
Carpesium triste,°µ»¨½ğÍÚ¶ú,NA,Asteraceae,7,9,9,10,CB
Carpinus cordata,Ç§½ïÓÜ,NA,Betulaceae,5,6,7,8,WD
Carpinus turczaninowii,¶ì¶úèÀ,NA,Betulaceae,5,7,7,9,WD
Carum buriaticum,Ìï¸ğÂÆ×Ó,NA,Apiaceae,6,7,7,8,CB
Castanea mollissima,Àõ,NA,Fagaceae,4,5,8,10,WD
Catalpa ovata,è÷,NA,Bignoniaceae,6,7,8,10,WD
Caulophyllum robustum,ºìÃ«Ê¿,Caulophyllum,Berberidaceae,5,5,7,8,CB
Celastrus flagellaris,´Ì°úÄÏÉßÌÙ,Celastrus,Celastraceae,5,5,7,8,WD
Celastrus orbiculatus,ÄÏÉßÌÙ,NA,Celastraceae,5,7,8,9,WD
Celtis bungeana,ºÚµ¯Ê÷,NA,Ulmaceae,4,5,9,10,WD
Celtis koraiensis,´óÒ¶ÆÓ,NA,Ulmaceae,4,5,9,10,WD
Centaurium pulchellum,ÃÀÀö°×½ğ»¨,Centaurium,Gentianaceae,7,7,8,8,CB
Centaurium pulchellum var. altaicum,°×½ğ»¨,NA,Gentianaceae,NA,NA,NA,NA,CB
Centipeda minima,Ê¯ºúİ´,NA,Asteraceae,NA,NA,NA,NA,CB
Cephalanthera longibracteata,³¤°úÍ·ÈïÀ¼,Cephalanthera,Orchidaceae,6,6,8,8,CB
Cerastium arvense,¾í¶ú,NA,Caryophyllaceae,NA,NA,NA,NA,CB
Cerastium fontanum subsp. vulgare,´ØÉúÈª¾í¶ú,NA,Caryophyllaceae,NA,NA,NA,NA,CB
Cerastium pauciflorum var. oxalidiflorum,Ã«Èï¾í¶ú,NA,Caryophyllaceae,5,7,7,8,CB
Cerasus humilis,Å·Àî,NA,Rosaceae,4,5,8,8,WD
Cerasus japonica,ÓôÀî,NA,Rosaceae,4,5,7,8,WD
Cerasus japonica var. nakaii,³¤¹£ÓôÀî,NA,Rosaceae,5,5,6,7,WD
Cerasus maximowiczii,ºÚÓ£ÌÒ,Cerasus,Rosaceae,6,6,8,9,WD
Cerasus pseudocerasus,Ó£ÌÒ,NA,Rosaceae,3,4,5,6,WD
Cerasus serrulata,É½Ó£»¨,Cerasus,Rosaceae,4,4,7,7,WD
Cerasus serrulata var. pubescens,Ã«Ò¶É½Ó£»¨,NA,Rosaceae,4,5,5,7,WD
Cerasus tomentosa,Ã«Ó£ÌÒ,NA,Rosaceae,4,5,6,6,WD
Ceratophyllum muricatum subsp. kossinskyi,´Ö²Ú½ğÓãÔå,NA,Ceratophyllaceae,7,10,7,10,CB
Ceratophyllum platyacanthum subsp. oryzetorum,Îå´Ì½ğÓãÔå,NA,Ceratophyllaceae,6,9,6,9,CB
Chaenomeles sinensis,Ä¾¹Ï,NA,Rosaceae,4,4,9,10,WD
Chaenomeles speciosa,Ìù¹£º£ÌÄ,NA,Rosaceae,5,5,9,10,WD
Chamaedaphne calyculata,µØ¹ğ,Chamaedaphne,Ericaceae,6,6,7,7,WD
Chamaerhodos canescens,»ÒÃ«µØÇ¾Ş±,Chamaerhodos,Rosaceae,6,8,8,9,CB
Chamaerhodos erecta,µØÇ¾Ş±,Chamaerhodos,Rosaceae,7,8,8,9,CB
Chamerion angustifolium,ÁøÀ¼,NA,Onagraceae,NA,NA,NA,NA,CB
Chelidonium majus,°×Çü²Ë,NA,Papaveraceae,6,9,6,9,CB
Chenopodium acuminatum,¼âÍ·Ò¶Ş¼,NA,Chenopodiaceae,6,8,8,9,CB
Chenopodium bryoniifolium,ÁâÒ¶Ş¼,NA,Chenopodiaceae,7,9,7,9,CB
Chenopodium glaucum,»ÒÂÌŞ¼,Chenopodium,Chenopodiaceae,6,9,8,10,CB
Chenopodium urbicum,ÊĞŞ¼,Chenopodium,Chenopodiaceae,8,9,10,10,CB
Chimaphila japonica,Ï²¶¬²İ,NA,Ericaceae,8,9,8,9,WD
Chionanthus retusus,Á÷ËÕÊ÷,NA,Oleaceae,3,6,6,11,WD
Chloranthus japonicus,ÒøÏß²İ,Chloranthus,Chloranthaceae,4,5,6,7,CB
Chorisis repens,É³¿àİ¤²Ë,NA,Asteraceae,NA,NA,NA,NA,CB
Chorispora tenella,Àë×Ó½æ,NA,Brassicaceae,4,6,5,8,CB
Chosenia arbutifolia,×êÌìÁø,NA,Salicaceae,5,5,6,6,WD
Chrysanthemum chanetii,Ğ¡ºì¾Õ,NA,Asteraceae,9,10,9,10,CB
Chrysanthemum indicum,Ò°¾Õ,NA,Asteraceae,9,10,9,10,CB
Chrysanthemum lavandulifolium,¸Ê¾Õ,NA,Asteraceae,5,11,5,11,CB
Chrysanthemum maximowiczii,Ï¸Ò¶¾Õ,NA,Asteraceae,7,9,NA,NA,CB
Chrysanthemum naktongense,Ğ¨Ò¶¾Õ,NA,Asteraceae,7,8,7,8,CB
Chrysanthemum zawadskii,×Ï»¨Ò°¾Õ,NA,Asteraceae,9,10,9,10,CB
Chrysosplenium flagelliferum,Âû½ğÑü,Chrysosplenium,Saxifragaceae,5,5,5,7,CB
Chrysosplenium japonicum,ÈÕ±¾½ğÑü,NA,Saxifragaceae,5,5,5,6,CB
Chrysosplenium lectus-cochleae,ÁÖ½ğÑü,Chrysosplenium,Saxifragaceae,5,5,9,9,CB
Chrysosplenium pilosum,Ã«½ğÑü,Chrysosplenium,Saxifragaceae,4,6,4,6,CB
Chrysosplenium ramosum,¶àÖ¦½ğÑü,Chrysosplenium,Saxifragaceae,5,8,5,8,CB
Chrysosplenium sinicum,ÖĞ»ª½ğÑü,Chrysosplenium,Saxifragaceae,4,8,4,8,CB
Cicuta virosa,¶¾ÇÛ,Cicuta,Apiaceae,7,8,8,9,CB
Cimicifuga dahurica,ĞË°²ÉıÂé,NA,Ranunculaceae,7,8,8,9,CB
Cimicifuga heracleifolia,´óÈıÒ¶ÉıÂé,NA,Ranunculaceae,8,9,9,10,CB
Cimicifuga simplex,µ¥ËëÉıÂé,NA,Ranunculaceae,7,9,8,9,CB
Cinna latifolia,µ¥Èï²İ,Cinna,Poaceae,8,9,8,9,CB
Circaea alpina,¸ßÉ½Â¶Öé²İ,NA,Onagraceae,7,8,7,8,CB
Circaea alpina subsp. caulescens,ÉîÉ½Â¶Öé²İ,NA,Onagraceae,6,9,7,9,CB
Circaea canadensis subsp. quadrisulcata,Ë®Öé²İ,NA,Onagraceae,6,8,7,9,CB
Circaea cordata,Â¶Öé²İ,NA,Onagraceae,6,7,7,8,CB
Circaea mollis,ÄÏ·½Â¶Öé²İ,NA,Onagraceae,7,8,8,9,CB
Cirsium arvense,Ë¿Â·¼»,Cirsium,Asteraceae,6,9,6,9,CB
Cirsium chinense,ÂÌ¼»,NA,Asteraceae,NA,NA,NA,NA,CB
Cirsium esculentum,Á«×ù¼»,Cirsium,Asteraceae,8,9,8,9,CB
Cirsium leo,¿ı¼»,NA,Asteraceae,5,9,5,9,CB
Cirsium lineare,ÏßÒ¶¼»,Cirsium,Asteraceae,9,10,9,10,CB
Cirsium maackii,Ò°¼»,NA,Asteraceae,6,7,7,8,CB
Cirsium pendulum,ÑÌ¹Ü¼»,Cirsium,Asteraceae,6,7,8,9,CB
Cirsium salicifolium,¿é¼»,NA,Asteraceae,NA,NA,NA,NA,CB
Cirsium schantarense,ÁÖ¼»,Cirsium,Asteraceae,6,9,6,9,CB
Cirsium setosum,´Ì¶ù²Ë,Cirsium,Asteraceae,7,9,7,9,CB
Cirsium vlassovianum,ÈŞ±³¼»,Cirsium,Asteraceae,5,9,5,9,CB
Clausia trichosepala,Ã«İàÏã½æ,Clausia,Brassicaceae,5,8,5,8,CB
Cleistogenes caespitosa,´ÔÉúÒş×Ó²İ,Cleistogenes,Poaceae,7,9,7,9,CB
Cleistogenes festucacea,±¡ÇÊÒş×Ó²İ,Cleistogenes,Poaceae,8,10,8,10,CB
Cleistogenes hackelii,³¯ÑôÒş×Ó²İ,Cleistogenes,Poaceae,7,11,7,11,CB
Cleistogenes hackelii var. nakaii,¿íÒ¶Òş×Ó²İ,NA,Poaceae,7,10,7,10,CB
Cleistogenes hancei,±±¾©Òş×Ó²İ,Cleistogenes,Poaceae,8,9,8,9,CB
Cleistogenes polyphylla,¶àÒ¶Òş×Ó²İ,Cleistogenes,Poaceae,7,10,7,10,CB
Cleistogenes squarrosa,²ÚÒş×Ó²İ,Cleistogenes,Poaceae,8,10,8,10,CB
Clematis brevicaudata,¶ÌÎ²ÌúÏßÁ«,Clematis,Ranunculaceae,8,9,9,10,WD
Clematis fusca,ºÖÃ«ÌúÏßÁ«,Clematis,Ranunculaceae,6,7,8,9,CB
Clematis fusca var. violacea,×Ï»¨ÌúÏßÁ«,NA,Ranunculaceae,NA,NA,NA,NA,CB
Clematis heracleifolia,´óÒ¶ÌúÏßÁ«,NA,Ranunculaceae,8,9,10,10,CB
Clematis hexapetala,ÃŞÍÅÌúÏßÁ«,Clematis,Ranunculaceae,6,8,7,9,CB
Clematis intricata,»Æ»¨ÌúÏßÁ«,Clematis,Ranunculaceae,7,8,8,9,WD
Clematis koreana,³¯ÏÊÌúÏßÁ«,Clematis,Ranunculaceae,5,5,7,7,WD
Clematis macropetala,³¤°êÌúÏßÁ«,Clematis,Ranunculaceae,7,7,8,8,WD
Clematis patens,×ª×ÓÁ«,Clematis,Ranunculaceae,5,6,6,7,CB
Clematis serratifolia,³İÒ¶ÌúÏßÁ«,Clematis,Ranunculaceae,8,8,9,10,WD
Clematis sibirica var. ochotensis,°ëÖÓÌúÏßÁ«,NA,Ranunculaceae,5,6,7,8,WD
Clematis terniflora var. mandshurica,À±Ş¤ÌúÏßÁ«,NA,Ranunculaceae,5,6,7,8,WD
Clematis tubulosa,¹Ü»¨ÌúÏßÁ«,NA,Ranunculaceae,NA,NA,NA,NA,
Clerodendrum trichotomum,º£Öİ³£É½,NA,Verbenaceae,8,9,9,10,WD
Clerodendrum trichotomum var. ferrugineum,ĞâÃ«º£Öİ³£É½,NA,Verbenaceae,NA,NA,NA,NA,WD
Clinopodium urticifolium,ÂéÒ¶·çÂÖ²Ë,NA,Lamiaceae,6,8,8,10,CB
Clintonia udensis,Æß½î¹½,Clintonia,Liliaceae,5,6,7,10,CB
Cnidium japonicum,±õÉß´²,Cnidium,Apiaceae,8,9,9,10,CB
Cocculus orbiculatus,Ä¾·À¼º,NA,Menispermaceae,NA,NA,NA,NA,WD
Codonopsis lanceolata,ÑòÈé,NA,Campanulaceae,7,8,8,9,CB
Codonopsis pilosula,µ³²Î,NA,Campanulaceae,7,10,7,10,CB
Codonopsis ussuriensis,È¸°ßµ³²Î,Codonopsis,Campanulaceae,7,8,8,9,CB
Coeloglossum viride,°¼ÉàÀ¼,NA,Orchidaceae,6,7,8,8,CB
Commelina benghalensis,·¹°ü²İ,NA,Commelinaceae,6,11,6,11,CB
Commelina communis,Ñ¼õÅ²İ,NA,Commelinaceae,6,8,8,9,CB
Convallaria majalis,ÁåÀ¼,NA,Liliaceae,5,6,7,9,CB
Convolvulus ammannii,Òø»ÒĞı»¨,NA,Convolvulaceae,6,8,7,8,CB
Conyza canadensis,Ğ¡Åî²İ,NA,Asteraceae,6,10,6,10,CB
Corchoropsis crenata,ÌïÂé,NA,Tiliaceae,4,6,9,11,CB
Corchoropsis crenata var. hupehensis,¹â¹ûÌïÂé,NA,Tiliaceae,8,9,9,10,CB
Corethrodendron lignosum,Ä¾É½Öñ×Ó,NA,Fabaceae,7,8,8,9,WD
Corispermum candelabrum,ÖòÌ¨³æÊµ,Corispermum,Chenopodiaceae,7,9,7,9,CB
Corispermum chinganicum,ĞË°²³æÊµ,Corispermum,Chenopodiaceae,6,8,6,8,CB
Corispermum confertum,ÃÜËë³æÊµ,Corispermum,Chenopodiaceae,7,8,7,8,CB
Corispermum declinatum,Éş³æÊµ,Corispermum,Chenopodiaceae,6,9,6,9,CB
Corispermum dilutum,ÁÉÎ÷³æÊµ,Corispermum,Chenopodiaceae,7,9,7,9,CB
Corispermum elongatum,³¤Ëë³æÊµ,Corispermum,Chenopodiaceae,7,8,8,9,CB
Corispermum macrocarpum,´ó¹û³æÊµ,Corispermum,Chenopodiaceae,7,9,7,9,CB
Corispermum platypterum,¿í³á³æÊµ,Corispermum,Chenopodiaceae,8,8,9,10,CB
Corispermum puberulum,ÈíÃ«³æÊµ,Corispermum,Chenopodiaceae,7,9,7,9,CB
Corispermum stauntonii,»ª³æÊµ,Corispermum,Chenopodiaceae,7,9,7,9,CB
Corispermum stenolepis,Ï¸°ú³æÊµ,Corispermum,Chenopodiaceae,8,9,8,9,CB
Corispermum tylocarpum,Ã«¹ûÉş³æÊµ,NA,Chenopodiaceae,NA,NA,NA,NA,CB
Cornus alba,ºìÈğÄ¾,NA,Cornaceae,5,7,7,8,WD
Cornus bretschneideri,É³—…,NA,Cornaceae,6,6,9,9,WD
Cornus coreana,³¯ÏÊ—…Ä¾,NA,Cornaceae,8,9,10,10,WD
Cornus walteri,Ã«—…,Cornus,Cornaceae,6,6,8,10,WD
Corydalis caudata,Ğ¡Ò©°Ëµ©×Ó,NA,Papaveraceae,4,5,4,5,CB
Corydalis edulis,×ÏİÀ,NA,Papaveraceae,4,7,4,7,CB
Corydalis fumariifolia,İÀÒ¶ÑÓºúË÷,NA,Papaveraceae,3,5,3,5,CB
Corydalis gamosepala,±±¾©ÑÓºúË÷,NA,Papaveraceae,5,6,5,6,CB
Corydalis kiautschouensis,½ºÖİÑÓºúË÷,NA,Papaveraceae,4,5,4,5,CB
Corydalis ochotensis,»Æ×ÏİÀ,Corydalis,Papaveraceae,6,9,6,9,CB
Corydalis pallida,»ÆİÀ,NA,Papaveraceae,4,6,5,7,CB
Corydalis raddeana,Ğ¡»Æ×ÏİÀ,Corydalis,Papaveraceae,6,10,6,10,CB
Corydalis repens,È«Ò¶ÑÓºúË÷,NA,Papaveraceae,4,4,5,5,CB
Corydalis repens var. watanabei,½Ç°êÑÓºúË÷,NA,Papaveraceae,NA,NA,NA,NA,CB
Corydalis speciosa,Öé¹û»ÆİÀ,NA,Papaveraceae,NA,NA,NA,NA,CB
Corydalis ternata,ÈıÁÑÑÓºúË÷,NA,Papaveraceae,NA,NA,NA,NA,CB
Corydalis turtschaninovii,³İ°êÑÓºúË÷,NA,Papaveraceae,4,5,5,6,CB
Corylus heterophylla,é»,NA,Betulaceae,5,7,7,8,WD
Corylus mandshurica,Ã«é»,NA,Betulaceae,5,5,9,9,WD
Cotinus coggygria,»ÆèÓ,NA,Anacardiaceae,2,8,5,11,WD
Cotinus coggygria var. cinerea,ºìÒ¶,NA,Anacardiaceae,2,5,5,8,WD
Cotoneaster acutifolius,»Ò–Õ×Ó,Cotoneaster,Rosaceae,5,6,9,10,WD
Cotoneaster melanocarpus,ºÚ¹û–Õ×Ó,Cotoneaster,Rosaceae,5,6,8,9,WD
Cotoneaster multiflorus,Ë®–Õ×Ó,NA,Rosaceae,5,6,8,9,WD
Crataegus dahurica,¹âÒ¶É½é«,Crataegus,Rosaceae,5,5,8,8,WD
Crataegus maximowiczii,Ã«É½é«,NA,Rosaceae,5,6,8,9,WD
Crataegus pinnatifida,É½é«,NA,Rosaceae,5,6,8,10,WD
Crataegus pinnatifida var. major,É½Àïºì,NA,Rosaceae,NA,NA,NA,NA,WD
Crataegus pinnatifida var. psilosa,ÎŞÃ«É½é«,NA,Rosaceae,NA,NA,NA,NA,WD
Crataegus sanguinea,ÁÉÄşÉ½é«,Crataegus,Rosaceae,5,6,7,8,WD
Crotalaria sessiliflora,Ò°°ÙºÏ,NA,Fabaceae,5,11,10,2,CB
Crypsis aculeata,Òş»¨²İ,Crypsis,Poaceae,7,9,7,9,CB
Cuscuta japonica,½ğµÆÌÙ,Cuscuta,Convolvulaceae,6,8,8,10,CB
Cymbaria daurica,´ïÎÚÀïĞ¾°ú,NA,Scrophulariaceae,6,8,7,9,CB
Cymbaria mongolica,ÃÉ¹ÅĞ¾°ú,Cymbaria,Scrophulariaceae,4,8,NA,NA,CB
Cymbopogon goeringii,éÙ²İ,Cymbopogon,Poaceae,8,10,8,10,CB
Cynanchum acutum subsp. sibiricum,êªÒ¶¶ìÈŞÌÙ,NA,Asclepiadaceae,5,8,6,10,CB
Cynanchum amplexicaule,ºÏÕÆÏû,Cynanchum,Asclepiadaceae,5,9,7,9,CB
Cynanchum atratum,°×Ş±,Cynanchum,Asclepiadaceae,5,6,7,9,CB
