scientific name,Chinese name,family name,first flowering month,last flowering month,first fruiting month,last fruiting month,woodiness
Cryptocarya concinna,»Æ¹ûºñ¿Ç¹ğ,Lauraceae,5,5,10,10,WD
Cryptocarya densiflora,´Ô»¨ºñ¿Ç¹ğ,Lauraceae,4,6,7,11,WD
Cryptocarya hainanensis,º£ÄÏºñ¿Ç¹ğ,Lauraceae,4,4,8,1,WD
Cryptocarya impressinervia,¶ÛÒ¶ºñ¿Ç¹ğ,Lauraceae,6,7,8,1,WD
Cryptocarya leiana,¼¦ÂÑéÂ,Lauraceae,9,9,6,9,WD
Cryptocarya maclurei,°×±³ºñ¿Ç¹ğ,Lauraceae,9,4,8,2,WD
Cryptocarya metcalfiana,³¤Ğòºñ¿Ç¹ğ,Lauraceae,NA,NA,NA,NA,WD
Cryptocarya tsangii,ºì±úºñ¿Ç¹ğ,Lauraceae,NA,NA,8,10,WD
Cryptolepis sinensis,°×Ò¶ÌÙ,Asclepiadaceae,4,9,6,2,WD
Cryptostylis arachnites,ÒşÖùÀ¼,Orchidaceae,5,6,NA,NA,CB
Curculigo capitulata,´óÒ¶ÏÉÃ©,Amaryllidaceae,5,6,8,9,CB
Curculigo glabrescens,¹âÒ¶ÏÉÃ©,Amaryllidaceae,4,9,4,9,CB
Curculigo orchioides,ÏÉÃ©,Amaryllidaceae,4,9,4,9,CB
Curcuma aromatica,Óô½ğ,Zingiberaceae,4,6,NA,NA,CB
Curcuma phaeocaulis,İ­Êõ,Zingiberaceae,4,6,NA,NA,CB
Cyanotis arachnoidea,ÖëË¿Ã«À¶¶ú²İ,Commelinaceae,6,9,10,10,CB
Cyanotis axillaris,ÇÊ°ú»¨,Commelinaceae,3,11,NA,NA,CB
Cyanotis cristata,ËÄ¿×²İ,Commelinaceae,7,8,9,10,CB
Cyanotis loureiroana,É³µØÀ¶¶ú²İ,Commelinaceae,12,2,NA,NA,CB
Cyanotis vaga,À¶¶ú²İ,Commelinaceae,7,9,10,10,CB
Cyathula prostrata,±­ÜÈ,Amaranthaceae,9,11,6,11,CB
Cyclea barbata,Ã«Ò¶ÂÖ»·ÌÙ,Menispermaceae,9,11,12,2,CB
Cyclea gracillima,ÏËÏ¸ÂÖ»·ÌÙ,Menispermaceae,4,8,NA,NA,CB
Cyclea hypoglauca,·ÛÒ¶ÂÖ»·ÌÙ,Menispermaceae,8,9,9,10,WD
Cyclea polypetala,ÌúÌÙ,Menispermaceae,4,11,4,11,WD
Cyclobalanopsis albicaulis,°×Ö¦Çà¸Ô,Fagaceae,10,10,11,12,WD
Cyclobalanopsis bella,éÄÀÆÇà¸Ô,Fagaceae,2,4,10,12,WD
Cyclobalanopsis blakei,èİ×ÓÇà¸Ô,Fagaceae,3,3,10,12,WD
Cyclobalanopsis championii,ÁëÄÏÇà¸Ô,Fagaceae,12,3,11,12,WD
Cyclobalanopsis chevalieri,ºÚ¹ûÇà¸Ô,Fagaceae,NA,NA,NA,NA,WD
Cyclobalanopsis disciformis,µú¶·Çà¸Ô,Fagaceae,3,4,8,12,WD
Cyclobalanopsis dongfangensis,¶«·½Çà¸Ô,Fagaceae,NA,NA,NA,NA,WD
Cyclobalanopsis edithiae,»ªÄÏÇà¸Ô,Fagaceae,NA,NA,10,12,WD
Cyclobalanopsis fleuryi,·¹êµÇà¸Ô,Fagaceae,3,4,10,12,WD
Cyclobalanopsis glauca,Çà¸Ô,Fagaceae,4,5,10,10,WD
Cyclobalanopsis hefleriana,Ã«Ö¦Çà¸Ô,Fagaceae,NA,NA,NA,NA,WD
Cyclobalanopsis hui,À×¹«Çà¸Ô,Fagaceae,4,5,10,12,WD
Cyclobalanopsis kerrii,Ã«Ò¶Çà¸Ô,Fagaceae,3,5,10,11,WD
Cyclobalanopsis kouangsiensis,¹ãÎ÷Çà¸Ô,Fagaceae,NA,NA,NA,NA,WD
Cyclobalanopsis litoralis,¼â·åÇà¸Ô,Fagaceae,12,12,6,7,WD
Cyclobalanopsis neglecta,ÖñÒ¶Çà¸Ô,Fagaceae,2,3,8,11,WD
Cyclobalanopsis patelliformis,ÍĞÅÌÇà¸Ô,Fagaceae,5,6,10,11,WD
Cyclobalanopsis phanera,ÁÁÒ¶Çà¸Ô,Fagaceae,NA,NA,NA,NA,WD
Cyclobalanopsis subhinoidea,Â¹È×Çà¸Ô,Fagaceae,NA,NA,NA,NA,WD
Cyclobalanopsis tiaoloshanica,µõÂŞÉ½Çà¸Ô,Fagaceae,1,2,10,12,WD
Cyclocodon lancifolius,³¤Ò¶ÂÖÖÓ²İ,Campanulaceae,7,11,7,11,CB
Cymaria acuminata,³¤±úáªÉ¡»¨,Lamiaceae,7,8,9,11,WD
Cymaria dichotoma,áªÉ¡»¨,Lamiaceae,7,7,8,10,WD
Cymbidium aloifolium,ÎÆ°êÀ¼,Orchidaceae,4,5,NA,NA,CB
Cymbidium cyperifolium,É¯Ò¶À¼,Orchidaceae,10,2,NA,NA,CB
Cymbidium dayanum,¶¬·ïÀ¼,Orchidaceae,10,11,NA,NA,CB
Cymbidium eburneum,¶ÀÕ¼´º,Orchidaceae,2,3,NA,NA,CB
Cymbidium ensifolium,½¨À¼,Orchidaceae,6,10,NA,NA,CB
Cymbidium floribundum,¶à»¨À¼,Orchidaceae,4,8,NA,NA,CB
Cymbidium insigne,ÃÀ»¨À¼,Orchidaceae,11,11,NA,NA,CB
Cymbidium kanran,º®À¼,Orchidaceae,8,12,NA,NA,CB
Cymbidium lancifolium,ÍÃ¶úÀ¼,Orchidaceae,5,8,NA,NA,CB
Cymbidium mannii,Ó²Ò¶À¼,Orchidaceae,3,4,NA,NA,CB
Cymbidium sinense,Ä«À¼,Orchidaceae,3,4,NA,NA,CB
Cymbopogon mekongensis,ÇàÏãÃ©,Poaceae,7,9,7,9,CB
Cymodocea rotundata,Ë¿·ÛÔå,Najadaceae,NA,NA,NA,NA,CB
Cynanchum insulanum,º£ÄÏ±­¹ÚÌÙ,Asclepiadaceae,5,10,NA,NA,CB
Cynanchum insulanum var. lineare,ÏßÒ¶±­¹ÚÌÙ,Asclepiadaceae,6,11,NA,NA,CB
Cynodon dactylon,¹·ÑÀ¸ù,Poaceae,5,10,5,10,CB
Cynodon radiatus,ÍäËë¹·ÑÀ¸ù,Poaceae,7,11,7,11,CB
Cyperus compressus,±âËëÉ¯²İ,Cyperaceae,7,12,7,12,CB
Cyperus cuspidatus,³¤¼âÉ¯²İ,Cyperaceae,6,9,6,9,CB
Cyperus diffusus,¶àÂöÉ¯²İ,Cyperaceae,6,9,6,9,CB
Cyperus distans,ÊèËëÉ¯²İ,Cyperaceae,7,8,7,8,CB
Cyperus exaltatus,¸ß¸ÑÉ¯²İ,Cyperaceae,6,8,6,8,CB
Cyperus exaltatus var. hainanensis,º£ÄÏ¸ß¸ÑÉ¯²İ,Cyperaceae,NA,NA,NA,NA,CB
Cyperus haspan,ÆèÅÏÉ¯²İ,Cyperaceae,NA,NA,NA,NA,CB
Cyperus imbricatus,µüËëÉ¯²İ,Cyperaceae,9,10,9,10,CB
Cyperus malaccensis,ÜüÜ¶,Cyperaceae,6,11,6,11,CB
Cyperus malaccensis subsp. monophyllus,¶ÌÒ¶ÜüÜ¶,Cyperaceae,6,11,6,11,CB
Cyperus nutans,´¹ËëÉ¯²İ,Cyperaceae,5,10,5,10,CB
Cyperus pangorei,ºì³áÉ¯²İ,Cyperaceae,11,1,11,1,CB
Cyperus pilosus,Ã«ÖáÉ¯²İ,Cyperaceae,8,11,8,11,CB
Cyperus pilosus var. obliquus,°×»¨Ã«ÖáÉ¯²İ,Cyperaceae,6,9,6,9,CB
Cyperus pygmaeus,°«É¯²İ,Cyperaceae,10,11,10,11,CB
Cyperus stoloniferus,´Ö¸ù¾¥É¯²İ,Cyperaceae,7,7,7,7,CB
Cyperus tenuiculmis,ËÄ¶ ËëÉ¯²İ,Cyperaceae,5,11,5,11,CB
Cyperus tenuispica,Õ­ËëÉ¯²İ,Cyperaceae,9,11,9,11,CB
Cypholophus moluccanus,Áö¹ÚÂé,Urticaceae,4,7,NA,NA,WD
Cyrtococcum oxyphyllum,¼âÒ¶¹­¹ûÊò,Poaceae,10,3,10,3,CB
Cyrtococcum patens var. latifolium,É¢Ëë¹­¹ûÊò,Poaceae,5,12,5,12,CB
Dactyloctenium aegyptium,Áú×¦Ã©,Poaceae,5,10,5,10,CB
Daemonorops margaritae,»ÆÌÙ,Arecaceae,5,5,6,10,WD
Dalbergia assamica,ÑíÇà,Fabaceae,4,4,NA,NA,WD
Dalbergia balansae,ÄÏÁë»ÆÌ´,Fabaceae,6,6,NA,NA,WD
Dalbergia benthamii,Á½ÔÁ»ÆÌ´,Fabaceae,NA,NA,NA,NA,WD
Dalbergia candenatensis,ÍäÖ¦»ÆÌ´,Fabaceae,NA,NA,NA,NA,WD
Dalbergia hainanensis,º£ÄÏ»ÆÌ´,Fabaceae,6,6,NA,NA,WD
Dalbergia hancei,ÌÙ»ÆÌ´,Fabaceae,3,3,6,11,WD
Dalbergia odorifera,½µÏã,Fabaceae,NA,NA,NA,NA,WD
Dalbergia peishaensis,°×É³»ÆÌ´,Fabaceae,4,4,6,6,WD
Dalbergia pinnata,Ğ±Ò¶»ÆÌ´,Fabaceae,4,6,5,7,WD
Dalbergia rimosa,¶àÁÑ»ÆÌ´,Fabaceae,4,5,NA,NA,WD
Dalbergia tonkinensis,Ô½ÄÏ»ÆÌ´,Fabaceae,NA,NA,NA,NA,WD
Dalbergia tsoi,ºì¹û»ÆÌ´,Fabaceae,4,4,7,11,WD
Damnacanthus hainanensis,º£ÄÏ»¢´Ì,Rubiaceae,5,5,11,11,WD
Damnacanthus henryi,ÔÆ¹ğ»¢´Ì,Rubiaceae,10,10,12,2,WD
Daphne axillaris,Ò¸»¨ÈğÏã,Thymelaeaceae,5,6,8,10,WD
Daphniphyllum calycinum,Å£¶ú·ã,Daphniphyllaceae,4,6,8,11,WD
Daphniphyllum paxianum,ÂöÒ¶»¢Æ¤éª,Daphniphyllaceae,3,5,8,11,WD
Dapsilanthus disjunctus,±¡¹û²İ,Restionaceae,4,7,5,8,CB
Dasymaschalon rostratum,à¹¹ûÔíÃ±»¨,Annonaceae,7,9,7,1,WD
Dasymaschalon trichophorum,ÔíÃ±»¨,Annonaceae,2,7,7,3,WD
Debregeasia squamata,ÁÛÆ¬Ë®Âé,Urticaceae,8,9,10,11,WD
Decaschistia mouretii var. nervifolia,Ê®ÁÑ¿û,Malvaceae,4,5,NA,NA,WD
Decaspermum albociliatum,°×Ã«×Óé¬Ê÷,Myrtaceae,6,9,NA,NA,WD
Decaspermum austrohainanicum,ÇíÄÏ×Óé¬Ê÷,Myrtaceae,NA,NA,NA,NA,WD
Decaspermum gracilentum,×Óé¬Ê÷,Myrtaceae,3,5,NA,NA,WD
Decaspermum hainanense,º£ÄÏ×Óé¬Ê÷,Myrtaceae,2,7,4,5,WD
Decaspermum montanum,¼íÆÒÕ¯×Óé¬Ê÷,Myrtaceae,4,5,NA,NA,WD
Decaspermum parviflorum,Îå°ê×Óé¬Ê÷,Myrtaceae,3,8,NA,NA,WD
Deeringia amaranthoides,½¬¹ûÜÈ,Amaranthaceae,10,3,10,3,WD
Dehaasia hainanensis,Á«¹ğ,Lauraceae,4,6,10,10,WD
Dendrobium acinaciforme,½£Ò¶Ê¯õú,Orchidaceae,6,12,6,12,CB
Dendrobium aduncum,¹³×´Ê¯õú,Orchidaceae,5,6,NA,NA,CB
Dendrobium changjiangense,²ı½­Ê¯õú,Orchidaceae,5,12,NA,NA,CB
Dendrobium densiflorum,ÃÜ»¨Ê¯õú,Orchidaceae,4,5,NA,NA,CB
Dendrobium fimbriatum,Á÷ËÕÊ¯õú,Orchidaceae,4,6,NA,NA,CB
Dendrobium hainanense,º£ÄÏÊ¯õú,Orchidaceae,3,9,NA,NA,CB
Dendrobium hercoglossum,ÖØ´½Ê¯õú,Orchidaceae,4,5,NA,NA,CB
Dendrobium lindleyi,¾ÛÊ¯õú,Orchidaceae,4,5,NA,NA,CB
Dendrobium loddigesii,ÃÀ»¨Ê¯õú,Orchidaceae,4,8,NA,NA,CB
Dendrobium nobile,Ê¯õú,Orchidaceae,4,5,NA,NA,CB
Dendrobium officinale,ÌúÆ¤Ê¯õú,Orchidaceae,3,6,NA,NA,CB
Dendrobium salaccense,ÖñÖ¦Ê¯õú,Orchidaceae,2,7,NA,NA,CB
Dendrobium sinense,»ªÊ¯õú,Orchidaceae,8,12,NA,NA,CB
Dendrobium strongylanthum,Êá´½Ê¯õú,Orchidaceae,9,10,NA,NA,CB
Dendrobium williamsonii,ºÚÃ«Ê¯õú,Orchidaceae,4,5,NA,NA,CB
Dendrocnide sinuata,È«Ôµ»ğÂéÊ÷,Urticaceae,9,5,9,2,WD
Dendrocnide stimulans,º£ÄÏ»ğÊ÷Âé,Urticaceae,NA,NA,4,4,WD
Dendrolobium lanceolatum,"µ¥½Ú¼ÙÄ¾¶¹,µ¥½Ú¼ÔĞ¡Ä¾¶¹",Fabaceae,5,8,9,11,WD
Dendrolobium triangulare,¼ÙÄ¾¶¹,Fabaceae,8,10,10,12,WD
Dendropanax hainanensis,º£ÄÏÊ÷²Î,Araliaceae,7,7,10,11,WD
Dendropanax oligodontus,±£Í¤Ê÷²Î,Araliaceae,7,8,10,11,WD
Dendrophthoe pentandra,ÎåÈï¼ÄÉú,Loranthaceae,12,6,12,6,WD
Dendrotrophe umbellata,É¡»¨¼ÄÉúÌÙ,Santalaceae,2,4,5,6,WD
Dendrotrophe varians,¼ÄÉúÌÙ,Santalaceae,1,3,6,8,WD
Dentella repens,Ğ¡ÑÀ²İ,Rubiaceae,2,7,6,8,CB
Derris alborubra,°×»¨ÓãÌÙ,Fabaceae,6,6,NA,NA,WD
Derris breviramosa,¶ÌÖ¦ÓãÌÙ,Fabaceae,6,6,8,8,WD
Derris ferruginea,ĞâÃ«ÓãÌÙ,Fabaceae,4,7,9,12,WD
Derris glauca,·ÛÒ¶ÓãÌÙ,Fabaceae,4,5,7,8,WD
Derris hainanensis,º£ÄÏÓãÌÙ,Fabaceae,4,6,7,10,WD
Derris hancei,ÔÁ¶«ÓãÌÙ,Fabaceae,4,8,7,1,WD
Derris thyrsiflora,ÃÜ×¶»¨ÓãÌÙ,Fabaceae,5,6,8,11,WD
Derris trifoliata,ÓãÌÙ,Fabaceae,4,8,8,12,WD
Desmodium gangeticum,´óÒ¶É½Âì»È,Fabaceae,4,8,8,9,WD
Desmodium heterocarpon,¼ÙµØ¶¹,Fabaceae,10,10,10,11,WD
Desmodium heterocarpon subsp. angustifolium,ÏÔÂöÉ½ÂÌ¶¹,Fabaceae,6,8,9,10,WD
Desmodium heterocarpon var. strigosum,²ÚÃ«¼ÙµØ¶¹,Fabaceae,NA,NA,NA,NA,WD
Desmodium heterophyllum,ÒìÒ¶É½Âì»È,Fabaceae,6,8,NA,NA,CB
Desmodium renifolium,ÉöÒ¶É½Âì»È,Fabaceae,9,11,9,11,WD
Desmodium rubrum,³àÉ½Âì»È,Fabaceae,4,6,4,6,WD
Desmodium styracifolium,¹ã¶«½ğÇ®²İ,Fabaceae,6,9,6,9,CB
Desmodium triflorum,Èıµã½ğ,Fabaceae,6,10,6,10,CB
Desmodium velutinum,ÈŞÃ«É½Âì»È,Fabaceae,9,11,9,11,WD
Desmodium zonatum,µ¥Ò¶ÄÃÉí²İ,Fabaceae,7,8,8,9,WD
Desmos chinensis,¼ÙÓ¥×¦,Annonaceae,6,2,6,5,WD
Desmos dumosus,Ã«Ò¶¼ÙÓ¥×¦,Annonaceae,4,8,7,4,WD
Desmostachya bipinnata,ÓğËë²İ,Poaceae,NA,NA,3,8,CB
Dianella ensifolia,É½¹Ü,Liliaceae,3,8,3,8,CB
Dianthus longicalyx,³¤İàöÄÂó,Caryophyllaceae,6,8,8,9,CB
Dichanthium annulatum,Ë«»¨²İ,Poaceae,6,11,6,11,CB
Dichapetalum gelonioides,¶¾Êó×Ó,Dichapetalaceae,NA,NA,9,9,WD
Dichapetalum longipetalum,º£ÄÏ¶¾Êó×Ó,Dichapetalaceae,7,1,2,6,WD
Dichocarpum dalzielii,Ş§Ò¶ÈË×Ö¹û,Ranunculaceae,4,5,5,6,CB
Dichondra micrantha,ÂíÌã½ğ,Convolvulaceae,NA,NA,NA,NA,CB
Dichroa febrifuga,³£É½,Saxifragaceae,6,8,5,8,WD
Dichroa mollissima,º£ÄÏ³£É½,Saxifragaceae,6,8,9,12,WD
Dichrocephala auriculata,ÓãÑÛ²İ,Asteraceae,1,12,1,12,CB
Dicliptera chinensis,¹·¸Î²Ë,Acanthaceae,NA,NA,NA,NA,CB
Dictyospermum conspicuum,Íø×Ñ²İ,Commelinaceae,5,7,8,5,CB
Didymoplexiella siamensis,ÃªÖùÀ¼,Orchidaceae,4,7,NA,NA,CB
Didymostigma obtusum,Ë«Æ¬ÜÄÌ¦,Gesneriaceae,6,10,NA,NA,CB
Diflugossa divaricata,Êè»¨²æ»¨²İ,Acanthaceae,NA,NA,NA,NA,CB
Digitaria abludens,Á£×´ÂíÌÆ,Poaceae,NA,NA,NA,NA,CB
Digitaria ciliaris,ÏËÃ«ÂíÌÆ,Poaceae,5,10,5,10,CB
Digitaria ciliaris var. chrysoblephara,Ã«ÂíÌÆ,Poaceae,6,10,6,10,CB
Digitaria heterantha,¶şĞÍÂíÌÆ,Poaceae,6,10,6,10,CB
Digitaria longiflora,³¤»¨ÂíÌÆ,Poaceae,4,10,4,10,CB
Digitaria setigera,º£ÄÏÂíÌÆ,Poaceae,6,11,6,11,CB
Digitaria violascens,×ÏÂíÌÆ,Poaceae,7,11,7,11,CB
Dillenia pentagyna,Ğ¡»¨Îåèâ¹û,Dichapetalaceae,3,5,NA,NA,WD
Dillenia turbinata,´ó»¨Îåèâ¹û,Dichapetalaceae,4,5,NA,NA,WD
Dimorphocalyx poilanei,ÒìİàÄ¾,Euphorbiaceae,10,12,NA,NA,WD
Dioscorea bulbifera,»Æ¶À,Dioscoreaceae,8,9,8,11,CB
Dioscorea cirrhosa,Êíİ¹,Dioscoreaceae,6,8,7,1,CB
Dioscorea cirrhosa var. cylindrica,Òì¿é¾¥Êíİ¹,Dioscoreaceae,NA,NA,NA,NA,CB
Dioscorea fordii,É½Êí,Dioscoreaceae,9,11,NA,NA,CB
Dioscorea glabra,¹âÒ¶Êíİ÷,Dioscoreaceae,9,11,NA,NA,CB
Dioscorea hispida,°×Êíİ¹,Dioscoreaceae,6,8,7,9,CB
Dioscorea pentaphylla,ÎåÒ¶Êíİ÷,Dioscoreaceae,9,11,NA,NA,CB
Dioscorea persimilis,ºÖ°úÊíİ÷,Dioscoreaceae,7,1,9,1,CB
Dioscorea poilanei,µõÂŞÊíİ÷,Dioscoreaceae,6,6,8,10,CB
Dioscorea scortechinii var. parviflora,Ğ¡»¨´ÌÊíİ÷,Dioscoreaceae,6,9,10,1,CB
Diospyros chunii,ÑÂÊÁ,Ebenaceae,NA,NA,2,2,WD
Diospyros corallina,ÎåµÙÊÁ,Ebenaceae,NA,NA,10,10,WD
Diospyros diversilimba,¹âÒ¶ÊÁ,Ebenaceae,4,5,8,12,WD
Diospyros ehretioides,ºìÖ¦ÊÁ,Ebenaceae,4,5,11,11,WD
Diospyros eriantha,ÎÚ²Ä,Ebenaceae,7,8,10,2,WD
Diospyros hainanensis,º£ÄÏÊÁ,Ebenaceae,3,5,8,1,WD
Diospyros howii,ÇíÄÏÊÁ,Ebenaceae,6,8,10,12,WD
Diospyros inflata,ÄÒİàÊÁ,Ebenaceae,4,4,10,2,WD
Diospyros kaki,ÊÁ,Ebenaceae,5,6,9,10,WD
Diospyros longibracteata,³¤°úÊÁ,Ebenaceae,5,7,10,10,WD
Diospyros maclurei,ÇíµºÊÁ,Ebenaceae,NA,NA,10,2,WD
Diospyros metcalfii,Ô²İàÊÁ,Ebenaceae,NA,NA,8,8,WD
Diospyros morrisiana,ÂŞ¸¡ÊÁ,Ebenaceae,5,6,11,11,WD
Diospyros nitida,ºÚÊÁ,Ebenaceae,7,12,9,12,WD
Diospyros potingensis,±£Í¤ÊÁ,Ebenaceae,NA,NA,7,8,WD
Diospyros rubra,Çà²èÊÁ,Ebenaceae,NA,NA,9,12,WD
Diospyros strigosa,Ã«ÊÁ,Ebenaceae,6,7,2,3,WD
Diospyros susarticulata,¹ı²¼ÊÁ,Ebenaceae,4,8,8,12,WD
Diospyros vaccinioides,Ğ¡¹ûÊÁ,Ebenaceae,5,5,12,12,WD
Diplacrum caricinum,ÁÑÓ±Ã©,Cyperaceae,9,10,9,10,CB
Diplacrum reticulatum,Íø¹ûÁÑÓ±Ã©,Cyperaceae,NA,NA,10,10,CB
Diplectria barbata,ÌÙÄµµ¤,Melastomataceae,6,7,NA,NA,WD
Diploclisia glaucescens,²Ô°×³Ó¹³·ç,Menispermaceae,4,4,8,8,WD
Diplocyclos palmatus,¶¾¹Ï,Cucurbitaceae,3,8,7,12,CB
Diplopanax stachyanthus,ÂíÌã²Î,Araliaceae,NA,NA,NA,NA,WD
Diploprora championii,ÉßÉàÀ¼,Orchidaceae,2,8,3,9,CB
Diplospora dubia,¹·¹Ç²ñ,Rubiaceae,6,8,5,2,WD
Dipteracanthus repens,éª²İ,Acanthaceae,3,4,NA,NA,CB
Dischidanthus urceolatus,ÂíÀ¼ÌÙ,Asclepiadaceae,3,9,5,2,CB
Dischidia chinensis,ÑÛÊ÷Á«,Asclepiadaceae,4,5,5,6,CB
Dischidia nummularia,Ô°Ò¶ÑÛÊ÷Á«,Asclepiadaceae,3,6,6,9,CB
Dischidia tonkinensis,µÎÎıÑÛÊ÷Á«,Asclepiadaceae,3,5,7,12,CB
Disporum cantoniense,ÍòÊÙÖñ,Liliaceae,6,8,8,10,CB
Disporum hainanense,º£ÄÏÍòÊÙÖñ,Liliaceae,NA,NA,NA,NA,CB
Disporum sessile,±¦îì²İ,Liliaceae,3,6,6,11,CB
Distyliopsis salicifolia,ÁøÒ¶¼ÙÎÃÄ¸Ê÷,Hamamelidaceae,4,5,6,8,WD
Distyliopsis tutcheri,¶ÛÒ¶¼ÙÎÃÄ¸Ê÷,Hamamelidaceae,3,5,9,9,WD
Distylium myricoides,ÑîÃ·ÎÃÄ¸Ê÷,Hamamelidaceae,NA,NA,NA,NA,WD
Distylium racemosum,ÎÃÄ¸Ê÷,Hamamelidaceae,3,4,NA,NA,WD
Dodonaea viscosa,³µÉ£×Ó,Sapindaceae,10,11,12,4,WD
Dolichandrone stipulata,Î÷ÄÏÃ¨Î²Ä¾,Bignoniaceae,9,12,2,3,WD
Dolichos thorelii,º£ÄÏÁ­±â¶¹,Fabaceae,12,12,NA,NA,CB
Dolichos trilobus,Á­±â¶¹,Fabaceae,10,3,NA,NA,CB
Dopatrium junceum,òµÑÛ,Scrophulariaceae,NA,NA,NA,NA,CB
Doritis pulcherrima,Îå´½À¼,Orchidaceae,7,8,NA,NA,CB
Dracaena angustifolia,³¤»¨ÁúÑªÊ÷,Liliaceae,3,5,6,8,CB
Dracaena cambodiana,¼íÆÒÕ¯ÁúÑªÊ÷,Liliaceae,7,7,NA,NA,WD
Dracaena cochinchinensis,½£Ò¶ÁúÑªÊ÷,Liliaceae,3,3,7,8,WD
Dracontomelon duperreanum,ÈËÃæ×Ó,Anacardiaceae,NA,NA,NA,NA,WD
Dregea volubilis,ÄÏÉ½ÌÙ,Asclepiadaceae,4,9,7,12,WD
Drosera indica,³¤Ò¶Ã©¸à²Ë,Droseraceae,1,12,1,12,CB
Drymaria cordata,ºÉÁ«¶¹²İ,Caryophyllaceae,4,10,6,12,CB
Drypetes arcuatinervia,¹°ÍøºË¹ûÄ¾,Euphorbiaceae,4,10,4,10,WD
Drypetes confertiflora,ÃÜ»¨ºË¹ûÄ¾,Euphorbiaceae,NA,NA,NA,NA,WD
Drypetes cumingii,ÇàÔæºË¹ûÁÖ,Euphorbiaceae,12,5,12,5,WD
Drypetes hainanensis,º£ÄÏºË¹ûÄ¾,Euphorbiaceae,3,7,3,7,WD
Drypetes indica,ºË¹ûÄ¾,Euphorbiaceae,11,7,11,2,WD
Drypetes integrifolia,È«ÔµÒ¶ºË¹ûÄ¾,Euphorbiaceae,NA,NA,8,9,WD
Drypetes obtusa,¶ÛÒ¶ºË¹ûÄ¾,Euphorbiaceae,NA,NA,6,6,WD
Drypetes perreticulata,ÍøÂöºË¹ûÄ¾,Euphorbiaceae,12,5,12,5,WD
Duchesnea chrysantha,Öå¹ûÉßİ®,Rosaceae,5,6,6,9,CB
Duchesnea indica,Éßİ®,Rosaceae,6,8,8,10,CB
Dunbaria fusca,»ÆÃ«Ò°±â¶¹,Fabaceae,9,9,10,12,CB
Dunbaria henryi,ºàÊÏÒ°±â¶¹,Fabaceae,2,5,6,12,CB
Dunbaria nivea,°×±³Ò°±â¶¹,Fabaceae,2,4,NA,NA,CB
Dunbaria podocarpa,³¤±úÒ°±â¶¹,Fabaceae,6,11,NA,NA,CB
Dunbaria rotundifolia,Ô²Ò¶Ò°±â¶¹,Fabaceae,NA,NA,9,10,CB
Dunbaria truncata,¸ë×Ğ¶¹,Fabaceae,3,3,NA,NA,CB
Duperrea pavettaefolia,³¤ÖùÉ½µ¤,Rubiaceae,4,6,NA,NA,WD
Dysophylla sampsonii,³İÒ¶Ë®À¯Öò,Lamiaceae,9,10,10,11,CB
Dysophylla stellata,Ë®»¢Î²,Lamiaceae,1,12,1,12,CB
Dysoxylum gotadhora,ºì¹û˜ÙÄ¾,Meliaceae,7,7,NA,NA,WD
Dysoxylum grande,¶àÂö˜ÙÄ¾,Meliaceae,5,7,10,11,WD
Dysoxylum hongkengense,Ïã¸Û˜ÙÄ¾,Meliaceae,NA,NA,NA,NA,WD
Dysoxylum mollissimum,º£ÄÏ˜ÙÄ¾,Meliaceae,5,9,10,11,WD
Echinochloa colona,¹âÍ·°Ş,Poaceae,NA,NA,NA,NA,CB
Echinochloa crusgalli var. mitis,ÎŞÃ¢°Ş,Poaceae,NA,NA,NA,NA,CB
Echinochloa crusgalli var. zelayensis,Î÷À´°Ş,Poaceae,NA,NA,NA,NA,CB
Echinochloa cruspavonis,¿×È¸°Ş,Poaceae,NA,NA,NA,NA,CB
Echinochloa oryzoides,Ë®Ìï°Ş,Poaceae,7,10,7,10,CB
Eclipta prostrata,÷¯³¦,Asteraceae,6,9,NA,NA,CB
Ehretia acuminata,ºñ¿ÇÊ÷,Boraginaceae,NA,NA,NA,NA,WD
Ehretia asperula,ËŞ°úºñ¿ÇÊ÷,Boraginaceae,NA,NA,NA,NA,WD
Ehretia dicksonii,²ÚÃ«ºñ¿ÇÊ÷,Boraginaceae,3,5,6,7,WD
Ehretia hainanensis,º£ÄÏºñ¿ÇÊ÷,Boraginaceae,12,12,NA,NA,WD
Ehretia laevis,Ã«İàºñ¿ÇÊ÷,Boraginaceae,2,4,NA,NA,WD
Ehretia longiflora,³¤»¨ºñ¿ÇÊ÷,Boraginaceae,4,4,6,7,WD
Elaeagnus conferta,ÃÜ»¨ºúÍÇ×Ó,Elaeagnaceae,10,11,2,3,WD
Elaeagnus gonyanthes,½Ç»¨ºúÍÇ×Ó,Elaeagnaceae,10,11,2,3,WD
Elaeocarpus angustifolius,Ô²¹û¶ÅÓ¢,Elaeocarpaceae,8,9,NA,NA,WD
Elaeocarpus chinensis,ÖĞ»ª¶ÅÓ¢,Elaeocarpaceae,5,6,NA,NA,WD
Elaeocarpus dubius,ÏÔÂö¶ÅÓ¢,Elaeocarpaceae,3,4,NA,NA,WD
Elaeocarpus hainanensis,Ë®Ê¯éÅ,Elaeocarpaceae,6,7,NA,NA,WD
Elaeocarpus howii,ĞâÃ«¶ÅÓ¢,Elaeocarpaceae,6,7,NA,NA,WD
