scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,family name,genus name,woodinese
Cleisostoma simondii var. guangdongense,¹ã¶«¸ô¾àÀ¼,NA,NA,NA,NA,Orchidaceae,Cleisostoma,CB
Clematis apiifolia,Å®Î®,7,9,9,10,Ranunculaceae,Clematis,WD
Clematis apiifolia var. argentilucida,¶Û³İÌúÏßÁ«,5,7,6,8,Ranunculaceae,Clematis,WD
Clematis armandii,Ğ¡Ä¾Í¨,3,4,4,7,Ranunculaceae,Clematis,WD
Clematis chinensis,ÍşÁéÏÉ,6,9,8,11,Ranunculaceae,Clematis,WD
Clematis chinensis var. vestita,Ã«Ò¶ÍşÁéÏÉ,NA,NA,NA,NA,Ranunculaceae,Clematis,WD
Clematis crassifolia,ºñÒ¶ÌúÏßÁ«,11,1,2,2,Ranunculaceae,Clematis,WD
Clematis finetiana,É½Ä¾Í¨,4,6,7,11,Ranunculaceae,Clematis,WD
Clematis florida,ÌúÏßÁ«,4,4,3,4,Ranunculaceae,Clematis,CB
Clematis henryi,µ¥Ò¶ÌúÏßÁ«,11,12,4,5,Ranunculaceae,Clematis,WD
Clematis leschenaultiana,ĞåÃ«ÌúÏßÁ«,1,2,3,4,Ranunculaceae,Clematis,WD
Clematis loureiriana,İÃİÖÒ¶ÌúÏßÁ«,NA,NA,NA,NA,Ranunculaceae,Clematis,
Clematis meyeniana,Ã«ÖùÌúÏßÁ«,6,8,9,10,Ranunculaceae,Clematis,WD
Clematis meyeniana var. uniflora,µ¥ÈïÃ«ÖùÌúÏßÁ«,NA,NA,NA,NA,Ranunculaceae,Clematis,WD
Clematis montana,ĞåÇòÌÙ,4,6,7,9,Ranunculaceae,Clematis,WD
Clematis parviloba,ÁÑÒ¶ÌúÏßÁ«,5,7,7,9,Ranunculaceae,Clematis,WD
Clematis pseudootophora,»ªÖĞÌúÏßÁ«,8,9,9,10,Ranunculaceae,Clematis,CB
Clematis puberula var. ganpiniana,Ñî×ÓÌúÏßÁ«,NA,NA,NA,NA,Ranunculaceae,Clematis,WD
Clematis puberula var. tenuisepala,Ã«¹ûÑî×ÓÌúÏßÁ«,NA,NA,NA,NA,Ranunculaceae,Clematis,WD
Clematis uncinata,Öù¹ûÌúÏßÁ«,6,7,7,8,Ranunculaceae,Clematis,WD
Clerodendranthus spicatus,Éö²è,7,11,7,11,Lamiaceae,Clerodendranthus,CB
Clerodendrum bungei,³ôÄµµ¤,7,10,9,11,Verbenaceae,Clerodendrum,WD
Clerodendrum canescens,»ÒÃ«´óÇà,5,9,5,9,Verbenaceae,Clerodendrum,WD
Clerodendrum cyrtophyllum,´óÇà,6,10,8,11,Verbenaceae,Clerodendrum,WD
Clerodendrum fortunatum,°×»¨µÆÁı,6,9,6,11,Verbenaceae,Clerodendrum,WD
Clerodendrum inerme,¿àÀÉÊ÷,3,11,3,11,Verbenaceae,Clerodendrum,WD
Clerodendrum japonicum,ÚWÍ©,5,10,8,10,Verbenaceae,Clerodendrum,WD
Clerodendrum kaichianum,Õã½­´óÇà,7,10,7,10,Verbenaceae,Clerodendrum,WD
Clerodendrum kwangtungense,¹ã¶«´óÇà,8,11,8,11,Verbenaceae,Clerodendrum,WD
Clerodendrum lindleyi,¼â³İ³ôÜÔÀò,6,11,6,11,Verbenaceae,Clerodendrum,WD
Clerodendrum mandarinorum,º£Í¨,7,12,7,12,Verbenaceae,Clerodendrum,WD
Clerodendrum paniculatum,Ô²×¶´óÇà,4,2,4,2,Verbenaceae,Clerodendrum,WD
Clerodendrum trichotomum,º£Öİ³£É½,6,10,6,10,Verbenaceae,Clerodendrum,WD
Clethra barbinervis,÷ÚÂöèçÒ¶Ê÷,6,7,9,10,Clethraceae,Clethra,WD
Clethra bodinieri,µ¥Ã«èçÒ¶Ê÷,6,7,8,10,Clethraceae,Clethra,WD
Clethra delavayi,ÔÆÄÏèçÒ¶Ê÷,7,8,9,10,Clethraceae,Clethra,WD
Clethra fabri,»ªÄÏèçÒ¶Ê÷,7,8,8,10,Clethraceae,Clethra,WD
Clethra kaipoensis,¹óÖİèçÒ¶Ê÷,7,8,9,10,Clethraceae,Clethra,WD
Cleyera japonica,ºìÏª±È,5,6,10,11,Theaceae,Cleyera,WD
Cleyera pachyphylla,ºñÒ¶ºìµ­±È,6,7,10,11,Theaceae,Cleyera,WD
Cleyera parvifolia,Ğ¡Ò¶ºìµ­±È,4,5,8,11,Theaceae,Cleyera,WD
Clinopodium chinense,·çÂÖ²Ë,5,10,5,10,Lamiaceae,Clinopodium,CB
Clinopodium confine,ÁÚ½ü·çÂÖ²Ë,3,8,3,8,Lamiaceae,Clinopodium,CB
Clinopodium gracile,Ï¸·çÂÖ²Ë,3,10,3,10,Lamiaceae,Clinopodium,CB
Clinopodium polycephalum,µÆÁı²İ,7,8,9,9,Lamiaceae,Clinopodium,CB
Cocculus orbiculatus,Ä¾·À¼º,4,7,6,10,Menispermaceae,Cocculus,WD
Cocculus orbiculatus var. mollis,Ã«Ä¾·À¼º,NA,NA,NA,NA,Menispermaceae,Cocculus,WD
Codariocalyx gyroides,Ô²Ò¶Îè²İ,9,10,10,11,Fabaceae,Codariocalyx,WD
Codariocalyx motorius,Îè²İ,8,10,8,10,Fabaceae,Codariocalyx,WD
Codonacanthus pauciflorus,ÖÓ»¨²İ,9,11,11,12,Acanthaceae,Codonacanthus,CB
Codonopsis lanceolata,ÑòÈé,7,10,7,10,Campanulaceae,Codonopsis,CB
Coelogyne fimbriata,Á÷ËÕ±´Ä¸À¼,9,10,4,8,Orchidaceae,Coelogyne,CB
Coleus scutellarioides var. crispipilus,Ğ¡Îå²ÊËÕ,NA,NA,NA,NA,Lamiaceae,Coleus,CB
Collabium chinense,ÎÇÀ¼,7,11,NA,NA,Orchidaceae,Collabium,CB
Colocasia gigantea,´óÒ°Óó,4,6,9,9,Araceae,Colocasia,CB
Combretum alfredii,·ç³µ×Ó,5,8,9,10,Combretaceae,Combretum,WD
Commelina auriculata,¶ú°úÑ¼õÅ²İ,6,6,11,11,Commelinaceae,Commelina,CB
Commelina benghalensis,·¹°ü²İ,6,9,6,9,Commelinaceae,Commelina,CB
Commelina communis,Ñ¼õÅ²İ,4,11,4,11,Commelinaceae,Commelina,CB
Commelina diffusa,½Ú½Ú²İ,1,12,1,12,Commelinaceae,Commelina,CB
Commelina paludosa,´ó°úÑ¼õÅ²İ,6,12,6,12,Commelinaceae,Commelina,CB
Conandron ramondioides,¿àÜÄÌ¦,6,6,5,10,Gesneriaceae,Conandron,CB
Conyza aegyptiaca,°£¼°°×¾Æ²İ,6,8,6,8,Asteraceae,Conyza,CB
Conyza bonariensis,ÏãË¿²İ,4,9,4,9,Asteraceae,Conyza,CB
Conyza canadensis,Ğ¡Åî²İ,NA,NA,NA,NA,Asteraceae,Conyza,CB
Conyza leucantha,Õ³Ã«°×¾Æ²İ,9,12,9,12,Asteraceae,Conyza,CB
Conyza sumatrensis,ËÕÃÅ°×¾Æ²İ,5,10,5,10,Asteraceae,Conyza,CB
Coptis chinensis,»ÆÁ¬,1,2,2,3,Ranunculaceae,Coptis,CB
Coptis chinensis var. brevisepala,¶Ìİà»ÆÁ¬,NA,NA,NA,NA,Ranunculaceae,Coptis,CB
Coptosapelta diffusa,Á÷ËÕ×Ó,6,8,8,11,Rubiaceae,Coptosapelta,WD
Corchoropsis crenata,ÌïÂé,4,6,9,11,Tiliaceae,Corchoropsis,CB
Corchorus aestuans,ÌğÂé,6,11,NA,NA,Tiliaceae,Corchorus,CB
Cordia dichotoma,¶şÆçÆÆ²¼Ä¾,2,4,6,8,Boraginaceae,Cordia,WD
Cornus capitata,Í·×´ËÄÕÕ»¨,5,7,9,11,Cornaceae,Cornus,WD
Cornus elliptica,¼âÒ¶ËÄÕÕ»¨,6,7,10,11,Cornaceae,Cornus,WD
Cornus hongkongensis,Ïã¸ÛËÄÕÕ»¨,4,6,10,12,Cornaceae,Cornus,WD
Cornus hongkongensis subsp. elegans,ĞãÀöËÄÕÕ»¨,5,6,11,11,Cornaceae,Cornus,WD
Cornus kousa,,NA,NA,NA,NA,Cornaceae,NA,NA
Cornus kousa subsp. chinensis,ËÄÕÕ»¨,5,7,9,10,Cornaceae,Cornus,WD
Cornus walteri,Ã«—…,5,6,8,10,Cornaceae,Cornus,WD
Cornus wilsoniana,¹âÆ¤—…Ä¾,5,5,9,11,Cornaceae,Cornus,WD
Coronopus didymus,³ôÜù,3,6,NA,NA,Brassicaceae,Coronopus,CB
Corydalis balansae,±±Ô½×ÏİÀ,4,4,5,5,Papaveraceae,Corydalis,CB
Corydalis decumbens,ÏÄÌìÎŞ,NA,NA,NA,NA,Papaveraceae,Corydalis,CB
Corydalis edulis,×ÏİÀ,4,7,4,7,Papaveraceae,Corydalis,CB
Corydalis incisa,¿ÌÒ¶×ÏİÀ,4,5,5,6,Papaveraceae,Corydalis,CB
Corydalis pallida,»ÆİÀ,4,4,5,6,Papaveraceae,Corydalis,CB
Corydalis racemosa,Ğ¡»¨»ÆİÀ,4,5,5,6,Papaveraceae,Corydalis,CB
Corydalis sheareri,µØ½õÃç,4,4,5,5,Papaveraceae,Corydalis,CB
Corylopsis glaucescens,Å­½­À¯°ê»¨,4,6,6,8,Hamamelidaceae,Corylopsis,WD
Corylopsis multiflora,ÈğÄ¾,2,4,5,7,Hamamelidaceae,Corylopsis,WD
Corylopsis multiflora var. nivea,°×±³ÈğÄ¾,5,5,NA,NA,Hamamelidaceae,Corylopsis,WD
Corylopsis sinensis,À¯°ê»¨,3,5,7,8,Hamamelidaceae,Corylopsis,WD
Corylopsis sinensis var. calvescens,ÍºÀ¯°ê»¨,4,7,7,9,Hamamelidaceae,Corylopsis,WD
Costus speciosus,±ÕÇÊ½ª,8,9,10,11,Costaceae,Costus,CB
Cotula anthemoides,Ü¾İ´¾Õ,7,4,7,4,Asteraceae,Cotula,CB
Crataegus cuneata,Ò°É½é«,5,6,9,11,Rosaceae,Crataegus,WD
Crataegus cuneata var. tangchungchangii,Ğ¡Ò¶Ò°É½é«,NA,NA,NA,NA,Rosaceae,Crataegus,WD
Crateva unilocularis,Ê÷Í·²Ë,3,5,8,10,Capparaceae,Crateva,WD
Crawfurdia pricei,¸£½¨ÂûÁúµ¨,10,12,10,12,Gentianaceae,Crawfurdia,CB
Crepidiastrum denticulatum,»Æ¹Ï¼Ù»¹Ñô²Î,NA,NA,NA,NA,Asteraceae,NA,NA
Crepidiastrum sonchifolium,¼âÁÑ¼Ù»¹Ñô²Î,NA,NA,NA,NA,Asteraceae,NA,NA
Crinum asiaticum,ÎÄÊâÀ¼,NA,NA,NA,NA,Amaryllidaceae,NA,NA
Crinum asiaticum var. sinicum,ÎÄÊâÀ¼,6,8,NA,NA,Amaryllidaceae,Crinum,CB
Croomia japonica,»Æ¾«Ò¶¹³ÎÇ,5,6,NA,NA,Stemonaceae,Croomia,CB
Crotalaria alata,³áÍĞÒ¶ÖíÊº¶¹,6,8,9,12,Fabaceae,Crotalaria,CB
Crotalaria albida,ÏìÁå¶¹,4,10,4,10,Fabaceae,Crotalaria,CB
Crotalaria calycina,³¤İàÖíÊº¶¹,7,12,7,12,Fabaceae,Crotalaria,CB
Crotalaria chinensis,ÖĞ¹úÖíÊº¶¹,8,10,8,10,Fabaceae,Crotalaria,CB
Crotalaria ferruginea,¼ÙµØÀ¼,9,11,9,11,Fabaceae,Crotalaria,CB
Crotalaria sessiliflora,Ò°°ÙºÏ,7,10,7,10,Fabaceae,Crotalaria,CB
Crotalaria spectabilis,´óÍĞÒ¶ÖíÊº¶¹,8,10,10,12,Fabaceae,Crotalaria,CB
Crotalaria verrucosa,¶àğàÖíÊº¶¹,8,10,8,10,Fabaceae,Crotalaria,CB
Croton cascarilloides,ÒøÒ¶°Í¶¹,1,12,1,12,Euphorbiaceae,Croton,WD
Croton crassifolius,¼¦¹ÇÏã,4,6,6,6,Euphorbiaceae,Croton,WD
Croton tiglium,°Í¶¹,7,10,7,11,Euphorbiaceae,Croton,WD
Cryptocarya chinensis,ºñ¿Ç¹ğ,4,5,8,12,Lauraceae,Cryptocarya,WD
Cryptocarya chingii,Ó²¿Ç¹ğ,6,10,9,3,Lauraceae,Cryptocarya,WD
Cryptocarya densiflora,´Ô»¨ºñ¿Ç¹ğ,4,6,7,11,Lauraceae,Cryptocarya,WD
Cryptocarya tsangii,ºì±úºñ¿Ç¹ğ,NA,NA,NA,NA,Lauraceae,Cryptocarya,WD
Curculigo capitulata,´óÒ¶ÏÉÃ©,5,6,8,9,Amaryllidaceae,Curculigo,CB
Curculigo orchioides,ÏÉÃ©,4,10,4,10,Amaryllidaceae,Curculigo,CB
Curcuma aromatica,Óô½ğ,4,6,NA,NA,Zingiberaceae,Curcuma,CB
Cyanotis arachnoidea,ÖëË¿Ã«À¶¶ú²İ,5,10,5,10,Commelinaceae,Cyanotis,CB
Cyclea hypoglauca,·ÛÒ¶ÂÖ»·ÌÙ,NA,NA,NA,NA,Menispermaceae,Cyclea,WD
Cyclea racemosa,ÂÖ»·ÌÙ,6,8,7,9,Menispermaceae,Cyclea,CB
Cyclobalanopsis championii,ÁëÄÏÇà¸Ô,12,3,11,12,Fagaceae,Cyclobalanopsis,WD
Cyclobalanopsis chungii,¸£½¨Çà¸Ô,NA,NA,10,11,Fagaceae,Cyclobalanopsis,WD
Cyclobalanopsis edithiae,»ªÄÏÇà¸Ô,NA,NA,10,12,Fagaceae,Cyclobalanopsis,WD
Cyclobalanopsis elevaticostata,Í»ÂöÇà¸Ô,NA,NA,11,11,Fagaceae,Cyclobalanopsis,WD
Cyclobalanopsis fleuryi,·¹êµÇà¸Ô,3,4,10,2,Fagaceae,Cyclobalanopsis,WD
Cyclobalanopsis gilva,³àÆ¤Çà¸Ô,5,5,10,10,Fagaceae,Cyclobalanopsis,WD
Cyclobalanopsis glauca,Çà¸Ô,4,5,10,10,Fagaceae,Cyclobalanopsis,WD
Cyclobalanopsis gracilis,Ï¸Ò¶Çà¸Ô,4,6,10,11,Fagaceae,Cyclobalanopsis,WD
Cyclobalanopsis jenseniana,´óÒ¶Çà¸Ô,4,6,10,11,Fagaceae,Cyclobalanopsis,WD
Cyclobalanopsis multinervis,¶àÂöÇà¸Ô,NA,NA,10,11,Fagaceae,Cyclobalanopsis,WD
Cyclobalanopsis myrsinifolia,Ğ¡Ò¶Çà¸Ô,6,6,10,10,Fagaceae,NA,NA
Cyclobalanopsis neglecta,ÖñÒ¶Çà¸Ô,2,3,8,11,Fagaceae,Cyclobalanopsis,WD
Cyclobalanopsis obovatifolia,µ¹ÂÑÒ¶Çà¸Ô,NA,NA,11,11,Fagaceae,Cyclobalanopsis,WD
Cyclobalanopsis oxyodon,ÂüÇà¸Ô,5,6,9,10,Fagaceae,Cyclobalanopsis,WD
Cyclobalanopsis sessilifolia,ÔÆÉ½Çà¸Ô,4,5,10,11,Fagaceae,Cyclobalanopsis,WD
Cyclobalanopsis stewardiana,ºÖÒ¶Çà¸Ô,7,7,10,10,Fagaceae,Cyclobalanopsis,WD
Cyclobalanopsis yonganensis,ÓÀ°²Çà¸Ô,NA,NA,NA,NA,Fagaceae,Cyclobalanopsis,WD
Cyclocarya paliurus,ÇàÇ®Áø,4,5,9,9,Juglandaceae,Cyclocarya,WD
Cyclocodon celebicus,Ğ¡Ò¶ÂÖÖÓ²İ,7,1,7,1,Campanulaceae,Cyclocodon,CB
Cyclocodon lancifolius,³¤Ò¶ÂÖÖÓ²İ,7,11,7,11,Campanulaceae,Cyclocodon,CB
Cymbidium dayanum,¶¬·ïÀ¼,9,12,NA,NA,Orchidaceae,Cymbidium,CB
Cymbidium ensifolium,½¨À¼,4,11,NA,NA,Orchidaceae,Cymbidium,CB
Cymbidium faberi,Ş¥À¼,3,5,NA,NA,Orchidaceae,Cymbidium,CB
Cymbidium floribundum,¶à»¨À¼,4,5,NA,NA,Orchidaceae,Cymbidium,CB
Cymbidium goeringii,´ºÀ¼,2,5,NA,NA,Orchidaceae,Cymbidium,CB
Cymbidium kanran,º®À¼,8,12,NA,NA,Orchidaceae,Cymbidium,CB
Cymbidium lancifolium,ÍÃ¶úÀ¼,5,7,NA,NA,Orchidaceae,Cymbidium,CB
Cymbidium sinense,Ä«À¼,12,5,12,5,Orchidaceae,Cymbidium,CB
Cymbopogon goeringii,éÙ²İ,7,10,7,10,Poaceae,Cymbopogon,CB
Cynanchum atratum,°×Ş±,4,8,6,8,Asclepiadaceae,Cynanchum,CB
Cynanchum auriculatum,Å£Æ¤Ïû,6,9,7,11,Asclepiadaceae,Cynanchum,CB
Cynanchum chekiangense,Âû¼ô²İ,5,5,6,6,Asclepiadaceae,Cynanchum,CB
Cynanchum corymbosum,´Ì¹Ï,5,10,8,1,Asclepiadaceae,Cynanchum,CB
Cynanchum fordii,É½°×Ç°,5,8,8,12,Asclepiadaceae,Cynanchum,CB
Cynanchum glaucescens,°×Ç°,5,11,7,11,Asclepiadaceae,Cynanchum,WD
Cynanchum mooreanum,Ã«°×Ç°,6,7,8,10,Asclepiadaceae,Cynanchum,CB
Cynanchum paniculatum,Ğì³¤Çä,5,7,8,12,Asclepiadaceae,Cynanchum,CB
Cynanchum stauntonii,ÁøÒ¶°×Ç°,5,8,9,10,Asclepiadaceae,Cynanchum,WD
Cynodon dactylon,¹·ÑÀ¸ù,5,10,5,10,Poaceae,Cynodon,CB
Cynoglossum furcatum,ÁğÁ§²İ,5,10,5,10,Boraginaceae,Cynoglossum,CB
Cynoglossum lanceolatum,Ğ¡»¨ÁğÁ§²İ,4,9,4,9,Boraginaceae,Cynoglossum,CB
Cyperus amuricus,°¢ÄÂ¶ûÉ¯²İ,9,10,9,10,Cyperaceae,Cyperus,CB
Cyperus compressus,±âËëÉ¯²İ,7,10,7,10,Cyperaceae,Cyperus,CB
Cyperus cuspidatus,³¤¼âÉ¯²İ,8,10,8,10,Cyperaceae,Cyperus,CB
Cyperus cyperoides,×©×ÓÃç,4,12,4,12,Cyperaceae,NA,NA
Cyperus eleusinoides,şpËëÉ¯²İ,8,12,8,12,Cyperaceae,NA,NA
Cyperus exaltatus,¸ß¸ÑÉ¯²İ,8,10,8,10,Cyperaceae,Cyperus,CB
Cyperus haspan,ÆèÅÏÉ¯²İ,6,11,6,11,Cyperaceae,Cyperus,CB
Cyperus imbricatus,µüËëÉ¯²İ,9,10,9,10,Cyperaceae,Cyperus,CB
Cyperus malaccensis subsp. monophyllus,¶ÌÒ¶ÜüÜ¶,6,11,6,11,Cyperaceae,Cyperus,CB
Cyperus michelianus,ĞıÁÛÉ¯²İ,6,9,6,9,Cyperaceae,Cyperus,CB
Cyperus orthostachyus,ÈıÂÖ²İ,8,10,8,10,Cyperaceae,Cyperus,CB
Cyperus pilosus,Ã«ÖáÉ¯²İ,8,11,8,11,Cyperaceae,Cyperus,CB
Cyperus pilosus var. obliquus,°×»¨Ã«ÖáÉ¯²İ,NA,NA,NA,NA,Cyperaceae,Cyperus,CB
Cyperus rotundus,Ïã¸½×Ó,6,10,6,10,Cyperaceae,Cyperus,CB
Cyperus stoloniferus,´Ö¸ù¾¥É¯²İ,9,10,9,10,Cyperaceae,Cyperus,CB
Cyperus tenuiculmis,ËÄ¶ ËëÉ¯²İ,5,8,5,8,Cyperaceae,Cyperus,CB
Cyperus tenuispica,Õ­ËëÉ¯²İ,5,8,5,8,Cyperaceae,Cyperus,CB
Cyrtococcum patens,¹­¹ûÊò,9,12,9,12,Poaceae,Cyrtococcum,CB
Cyrtococcum patens var. latifolium,É¢Ëë¹­¹ûÊò,9,2,9,2,Poaceae,Cyrtococcum,CB
Dactyloctenium aegyptium,Áú×¦Ã©,5,10,5,10,Poaceae,Dactyloctenium,CB
Dalbergia assamica,ÑíÇà,4,7,9,12,Fabaceae,Dalbergia,WD
Dalbergia balansae,ÄÏÁë»ÆÌ´,5,10,5,10,Fabaceae,Dalbergia,WD
Dalbergia benthamii,Á½ÔÁ»ÆÌ´,3,6,7,10,Fabaceae,Dalbergia,WD
Dalbergia hancei,ÌÙ»ÆÌ´,3,7,3,7,Fabaceae,Dalbergia,WD
Dalbergia hupeana,»ÆÌ´,5,10,5,10,Fabaceae,Dalbergia,WD
Dalbergia mimosoides,Ïó±ÇÌÙ,4,5,6,8,Fabaceae,Dalbergia,WD
Dalbergia odorifera,½µÏã,5,12,5,12,Fabaceae,Dalbergia,WD
Dalzellia sessilis,´¨Ôå,11,12,11,12,Podostemaceae,Dalzellia,CB
Damnacanthus angustifolius,Ì¨Íå»¢´Ì,3,4,12,12,Rubiaceae,Damnacanthus,WD
Damnacanthus giganteus,¶Ì´Ì»¢´Ì,3,5,10,1,Rubiaceae,Damnacanthus,WD
Damnacanthus indicus,»¢´Ì,6,8,9,4,Rubiaceae,Damnacanthus,WD
Damnacanthus macrophyllus,ÕãÍî»¢´Ì,3,5,11,1,Rubiaceae,Damnacanthus,WD
Daphne championii,³¤ÖùÈğÏã,2,3,NA,NA,Thymelaeaceae,Daphne,WD
Daphne genkwa,Ü¾»¨,3,5,6,7,Thymelaeaceae,Daphne,WD
Daphne kiusiana var. atrocaulis,Ã«ÈğÏã,11,2,4,5,Thymelaeaceae,Daphne,WD
Daphne papyracea,°×ÈğÏã,2,3,7,8,Thymelaeaceae,Daphne,WD
Daphniphyllum calycinum,Å£¶ú·ã,6,8,9,2,Daphniphyllaceae,Daphniphyllum,WD
Daphniphyllum macropodum,½»ÈÃÄ¾,3,5,8,10,Daphniphyllaceae,Daphniphyllum,WD
Daphniphyllum oldhami,»¢Æ¤éª,3,8,9,2,Daphniphyllaceae,Daphniphyllum,WD
Daphniphyllum subverticillatum,¼ÙÂÖÒ¶»¢Æ¤éª,4,5,9,2,Daphniphyllaceae,Daphniphyllum,WD
Debregeasia squamata,ÁÛÆ¬Ë®Âé,6,11,9,2,Urticaceae,Debregeasia,WD
Deinocheilos jiangxiense,½­Î÷È«´½ÜÄÌ¦,7,7,NA,NA,Gesneriaceae,Deinocheilos,CB
Delphinium anthriscifolium,»¹ÁÁ²İ,3,5,3,5,Ranunculaceae,Delphinium,CB
Dendranthema lavandulifolium,,5,11,5,11,Asteraceae,NA,NA
Dendrobium nobile,Ê¯õú,4,5,NA,NA,Orchidaceae,Dendrobium,CB
Dendrobium officinale,ÌúÆ¤Ê¯õú,NA,NA,NA,NA,Orchidaceae,Dendrobium,CB
Dendrolobium lanceolatum var. microcarpum,Ğ¡¹ûµ¥½Ú¼ÙÄ¾¶¹,NA,NA,NA,NA,Fabaceae,NA,NA
Dendropanax chevalieri,´ó¹ûÊ÷²Î,8,10,10,12,Araliaceae,Dendropanax,WD
Dendropanax dentiger,Ê÷²Î,8,10,10,12,Araliaceae,NA,NA
Dendropanax dentigerus,Ê÷²Î,NA,NA,NA,NA,Araliaceae,Dendropanax,WD
Dendropanax proteus,±äÒ¶Ê÷²Î,8,9,9,10,Araliaceae,Dendropanax,WD
Dendrotrophe varians,¼ÄÉúÌÙ,1,3,6,8,Santalaceae,Dendrotrophe,WD
Derris fordii,ÖĞÄÏÓãÌÙ,4,5,10,11,Fabaceae,Derris,WD
Derris marginata,±ß¼ÔÓãÌÙ,3,3,11,1,Fabaceae,Derris,WD
Derris trifoliata,ÓãÌÙ,5,11,5,11,Fabaceae,Derris,WD
Desmodium gangeticum,´óÒ¶É½Âì»È,4,8,8,9,Fabaceae,Desmodium,WD
Desmodium heterocarpon,¼ÙµØ¶¹,9,12,9,12,Fabaceae,Desmodium,WD
Desmodium heterocarpon subsp. angustifolium,ÏÔÂöÉ½ÂÌ¶¹,NA,NA,NA,NA,Fabaceae,Desmodium,WD
Desmodium heterocarpon var. strigosum,²ÚÃ«¼ÙµØ¶¹,7,10,10,11,Fabaceae,Desmodium,WD
Desmodium heterophyllum,ÒìÒ¶É½Âì»È,6,8,6,8,Fabaceae,Desmodium,CB
Desmodium laxiflorum,´óÒ¶ÄÃÉí²İ,9,12,9,12,Fabaceae,Desmodium,WD
Desmodium microphyllum,Ğ¡Ò¶Èıµã½ğ,7,10,7,10,Fabaceae,NA,NA
Desmodium multiflorum,¶öÂì»È,7,10,7,10,Fabaceae,Desmodium,WD
Desmodium styracifolium,¹ã¶«½ğÇ®²İ,6,9,6,9,Fabaceae,Desmodium,CB
Desmodium triflorum,Èıµã½ğ,6,9,6,9,Fabaceae,Desmodium,CB
Desmos chinensis,¼ÙÓ¥×¦,6,2,6,4,Annonaceae,Desmos,WD
Deutzia ningpoensis,Äş²¨äÑÊè,5,7,9,10,Saxifragaceae,Deutzia,WD
Deutzia setchuenensis,ËÄ´¨äÑÊè,5,7,6,9,Saxifragaceae,Deutzia,WD
Deyeuxia effusiflora,ÊèËëÒ°ÇàÃ©,7,10,7,10,Poaceae,Deyeuxia,CB
Deyeuxia hakonensis,Ïä¸ùÒ°ÇàÃ©,7,8,7,8,Poaceae,Deyeuxia,CB
Deyeuxia pyramidalis,Ò°ÇàÃ©,6,10,6,10,Poaceae,Deyeuxia,CB
Dianella ensifolia,É½¹Ü,3,8,3,8,Liliaceae,Dianella,CB
Dichanthium annulatum,Ë«»¨²İ,6,11,6,11,Poaceae,Dichanthium,CB
Dichocarpum auriculatum,¶ú×´ÈË×Ö¹û,4,8,4,8,Ranunculaceae,Dichocarpum,CB
Dichocarpum dalzielii,Ş§Ò¶ÈË×Ö¹û,4,5,5,6,Ranunculaceae,Dichocarpum,CB
Dichondra micrantha,ÂíÌã½ğ,NA,NA,NA,NA,Convolvulaceae,Dichondra,CB
Dichroa febrifuga,³£É½,6,8,8,10,Saxifragaceae,Dichroa,WD
Dichrocephala auriculata,ÓãÑÛ²İ,1,12,1,12,Asteraceae,Dichrocephala,CB
Dicliptera chinensis,¹·¸Î²Ë,9,12,1,1,Acanthaceae,Dicliptera,CB
Didymocarpus hancei,¶«ÄÏ³¤İôÜÄÌ¦,4,4,NA,NA,Gesneriaceae,Didymocarpus,CB
Didymocarpus heucherifolius,Ãö¸Ó³¤İôÜÄÌ¦,5,5,6,6,Gesneriaceae,Didymocarpus,CB
Didymostigma obtusum,Ë«Æ¬ÜÄÌ¦,6,10,10,10,Gesneriaceae,Didymostigma,CB
Diflugossa divaricata,Êè»¨²æ»¨²İ,NA,NA,NA,NA,Acanthaceae,Diflugossa,CB
Digitaria bicornis,ÒìÂíÌÆ,5,9,5,9,Poaceae,Digitaria,CB
Digitaria ciliaris,ÏËÃ«ÂíÌÆ,5,10,5,10,Poaceae,Digitaria,CB
Digitaria ciliaris var. chrysoblephara,Ã«ÂíÌÆ,NA,NA,NA,NA,Poaceae,Digitaria,CB
Digitaria fujianensis,¸£½¨±¡ïû²İ,7,7,7,7,Poaceae,Digitaria,CB
Digitaria henryi,ºàÀûÂíÌÆ,6,8,6,8,Poaceae,Digitaria,CB
Digitaria heterantha,¶şĞÍÂíÌÆ,6,10,6,10,Poaceae,Digitaria,CB
Digitaria ischaemum,Ö¹ÑªÂíÌÆ,6,11,6,11,Poaceae,Digitaria,CB
Digitaria leptalea,´ÔÁ¢ÂíÌÆ,4,10,4,10,Poaceae,Digitaria,CB
Digitaria longiflora,³¤»¨ÂíÌÆ,10,12,10,12,Poaceae,Digitaria,CB
Digitaria radicosa,ºìÎ²ôá,6,8,6,8,Poaceae,Digitaria,CB
Digitaria setigera,º£ÄÏÂíÌÆ,6,11,6,11,Poaceae,Digitaria,CB
Digitaria stricta var. glabrescens,ÍºËëÂíÌÆ,NA,NA,NA,NA,Poaceae,Digitaria,CB
Digitaria violascens,×ÏÂíÌÆ,7,11,7,11,Poaceae,Digitaria,CB
Dimeria falcata,Á­ĞÎÓ„Ã©,9,10,9,10,Poaceae,Dimeria,CB
Dimeria ornithopoda,Ó„Ã©,7,10,7,10,Poaceae,Dimeria,CB
