scientific name,Chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,woodiness
Clematis finetiana var. pedata,鸟足叶铁线莲,NA,NA,NA,NA,WD
Clematis florida,铁线莲,5,6,7,8,CB
Clematis gouriana,小蓑衣藤,9,10,10,12,WD
Clematis grandidentata,粗齿铁线莲,5,6,6,10,WD
Clematis gratopsis,金佛铁线莲,5,7,7,11,WD
Clematis henryi,单叶铁线莲,11,12,次年3,次年4,WD
Clematis henryi var. mollis,毛单叶铁线莲,NA,NA,NA,NA,WD
Clematis heracleifolia,大叶铁线莲,8,9,9,10,CB
Clematis huchouensis,吴兴铁线莲,7,8,8,9,CB
Clematis kweichowensis,贵州铁线莲,8,10,8,10,WD
Clematis lasiandra,毛蕊铁线莲,9,10,10,11,CB
Clematis leschenaultiana,绣毛铁线莲,1,2,3,4,WD
Clematis meyeniana,毛柱铁线莲,6,8,8,10,WD
Clematis meyeniana var. granulata,沙叶铁线莲,NA,NA,NA,NA,WD
Clematis montana,绣球藤,5,6,7,9,WD
Clematis montana var. grandiflora,大花绣球藤,NA,NA,NA,NA,WD
Clematis montana var. longipes,单花绣球藤,4,8,7,8,WD
Clematis obscura,秦岭铁线莲,4,6,8,11,WD
Clematis otophora,宽柄铁线莲,7,9,9,10,CB
Clematis parviloba,裂叶铁线莲,5,8,7,10,WD
Clematis peterae,钝萼铁线莲,7,9,8,11,WD
Clematis peterae var. trichocarpa,毛果铁线莲,6,9,8,11,WD
Clematis pogonandra,须蕊铁线莲,6,7,7,9,CB
Clematis pseudootophora,华中铁线莲,8,9,9,11,CB
Clematis puberula var. ganpiniana,杨子铁线莲,NA,NA,NA,NA,WD
Clematis puberula var. tenuisepala,毛果杨子铁线莲,NA,NA,NA,NA,WD
Clematis quinquefoliolata,五叶铁线莲,6,8,8,10,WD
Clematis repens,曲柄铁线莲,7,9,9,11,CB
Clematis tenuipes,细梗铁线莲,4,5,NA,NA,WD
Clematis terniflora,圆锥铁线莲,6,7,8,9,WD
Clematis uncinata,柱果铁线莲,6,7,7,9,WD
Clematis uncinata var. coriacea,皱叶铁线莲,6,7,8,9,WD
Clematis urophylla,尾叶铁线莲,11,12,3,4,WD
Clematis yunnanensis,云南铁线莲,11,12,4,5,WD
Clematoclethra scandens,藤山柳,6,6,7,8,WD
Clematoclethra scandens subsp. actinidioides,猕猴桃藤山柳,5,7,7,8,WD
Clerodendrum bungei,臭牡丹,5,11,5,11,WD
Clerodendrum canescens,灰毛大青,4,10,4,10,WD
Clerodendrum cyrtophyllum,大青,6,2,6,2,WD
Clerodendrum fortunatum,白花灯笼,6,11,6,11,WD
Clerodendrum japonicum,赪桐,5,11,5,11,WD
Clerodendrum kiangsiense,江西大青,6,10,6,10,WD
Clerodendrum kwangtungense,广东大青,8,11,8,11,WD
Clerodendrum lindleyi,尖齿臭茉莉,6,11,6,11,WD
Clerodendrum luteopunctatum,黄腺大青,6,10,6,10,WD
Clerodendrum mandarinorum,海通,7,12,7,12,WD
Clerodendrum trichotomum,海州常山,NA,NA,NA,NA,WD
Clerodendrum yunnanense,滇常山,4,10,4,10,WD
Clethra barbinervis,髭脉桤叶树,7,8,9,11,WD
Clethra bodinieri,单毛桤叶树,6,7,8,9,WD
Clethra delavayi,云南桤叶树,7,8,9,10,WD
Clethra fabri,华南桤叶树,7,8,8,10,WD
Clethra fargesii,城口桤叶树,7,8,9,10,WD
Clethra kaipoensis,贵州桤叶树,7,8,9,10,WD
Cleyera incornuta,凹脉红淡比,5,7,9,10,WD
Cleyera japonica,红溪比,5,6,10,11,WD
Cleyera japonica var. wallichiana,大花红淡比,7,7,11,12,WD
Cleyera lipingensis,齿叶红淡比,5,6,10,11,WD
Cleyera pachyphylla,厚叶红淡比,6,7,10,11,WD
Clinopodium confine,邻近风轮菜,NA,NA,NA,NA,CB
Clinopodium gracile,细风轮菜,6,8,8,10,CB
Clinopodium polycephalum,灯笼草,7,8,9,9,CB
Clinopodium repens,匍匐风轮菜,NA,NA,NA,NA,CB
Cocculus laurifolius,樟叶木防己,6,7,9,10,WD
Cocculus orbiculatus,木防己,6,7,9,11,WD
Cocculus orbiculatus var. mollis,毛木防己,NA,NA,NA,NA,WD
Codariocalyx gyroides,圆叶舞草,9,10,10,11,WD
Codariocalyx microphyllus,小叶三点金,NA,NA,NA,NA,WD
Codariocalyx motorius,舞草,7,9,10,11,WD
Codonacanthus pauciflorus,钟花草,8,4,8,4,CB
Codonopsis lanceolata,羊乳,7,8,7,8,CB
Codonopsis pilosula,党参,7,10,7,10,CB
Codonopsis tangshen,川党参,7,10,7,10,CB
Coelogyne fimbriata,流苏贝母兰,8,10,4,8,CB
Coix aquatica,水生薏苡,8,11,8,11,CB
Coix lacryma-jobi var. ma-yuen,薏米,7,12,7,12,CB
Coleus carnosifolius,肉叶鞘蕊花,NA,NA,NA,NA,CB
Collabium formosanum,台湾吻兰,5,9,NA,NA,CB
Colocasia esculentum var. antiquorum,野芋,NA,NA,NA,NA,CB
Colocasia gigantea,大野芋,4,6,9,9,CB
Comanthosphace ningpoensis,绵穗苏,NA,NA,NA,NA,CB
Combretum alfredii,风车子,5,8,9,10,WD
Combretum wallichii,石风车子,5,8,9,11,WD
Commelina benghalensis,饭包草,6,11,NA,NA,CB
Commelina communis,鸭跖草,NA,NA,NA,NA,CB
Commelina diffusa,节节草,5,11,NA,NA,CB
Commelina paludosa,大苞鸭跖草,8,10,10,4,CB
Conyza bonariensis,香丝草,NA,NA,NA,NA,CB
Conyza canadensis,小蓬草,NA,NA,NA,NA,CB
Conyza sumatrensis,苏门白酒草,NA,NA,NA,NA,CB
Coptis chinensis,黄连,2,3,4,6,CB
Coptis chinensis var. brevisepala,短萼黄连,NA,NA,NA,NA,CB
Coptis teeta,云南黄连,NA,NA,NA,NA,CB
Coptosapelta diffusa,流苏子,5,7,5,12,WD
Corallodiscus lanuginosus,珊瑚苣苔,4,10,6,12,CB
Corchoropsis crenata,田麻,4,6,9,11,CB
Corchorus aestuans,甜麻,6,11,NA,NA,CB
Coriaria nepalensis,马桑,2,5,5,8,WD
Cornus austrosinensis,华南梾木,6,7,12,12,WD
Cornus capitata,头状四照花,5,7,9,11,WD
Cornus chinensis,川鄂山茱萸,4,4,9,9,WD
Cornus controversa,灯台树,5,6,7,9,WD
Cornus elliptica,尖叶四照花,6,7,10,11,WD
Cornus hemsleyi,红椋子,6,7,8,9,WD
Cornus hongkongensis,香港四照花,4,6,10,12,WD
Cornus hongkongensis subsp. ferruginea,褐毛四照花,6,6,10,12,WD
Cornus hongkongensis subsp. gigantea,大型四照花,4,5,NA,NA,WD
Cornus hongkongensis subsp. melanotricha,黑毛四照花,5,6,10,11,WD
Cornus kousa subsp. chinensis,四照花,5,7,9,10,WD
Cornus macrophylla,梾木,6,7,8,9,WD
Cornus multinervosa,多脉四照花,5,6,10,11,WD
Cornus oblonga,长圆叶梾木,9,1,4,6,WD
Cornus officinalis,山茱萸,3,4,9,10,WD
Cornus quinquenervis,小梾木,6,7,10,11,WD
Cornus ulotricha,卷毛梾木,5,6,7,8,WD
Cornus walteri,毛梾,5,6,8,10,WD
Cornus wilsoniana,光皮梾木,5,5,9,11,WD
Corydalis acuminata,川东紫堇,5,7,7,9,CB
Corydalis balansae,北越紫堇,1,6,5,7,CB
Corydalis cheilanthifolia,地柏枝,4,5,5,7,CB
Corydalis decumbens,夏天无,3,11,5,6,CB
Corydalis edulis,紫堇,3,6,4,7,CB
Corydalis heterocarpa,异果黄堇,NA,NA,NA,NA,CB
Corydalis incisa,刻叶紫堇,3,6,4,8,CB
Corydalis pallida,黄堇,3,4,5,6,CB
Corydalis racemosa,小花黄堇,3,4,5,6,CB
Corydalis saxicola,石生黄堇,3,4,5,7,CB
Corydalis sheareri,地锦苗,4,5,5,6,CB
Corydalis sheareri f. bulbillifera,珠芽地锦苗,3,4,4,6,CB
Corydalis speciosa,珠果黄堇,4,5,5,6,CB
Corydalis temulifolia,大叶紫堇,4,6,5,7,CB
Corydalis wilsonii,川鄂黄堇,4,5,5,7,CB
Corylopsis multiflora,瑞木,NA,NA,NA,NA,WD
Corylopsis obovata,黔蜡瓣花,NA,NA,8,8,WD
Corylopsis sinensis,蜡瓣花,NA,NA,NA,NA,WD
Corylopsis sinensis var. calvescens,秃蜡瓣花,4,7,7,9,WD
Corylopsis stelligera,星毛蜡瓣花,4,6,6,8,WD
Corylopsis veitchiana,红药蜡瓣花,4,6,6,8,WD
Corylus chinensis,华榛,NA,NA,NA,NA,WD
Corylus fargesii,披针叶榛,5,7,7,8,WD
Corylus ferox var. thibetica,藏刺榛,3,5,8,10,WD
Corylus heterophylla,榛,5,7,7,8,WD
Corylus heterophylla var. sutchuenensis,川榛,3,4,8,9,WD
Cotinus coggygria,黄栌,2,8,5,11,WD
Cotinus coggygria var. pubescens,毛黄栌(变种),5,5,NA,NA,WD
Cotoneaster acutifolius,灰栒子,5,6,9,10,WD
Cotoneaster apiculatus,细尖栒子,6,6,9,10,WD
Cotoneaster bullatus,泡叶栒子,5,6,8,9,WD
Cotoneaster dammeri,矮生栒子,5,6,9,10,WD
Cotoneaster dielsianus,木帚栒子,6,7,9,10,WD
Cotoneaster divaricatus,散生栒子,4,6,8,9,WD
Cotoneaster foveolatus,麻核栒子,6,6,7,7,WD
Cotoneaster horizontalis,平枝栒子,5,6,8,9,WD
Cotoneaster obscurus,暗红栒子,5,6,9,10,WD
Cotoneaster rhytidophyllus,麻叶栒子,6,6,9,10,WD
Cotoneaster salicifolius,柳叶栒子,6,6,8,9,WD
Cotoneaster salicifolius var. henryanus,大叶柳叶栒子,NA,NA,NA,NA,WD
Cotoneaster salicifolius var. rugosus,皱叶柳叶栒子,NA,NA,NA,NA,WD
Cotoneaster silvestrii,华中栒子,6,6,9,9,WD
Cotoneaster zabelii,西北栒子,5,6,8,9,WD
Crataegus cuneata,野山楂,5,5,6,6,WD
Crataegus hupehensis,湖北山楂,5,6,7,8,WD
Crawfurdia pricei,福建蔓龙胆,10,12,10,12,CB
Cremastra appendiculata,杜鹃兰,5,6,9,12,CB
Crepis lignea,绿茎还阳参,4,8,4,8,CB
Crinum asiaticum var. sinicum,文殊兰,6,8,NA,NA,CB
Crinum latifolium,西南文殊兰,6,8,NA,NA,CB
Crotalaria albida,响铃豆,5,11,5,11,CB
Crotalaria chinensis,中国猪屎豆,6,8,10,12,CB
Crotalaria ferruginea,假地兰,6,12,6,12,CB
Crotalaria linifolia,线叶猪屎豆,5,10,8,12,CB
Crotalaria retusa,吊裙草,10,4,10,4,CB
Crotalaria sessiliflora,野百合,5,8,8,12,CB
Crotalaria spectabilis,大托叶猪屎豆,8,12,8,12,CB
Croton crassifolius,鸡骨香,11,6,2,9,WD
Croton tiglium,巴豆,4,6,5,9,WD
Cryptocarya chinensis,厚壳桂,4,5,8,12,WD
Cryptocarya chingii,硬壳桂,6,10,9,3,WD
Cryptocarya concinna,黄果厚壳桂,3,5,8,11,WD
Cryptocarya densiflora,丛花厚壳桂,4,6,7,11,WD
Cryptotaenia japonica f. pinnatisecta,羽裂鸭儿芹,NA,NA,NA,NA,CB
Cucumis melo var. conomon,菜瓜,NA,NA,NA,NA,CB
Curculigo capitulata,大叶仙茅,5,6,8,9,CB
Curculigo orchioides,仙茅,4,9,4,9,CB
Cyanotis vaga,蓝耳草,7,9,10,10,CB
Cyclea barbata,毛叶轮环藤,NA,NA,NA,NA,CB
Cyclea gracillima,纤细轮环藤,6,11,6,11,CB
Cyclea hypoglauca,粉叶轮环藤,NA,NA,NA,NA,WD
Cyclea racemosa,轮环藤,3,4,6,7,CB
Cyclea sutchuenensis,四川轮环藤,6,7,8,9,CB
Cyclea wattii,西南轮环藤,NA,NA,NA,NA,WD
Cyclobalanopsis argyrotricha,贵州青冈,8,9,次年9,次年11,WD
Cyclobalanopsis championii,岭南青冈,12,3,11,12,WD
Cyclobalanopsis chungii,福建青冈,NA,NA,NA,NA,WD
Cyclobalanopsis delavayi,黄毛青冈,4,5,次年9,次年10,WD
Cyclobalanopsis delicatula,上思青冈,4,5,10,11,WD
Cyclobalanopsis disciformis,碟斗青冈,3,4,次年8,次年12,WD
Cyclobalanopsis fleuryi,饭甑青冈,3,4,10,12,WD
Cyclobalanopsis gambleana,毛曼青冈,4,5,10,11,WD
Cyclobalanopsis gilva,赤皮青冈,5,5,10,10,WD
Cyclobalanopsis glauca,青冈,4,5,10,10,WD
Cyclobalanopsis gracilis,细叶青冈,4,6,9,10,WD
Cyclobalanopsis hefleriana,毛枝青冈,NA,NA,NA,NA,WD
Cyclobalanopsis hui,雷公青冈,4,5,10,12,WD
Cyclobalanopsis jenseniana,大叶青冈,4,6,次年10,次年11,WD
Cyclobalanopsis kouangsiensis,广西青冈,NA,NA,10,10,WD
Cyclobalanopsis multinervis,多脉青冈,次年10,次年11,NA,NA,WD
Cyclobalanopsis neglecta,竹叶青冈,2,3,8,11,WD
Cyclobalanopsis ningangensis,宁冈青冈,NA,NA,NA,NA,WD
Cyclobalanopsis obovatifolia,倒卵叶青冈,NA,NA,11,11,WD
Cyclobalanopsis oxyodon,曼青冈,5,6,9,10,WD
Cyclobalanopsis sessilifolia,云山青冈,4,5,10,11,WD
Cyclobalanopsis stewardiana,褐叶青冈,7,7,次年10,次年10,WD
Cyclocarya paliurus,青钱柳,5,6,8,9,WD
Cyclocodon celebicus,小叶轮钟草,7,1,7,1,CB
Cyclocodon lancifolius,长叶轮钟草,7,11,7,11,CB
Cymbidium ensifolium,建兰,NA,NA,NA,NA,CB
Cymbidium faberi,蕙兰,NA,NA,NA,NA,CB
Cymbidium floribundum,多花兰,4,8,10,12,CB
Cymbidium goeringii,春兰,NA,NA,NA,NA,CB
Cymbidium kanran,寒兰,8,12,NA,NA,CB
Cymbidium lancifolium,兔耳兰,5,8,10,12,CB
Cymbidium tortisepalum var. longibracteatum,春剑,1,3,NA,NA,CB
Cymbopogon goeringii,橘草,7,10,7,10,CB
Cynanchum amplexicaule,合掌消,5,9,7,9,CB
Cynanchum atratum,白薇,4,8,6,8,CB
Cynanchum auriculatum,牛皮消,6,9,7,11,CB
Cynanchum chekiangense,蔓剪草,5,5,6,6,CB
Cynanchum corymbosum,刺瓜,5,10,8,1,CB
Cynanchum decipiens,豹药藤,5,7,7,10,WD
Cynanchum fordii,山白前,5,8,8,12,CB
Cynanchum glaucescens,白前,5,11,7,11,WD
Cynanchum inamoenum,竹灵消,5,7,7,10,CB
Cynanchum mooreanum,毛白前,6,7,8,10,CB
Cynanchum officinale,朱砂藤,5,8,7,10,WD
Cynanchum otophyllum,青羊参,6,10,8,11,CB
Cynanchum paniculatum,徐长卿,5,7,8,12,CB
Cynanchum stauntonii,柳叶白前,5,8,9,10,WD
Cynanchum wilfordii,隔山消,5,9,7,10,CB
Cynodon dactylon,狗牙根,5,10,5,10,CB
Cynoglossum furcatum,琉璃草,5,10,5,10,CB
Cynoglossum lanceolatum,小花琉璃草,4,9,4,9,CB
Cyperus amuricus,阿穆尔莎草,7,10,7,10,CB
Cyperus compressus,扁穗莎草,7,12,7,12,CB
Cyperus cuspidatus,长尖莎草,6,9,6,9,CB
Cyperus diffusus,多脉莎草,6,9,6,9,CB
Cyperus haspan,畦畔莎草,NA,NA,NA,NA,CB
Cyperus michelianus,旋鳞莎草,6,9,6,9,CB
Cyperus nipponicus,白鳞莎草,8,9,8,9,CB
Cyperus orthostachyus,三轮草,8,10,8,10,CB
Cyperus pilosus,毛轴莎草,8,11,8,11,CB
Cyperus tenuispica,窄穗莎草,9,11,9,11,CB
Cypripedium henryi,绿花杓兰,4,5,7,9,CB
Cypripedium japonicum,扇脉杓兰,4,5,6,10,CB
Cyrtococcum patens var. latifolium,散穗弓果黍,7,11,7,11,CB
Cyrtosia septentrionalis,血红肉果兰,5,7,9,9,CB
Dalbergia assamica,秧青,4,7,9,12,WD
Dalbergia balansae,南岭黄檀,6,7,10,11,WD
Dalbergia benthamii,两粤黄檀,3,6,7,10,WD
Dalbergia dyeriana,大金刚藤,5,6,7,8,WD
Dalbergia hancei,藤黄檀,3,4,7,8,WD
Dalbergia hupeana,黄檀,5,7,8,9,WD
Dalbergia millettii,香港黄檀,5,7,8,9,WD
Dalbergia mimosoides,象鼻藤,4,5,9,10,WD
Dalbergia stenophylla,狭叶黄檀,5,6,8,10,WD
Dalbergia yunnanensis,滇黔黄檀,4,5,9,10,WD
Damnacanthus giganteus,短刺虎刺,3,5,10,1,WD
Damnacanthus indicus,虎刺,3,5,12,3,WD
Damnacanthus labordei,柳叶虎刺,2,3,9,12,WD
Damnacanthus officinarum,四川虎刺,12,5,10,12,WD
Daphne acutiloba,尖瓣瑞香,4,5,7,9,WD
Daphne championii,长柱瑞香,2,4,NA,NA,WD
Daphne genkwa,芫花,3,5,6,7,WD
Daphne kiusiana var. atrocaulis,毛瑞香,11,2,4,5,WD
Daphne longituba,长管瑞香,10,11,NA,NA,WD
Daphne odora,瑞香,3,5,7,8,WD
Daphne papyracea,白瑞香,11,1,4,5,WD
Daphniphyllum angustifolium,狭叶虎皮楠,4,5,8,10,WD
Daphniphyllum calycinum,牛耳枫,4,6,8,11,WD
Daphniphyllum longeracemosum,长序虎皮楠,4,5,8,11,WD
Daphniphyllum macropodum,交让木,3,5,8,10,WD
Daphniphyllum oldhami,虎皮楠,3,5,8,11,WD
Daucus carota var. sativa,胡罗卜,NA,NA,NA,NA,CB
Davidia involucrata,珙桐,4,4,10,10,WD
Davidia involucrata var. vilmoriniana,光叶珙桐,NA,NA,NA,NA,WD
Debregeasia longifolia,长叶水麻,7,9,9,2,WD
Debregeasia orientalis,水麻,4,6,6,10,WD
Decaisnea insignis,猫儿屎,4,6,7,8,WD
Decaspermum gracilentum,子楝树,3,5,NA,NA,WD
Decumaria sinensis,赤壁木,3,5,8,10,WD
Delphinium anthriscifolium,还亮草,4,6,6,8,CB
Delphinium anthriscifolium var. majus,大花还亮草,NA,NA,NA,NA,CB
Delphinium anthriscifolium var. savatieri,卵瓣还亮草,NA,NA,NA,NA,CB
Dendrobium aduncum,钩状石斛,5,6,NA,NA,CB
Dendrobium falconeri,串珠石斛,5,6,NA,NA,CB
Dendrobium flexicaule,曲茎石斛,NA,NA,NA,NA,CB
Dendrobium hancockii,细叶石斛,5,6,NA,NA,CB
Dendrobium henryi,疏花石斛,6,9,NA,NA,CB
Dendrobium hercoglossum,重唇石斛,5,6,NA,NA,CB
Dendrobium loddigesii,美花石斛,4,5,NA,NA,CB
Dendrobium lohohense,罗河石斛,6,6,7,8,CB
Dendrobium nobile,石斛,NA,NA,NA,NA,CB
Dendrobium officinale,铁皮石斛,NA,NA,NA,NA,CB
Dendrobium wilsonii,广东石斛,NA,NA,NA,NA,CB
Dendrocalamus minor,吊丝竹,NA,NA,NA,NA,WD
Dendropanax chevalieri,大果树参,8,9,9,12,WD
Dendropanax confertus,挤果树参,8,9,11,12,WD
Dendropanax dentigerus,树参,NA,NA,NA,NA,WD
Dendropanax hainanensis,海南树参,6,7,10,10,WD
Dendropanax kwangsiensis,广西树参,9,9,9，11,9，11,WD
Dendropanax proteus,变叶树参,8,9,9,10,WD
Derris elliptica,毛鱼藤,NA,NA,NA,NA,WD
Derris fordii,中南鱼藤,5,8,10,11,WD
Derris fordii var. lucida,亮叶中南鱼藤,3,4,6,8,WD
Derris trifoliata,鱼藤,4,8,8,12,WD
Desmodium diffusum,单序拿身草,8,11,8,11,WD
Desmodium heterocarpon,假地豆,7,10,10,11,WD
Desmodium heterocarpon var. strigosum,糙毛假地豆,7,10,10,11,WD
Desmodium laxiflorum,大叶拿身草,8,10,10,11,WD
Desmodium multiflorum,饿蚂蝗,7,9,8,10,WD
Desmodium sequax,长波叶山蚂蝗,7,9,9,11,WD
Deutzia discolor,异色溲疏,6,7,8,10,WD
Deutzia ningpoensis,宁波溲疏,5,7,9,10,WD
Deutzia rubens,粉红溲疏,5,6,8,10,WD
Deutzia schneideriana,长江溲疏,5,6,8,10,WD
Deutzia setchuenensis,四川溲疏,4,7,6,9,WD
Deyeuxia effusiflora,疏穗野青茅,7,10,7,10,CB
Deyeuxia pyramidalis,野青茅,6,10,6,10,CB
Deyeuxia scabrescens,糙野青茅,7,10,7,10,CB
Dianella ensifolia,山管,3,8,3,8,CB
Dianthus chinensis,石竹,5,6,7,9,CB
Dianthus longicalyx,长萼瞿麦,6,9,6,9,CB
Dianthus superbus,瞿麦,6,8,8,10,CB
Dicentra macrantha,大花荷包牡丹,4,5,6,7,CB
Dichanthium annulatum,双花草,6,11,6,11,CB
Dichocarpum dalzielii,蕨叶人字果,4,5,5,6,CB
Dichocarpum fargesii,纵肋人字果,5,6,7,7,CB
Dichocarpum franchetii,小花人字果,4,5,5,6,CB
Dichocarpum sutchuenense,人字果,4,5,5,6,CB
Dichondra micrantha,马蹄金,NA,NA,NA,NA,CB
Dichroa febrifuga,常山,2,4,5,8,WD
Dichroa yaoshanensis,罗蒙常山,5,7,9,11,WD
Dichrocephala auriculata,鱼眼草,1,12,1,12,CB
Dickinsia hydrocotyloides,马蹄芹,4,10,4,10,CB
Dicliptera chinensis,狗肝菜,8,1,11,2,CB
Didymocarpus hancei,东南长蒴苣苔,4,4,NA,NA,CB
Didymocarpus reniformis,肾叶长蒴苣苔,6,6,NA,NA,CB
Didymocarpus sinoprimulinus,报春长蒴苣苔,4,5,5,5,CB
Didymocarpus stenanthos var. pilosellus,疏毛长蒴苣苔,8,8,8,8,CB
Didymocarpus yuenlingensis,沅陵长蒴苣苔,5,5,NA,NA,CB
Digitaria ciliaris,纤毛马唐,5,10,5,10,CB
Digitaria ciliaris var. chrysoblephara,毛马唐,NA,NA,NA,NA,CB
Digitaria cruciata,十字马唐,6,10,6,10,CB
Digitaria ischaemum,止血马唐,6,11,6,11,CB
Digitaria longiflora,长花马唐,4,10,4,10,CB
Digitaria setigera,海南马唐,6,11,6,11,CB
Digitaria violascens,紫马唐,7,11,7,11,CB
Dimeria ornithopoda,觿茅,10,11,9,11,CB
Dinetus racemosus,飞蛾藤,NA,NA,NA,NA,WD
Dioscorea althaeoides,蜀葵叶薯蓣,6,8,7,9,CB
Dioscorea benthamii,大青薯,5,6,7,9,CB
Dioscorea bulbifera,黄独,7,10,8,11,CB
Dioscorea chingii,山葛薯,4,7,8,10,CB
Dioscorea cirrhosa,薯莨,4,6,7,1,CB
Dioscorea collettii,叉蕊薯蓣,5,8,6,10,CB
Dioscorea collettii var. hypoglauca,粉北薯蓣,5,8,6,10,CB
Dioscorea exalata,无翅参薯,11,12,11,1,CB
Dioscorea fordii,山薯,10,1,12,1,CB
Dioscorea futschauensis,福州薯蓣,6,7,7,10,CB
Dioscorea glabra,光叶薯蓣,9,12,12,1,CB
Dioscorea gracillima,纤细薯蓣,5,8,6,10,CB
Dioscorea hemsleyi,粘山药,7,8,9,10,CB
Dioscorea japonica,日本薯蓣,5,10,7,11,CB
Dioscorea japonica var. oldhamii,细叶日本薯蓣,6,6,9,9,CB
Dioscorea japonica var. pilifera,毛藤日本薯蓣,8,9,NA,NA,CB
Dioscorea kamoonensis,毛芋头薯蓣,7,9,9,11,CB
Dioscorea linearicordata,柳叶薯蓣,6,6,7,7,CB
Dioscorea nipponica,穿龙薯蓣,6,8,8,10,CB
Dioscorea nipponica subsp. rosthornii,紫黄姜,NA,NA,NA,NA,CB
Dioscorea panthaica,黄山药,5,7,7,9,CB
Dioscorea pentaphylla,五叶薯蓣,8,10,11,2,CB
Dioscorea persimilis,褐苞薯蓣,7,12,9,1,CB
Dioscorea polystachya,薯蓣,6,9,7,11,CB
Dioscorea spongiosa,绵萆薢,6,8,7,10,CB
Dioscorea subcalva,毛胶薯蓣,7,8,9,10,CB
Dioscorea tenuipes,细柄薯蓣,NA,NA,NA,NA,CB
Dioscorea tokoro,山萆薢,6,8,8,10,CB
Dioscorea zingiberensis,盾叶薯蓣,5,8,9,10,CB
Diospyros armata,瓶兰花,5,5,10,10,WD
Diospyros cathayensis,乌柿,4,5,8,10,WD
Diospyros chunii,崖柿,NA,NA,2,2,WD
Diospyros japonica,山柿,4,7,9,11,WD
Diospyros kaki,柿,5,6,9,10,WD
Diospyros kaki var. silvestris,野柿,NA,NA,NA,NA,WD
Diospyros longshengensis,龙胜柿,NA,NA,7,8,WD
Diospyros lotus,君迁子,5,6,10,11,WD
Diospyros miaoshanica,苗山柿,NA,NA,10,10,WD
Diospyros morrisiana,罗浮柿,5,6,11,11,WD
Diospyros oleifera,油柿,4,5,8,10,WD
Diospyros rhombifolia,老鸦柿,4,5,9,10,WD
Diospyros tsangii,延平柿,2,5,8,8,WD
Diospyros tutcheri,岭南柿,4,5,8,10,WD
Diospyros xiangguiensis,湘桂柿,6,6,11,11,WD
Dipelta floribunda,双盾木,4,7,8,9,WD
Dipelta yunnanensis,云南双盾木,5,6,5,11,WD
Diplacrum caricinum,裂颖茅,9,10,9,10,CB
Diploclisia affinis,秤钩风,4,5,7,9,WD
Diploclisia glaucescens,苍白秤钩风,4,5,7,8,WD
Diplopanax stachyanthus,马蹄参,NA,NA,NA,NA,WD
Diplospora dubia,狗骨柴,4,8,5,2,WD
Diplospora fruticosa,毛狗骨柴,3,5,6,2,WD
Dipsacus asper,川续断,7,9,9,11,CB
Dipsacus japonicus,日本续断,8,9,9,11,CB
Dipteronia sinensis,金钱槭,4,4,9,9,WD
Disanthus cercidifolius,双花木,NA,NA,NA,NA,WD
Disanthus cercidifolius subsp. longipes,长柄双花木,10,11,9,10,WD
Dischidanthus urceolatus,马兰藤,3,9,5,2,CB
Discocleidion rufescens,毛丹麻杆,4,8,8,10,WD
Disporopsis aspersa,散斑竹根七,5,6,9,10,CB
Disporopsis fuscopicta,竹根七,4,5,11,11,CB
Disporopsis pernyi,深裂竹根七,4,5,11,12,CB
Disporum bodinieri,短蕊万寿竹,3,5,6,11,CB
Disporum calcaratum,距花万寿竹,6,7,8,11,CB
Disporum cantoniense,万寿竹,5,7,8,10,CB
Disporum sessile,宝铎草,3,6,6,11,CB
Disporum uniflorum,少花万寿竹,3,6,7,11,CB
Distyliopsis dunnii,尖叶假蚊母树,4,6,6,9,WD
Distyliopsis tutcheri,钝叶假蚊母树,4,6,6,9,WD
Distylium buxifolium,小叶蚊母树,4,5,6,8,WD
Distylium chinense,中华蚊母树,4,6,6,8,WD
Distylium dunnianum,窄叶蚊母树,NA,NA,8,8,WD
Distylium elaeagnoides,鳞毛蚊母树,NA,NA,8,8,WD
Distylium macrophyllum,大叶蚊母树,NA,NA,8,8,WD
Distylium myricoides,杨梅蚊母树,4,6,6,8,WD
Distylium pingpienense,屏边蚊母树,4,6,6,8,WD
Distylium racemosum,蚊母树,4,6,6,8,WD
Doellingeria marchandii,短冠东风菜,NA,NA,NA,NA,CB
Doellingeria scabra,东风菜,6,10,8,10,CB
Dopatrium junceum,虻眼,NA,NA,NA,NA,CB
Drosera peltata,茅膏菜,5,6,6,8,CB
Drosera rotundifolia,圆叶茅膏菜,6,8,6,8,CB
Drymaria cordata,荷莲豆草,4,10,6,12,CB
Duchesnea indica,蛇莓,6,8,8,10,CB
Dumasia hirsuta,硬毛山黑豆,6,7,7,8,CB
Dumasia truncata,山黑豆,8,9,10,11,CB
Dumasia villosa,柔毛山黑豆,9,10,11,12,CB
Dunbaria podocarpa,长柄野扁豆,6,7,7,11,CB
Dunbaria rotundifolia,圆叶野扁豆,9,10,9,10,CB
Dunbaria villosa,野扁豆,7,9,9,11,CB
Dysophylla sampsonii,齿叶水蜡烛,NA,NA,NA,NA,CB
Dysophylla stellata,水虎尾,NA,NA,NA,NA,CB
Dysophylla yatabeana,水蜡烛,NA,NA,NA,NA,CB
Dysosma aurantiocaulis,云南八角莲,5,6,6,8,CB
Dysosma difformis,小八角莲,4,6,7,8,CB
