sentific name,chinese name,first flowerin month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Caragana sinica,½õ¼¦¶ù,4,6,5,8,NA,Fabaceae,WD
Caragana stenophylla,ÏÁÒ¶½õ¼¦¶ù,4,6,7,8,Caragana,Fabaceae,WD
Caragana tangutica,Çà¸Ê½õ¼¦¶ù,5,6,7,9,Caragana,Fabaceae,WD
Caragana tibetica,Ã«´Ì½õ¼¦¶ù,5,7,7,8,Caragana,Fabaceae,WD
Cardamine engleriana,¹âÍ·É½ËéÃ×Üù,4,5,6,7,Cardamine,Brassicaceae,CB
Cardamine impatiens,µ¯ÁÑËéÃ×Üù,4,6,5,7,Cardamine,Brassicaceae,CB
Cardamine leucantha,°×»¨ËéÃ×Üù,5,5,7,7,Cardamine,Brassicaceae,CB
Cardamine macrophylla,´óÒ¶ËéÃ×Üù,5,6,7,8,Cardamine,Brassicaceae,CB
Cardamine purpurascens,×Ï»¨ËéÃ×Üù,5,7,NA,NA,Cardamine,Brassicaceae,CB
Cardamine stenoloba,ÏÁÒ¶ËéÃ×Üù,7,7,7,7,Cardamine,Brassicaceae,CB
Cardamine tangutorum,ÌÆ¹ÅËéÃ×Üù,5,7,6,8,Cardamine,Brassicaceae,CB
Cardaria draba subsp. chalepensis,Çò¹ûÈºĞÄ²Ë,NA,NA,NA,NA,NA,Brassicaceae,CB
Cardaria pubescens,Ã«¹ûÈºĞÄ²Ë,5,7,5,7,NA,Brassicaceae,CB
Cardiocrinum giganteum,´ó°ÙºÏ,6,7,9,10,Cardiocrinum,Liliaceae,CB
Cardiocrinum giganteum var. yunnanense,ÔÆÄÏ¿ª¶úºÏ,NA,NA,NA,NA,NA,Liliaceae,CB
Carduus acanthoides,½ÚÃ«·ÉÁ®,5,10,5,10,Carduus,Asteraceae,CB
Carduus crispus,Ë¿Ã«·ÉÁ®,4.25,7,6,8,NA,Asteraceae,CB
Carduus nutans,·ÉÁ®,6,10,6,10,Carduus,Asteraceae,CB
Carex agglomerata,ÍÅËëŞ·²İ,4,5,6,7,NA,Cyperaceae,CB
Carex alopecuroides,ºÌ×´Ş·²İ,4,7,4,7,Carex,Cyperaceae,CB
Carex aridula,¸ÉÉúŞ·²İ,6,9,6,9,Carex,Cyperaceae,CB
Carex asperifructus,´Ö²ÚÄÒŞ·²İ,6,9,6,9,Carex,Cyperaceae,CB
Carex atrata,ºÚËëŞ·²İ,NA,NA,NA,NA,NA,Cyperaceae,CB
Carex atrata subsp. pullata,¼âÁÛŞ·²İ,NA,NA,NA,NA,NA,Cyperaceae,CB
Carex atrofusca,,6,8,6,8,Carex,Cyperaceae,NA
Carex bostrychostigma,¾íÖùÍ·Ş·²İ,5,7,5,7,Carex,Cyperaceae,CB
Carex breviaristata,¶ÌÃ¢Ş·²İ,4,4,5,5,Carex,Cyperaceae,CB
Carex breviculmis,ÇàÂÌŞ·²İ,3,6,3,6,Carex,Cyperaceae,CB
Carex breviculmis var. fibrillosa,ÏËÎ¬ÇàİÑ,NA,NA,NA,NA,NA,Cyperaceae,CB
Carex brownii,ÑÇ°ÄŞ·²İ,4,5,6,7,Carex,Cyperaceae,CB
Carex brunnea,ºÖ¹ûŞ·²İ,6,10,6,10,Carex,Cyperaceae,CB
Carex caespitosa,´ÔŞ·²İ,6,7,6,7,Carex,Cyperaceae,CB
Carex capillaris,Ï¸¸ÑŞ·²İ,6,7,6,7,Carex,Cyperaceae,CB
Carex capilliformis,Ë¿Ò¶Ş·²İ,7,9,7,9,Carex,Cyperaceae,CB
Carex cardiolepis,²Ø¶«Ş·²İ,5,9,5,9,NA,Cyperaceae,CB
Carex chinensis,ÖĞ»ªŞ·²İ,4,6,4,6,NA,Cyperaceae,CB
Carex chlorostachys,ÂÌËëŞ·²İ,6,8,6,8,NA,Cyperaceae,CB
Carex coriophora,±âÄÒŞ·²İ,6,8,6,8,NA,Cyperaceae,CB
Carex coriophora subsp. langtaodianensis,ÀËÌÔµîŞ·²İ,NA,NA,NA,NA,NA,Cyperaceae,CB
Carex crebra,ÃÜÉúŞ·²İ,4,5,6,6,NA,Cyperaceae,CB
Carex cruenta,ÏÁÄÒŞ·²İ,6,7,6,7,Carex,Cyperaceae,CB
Carex davidii,ÎŞà¹ÄÒŞ·²İ,4,6,4,6,Carex,Cyperaceae,CB
Carex diplodon,ÇØÁëŞ·²İ,NA,NA,4,4,NA,Cyperaceae,CB
Carex dispalata,Öå¹ûŞ·²İ,5,7,5,7,NA,Cyperaceae,CB
Carex doniana,Ç©²İ,4,10,4,10,NA,Cyperaceae,CB
Carex duriuscula,´ç²İ,4,6,4,6,Carex,Cyperaceae,CB
Carex duriuscula subsp. rigescens,°×Ó±Ş·²İ,4,6,4,6,NA,Cyperaceae,CB
Carex duriuscula subsp. stenophylloides,Ï¸Ò¶Ş·²İ,4,6,4,6,NA,Cyperaceae,CB
Carex earistata,ÎŞÃ¢Ş·²İ,6,6,6,6,NA,Cyperaceae,CB
Carex enervis,ÎŞÂöŞ·²İ,6,8,6,8,NA,Cyperaceae,CB
Carex ensifolia,¼ıÒ¶Ş·²İ,7,8,7,8,NA,Cyperaceae,CB
Carex fargesii,´¨¶«Ş·²İ,5,7,5,7,NA,Cyperaceae,CB
Carex filamentosa,Ë¿¸ÑŞ·²İ,NA,NA,NA,NA,NA,Cyperaceae,CB
Carex finitima,ÁÁÂÌŞ·²İ,6,7,6,7,Carex,Cyperaceae,CB
Carex fluviatilis,ÏªÉúŞ·²İ,6,9,6,9,Carex,Cyperaceae,CB
Carex gentilis,Ç××åŞ·²İ,8,10,8,10,Carex,Cyperaceae,CB
Carex gentilis var. intermedia,¿íÒ¶Ç××åŞ·²İ,8,10,8,10,NA,Cyperaceae,CB
Carex gibba,ñ·Â¡Ş·²İ,4,5,6,7,Carex,Cyperaceae,CB
Carex gotoi,²æ³İŞ·²İ,5,6,5,6,Carex,Cyperaceae,CB
Carex grandiligulata,´óÉàŞ·²İ,4,5,4,5,Carex,Cyperaceae,CB
Carex haematostoma,ºì×ìŞ·²İ,7,8,7,8,Carex,Cyperaceae,CB
Carex hancockiana,µãÒ¶Ş·²İ,5,5,7,7,Carex,Cyperaceae,CB
Carex handelii,Ë«ÂöÄÒŞ·²İ,NA,NA,NA,NA,NA,Cyperaceae,CB
Carex henryi,ÏíÊÏŞ·²İ,8,10,8,10,NA,Cyperaceae,CB
Carex heterolepis,ÒìÁÛŞ·²İ,4,5,6,7,NA,Cyperaceae,CB
Carex heterostachya,ÒìËëŞ·²İ,4,6,4,6,NA,Cyperaceae,CB
Carex heudesii,³¤°²Ş·²İ,5,7,5,7,Carex,Cyperaceae,CB
Carex huashanica,»ªÉ½Ş·²İ,4,5,4,5,Carex,Cyperaceae,CB
Carex ivanoviae,ÎŞËë±úŞ·²İ,6,8,6,8,Carex,Cyperaceae,CB
Carex japonica,ÈÕ±¾Ş·²İ,4,5,6,7,Carex,Cyperaceae,CB
Carex kansuensis,¸ÊËàŞ·²İ,7,9,7,9,Carex,Cyperaceae,CB
Carex karoi,Ğ¡Á£Ş·²İ,6,8,6,8,Carex,Cyperaceae,CB
Carex korshinskyi,»ÆÄÒŞ·²İ,7,9,7,9,Carex,Cyperaceae,CB
Carex lanceolata,´óÅûÕëŞ·²İ,4,7,4,7,NA,Cyperaceae,CB
Carex lanceolata var. subpediformis,ÑÇ±úŞ·²İ,NA,NA,NA,NA,NA,Cyperaceae,CB
Carex lancifolia,ÅûÕëŞ·²İ,3,5,3,5,NA,Cyperaceae,CB
Carex lehmanii,ÅòÄÒŞ·²İ,7,8,7,8,Carex,Cyperaceae,CB
Carex lehmannii,ÅòÄÒŞ·²İ,7,8,7,8,NA,Cyperaceae,NA
Carex ligulata,ÉàÒ¶Ş·²İ,5,7,5,7,NA,Cyperaceae,CB
Carex lithophila,¶şÖùŞ·²İ,5,5,6,7,Carex,Cyperaceae,CB
Carex longerostrata,³¤×ìŞ·²İ,6,7,8,8,Carex,Cyperaceae,CB
Carex longispiculata,³¤ÃÜ»¨ËëŞ·²İ,5,7,5,7,Carex,Cyperaceae,CB
Carex luctuosa,³Ç¿ÚŞ·²İ,4,5,6,7,Carex,Cyperaceae,CB
Carex maquensis,ÂêÇúŞ·²İ,NA,NA,7,7,NA,Cyperaceae,CB
Carex maubertiana,Ì×ÇÊŞ·²İ,6,9,6,9,NA,Cyperaceae,CB
Carex meihsienica,Ã¼ÏØŞ·²İ,4,4,5,6,NA,Cyperaceae,CB
Carex minxianensis,áºÏØŞ·²İ,6,7,6,7,NA,Cyperaceae,CB
Carex moorcroftii,Çà²ØŞ·²İ,7,9,7,9,NA,Cyperaceae,CB
Carex muliensis,Ä¾ÀïŞ·²İ,7,8,7,8,Carex,Cyperaceae,CB
Carex neurocarpa,Òí¹ûŞ·²İ,8,9,9,10,Carex,Cyperaceae,CB
Carex nivalis,Ï²ÂíÀ­ÑÅŞ·²İ,6,7,6,7,NA,Cyperaceae,CB
Carex nubigena,ÔÆÎíŞ·²İ,4,5,6,8,Carex,Cyperaceae,CB
Carex nubigena subsp. albata,ºÖºìÂöŞ·²İ,6,7,6,7,NA,Cyperaceae,CB
Carex obscura var. brachycarpa,´ÌÄÒŞ·²İ,7,8,7,8,NA,Cyperaceae,CB
Carex omeiensis,¶ëÃ¼Ş·²İ,5,6,7,8,Carex,Cyperaceae,CB
Carex onoei,ÕëÒ¶Ş·²İ,4,4,6,6,NA,Cyperaceae,CB
Carex orbicularis,Ô²ÄÒŞ·²İ,7,8,7,8,Carex,Cyperaceae,CB
Carex ovatispiculata,ÂÑËëŞ·²İ,6,8,6,8,Carex,Cyperaceae,CB
Carex pamirensis,ÅÁÃ×¶ûŞ·²İ,7,8,7,8,NA,Cyperaceae,CB
Carex paracuraica,Â¤ÏØŞ·²İ,5,6,5,6,NA,Cyperaceae,CB
Carex parva,Ğ¡Ş·²İ,5,8,5,8,NA,Cyperaceae,CB
Carex pediformis,±ú×´Ş·²İ,5,9,5,9,NA,Cyperaceae,CB
Carex pediformis var. pedunculata,×õŞ·²İ,NA,NA,NA,NA,NA,Cyperaceae,CB
Carex pisiformis,Íã¶¹ĞÎŞ·²İ,5,6,5,6,Carex,Cyperaceae,CB
Carex planiculmis,±â¸ÑŞ·²İ,4,8,4,8,Carex,Cyperaceae,CB
Carex polyschoenoides,Àà°×ËëŞ·²İ,4,5,4,5,Carex,Cyperaceae,CB
Carex przewalskii,ºì×ØŞ·²İ,6,9,6,9,NA,Cyperaceae,NA
Carex pseudo-cyperus,ËÆÉ¯Ş·²İ,9,10,9,10,NA,Cyperaceae,CB
Carex pseudocyperus,ËÆÉ¯Ş·²İ,9,11,9,11,NA,Cyperaceae,NA
Carex pseudodispalata,ËÆÖå¹ûŞ·²İ,4,7,4,7,NA,Cyperaceae,NA
Carex pseudofoetida,ÎŞÎ¶Ş·²İ,4,7,4,7,Carex,Cyperaceae,CB
Carex remotiuscula,Ë¿ÒıŞ·²İ,5,6,6,7,Carex,Cyperaceae,CB
Carex rochebruni,Êé´øŞ·²İ,5,6,5,6,Carex,Cyperaceae,CB
Carex rochebruni subsp. reptans,ÙéÙëŞ·²İ,6,8,6,8,NA,Cyperaceae,CB
Carex rochebrunii,Êé´øŞ·²İ,5,8,5,8,NA,Cyperaceae,NA
Carex rubro-brunnea var. taliensis,´óÀíŞ·²İ,NA,NA,NA,NA,NA,Cyperaceae,CB
Carex sabulosa,É³µØŞ·²İ,NA,NA,6,7,NA,Cyperaceae,NA
Carex scabrirostris,²Úà¹Ş·²İ,6,6,8,8,Carex,Cyperaceae,CB
Carex schneideri,´¨µáŞ·²İ,7,8,7,8,Carex,Cyperaceae,CB
Carex sendaica,ÏÉÌ¨Ş·²İ,8,10,8,10,NA,Cyperaceae,CB
Carex setosa,´ÌÃ«Ş·²İ,6,7,6,7,NA,Cyperaceae,CB
Carex shaanxiensis,ÉÂÎ÷Ş·²İ,7,8,7,8,NA,Cyperaceae,CB
Carex shandanica,É½µ¤Ş·²İ,8,9,8,9,NA,Cyperaceae,CB
Carex siderosticta,¿íÒ¶Ş·²İ,4,5,4,5,Carex,Cyperaceae,CB
Carex simulans,Ïà·ÂŞ·²İ,3,5,3,5,Carex,Cyperaceae,CB
Carex stipitinux,±ú¹ûŞ·²İ,6,9,6,9,NA,Cyperaceae,CB
Carex taipaishanica,Ì«°×É½Ş·²İ,4,5,4,5,NA,Cyperaceae,CB
Carex tangiana,ÌÆ½øŞ·²İ,5,5,7,7,Carex,Cyperaceae,CB
Carex tangii,ºÓ±±Ş·²İ,5,6,5,6,Carex,Cyperaceae,CB
Carex tangulashanensis,ÌÆ¹ÅÀ­Ş·²İ,6,8,6,8,Carex,Cyperaceae,CB
Carex tatsiensis,´ò¼ıŞ·²İ,7,7,7,7,Carex,Cyperaceae,CB
Carex ussuriensis,ÎÚËÕÀïŞ·²İ,4,4,5,6,Carex,Cyperaceae,CB
Carex wawuensis,ÍßÎİŞ·²İ,6,7,6,7,NA,Cyperaceae,CB
Carex wushanensis,ÎäÉ½Ş·²İ,6,6,6,6,NA,Cyperaceae,CB
Carex wutuensis,Îä¶¼Ş·²İ,5,5,6,6,Carex,Cyperaceae,CB
Carex zekogensis,Ôó¿âŞ·²İ,7,8,7,8,Carex,Cyperaceae,CB
Carpesium cernuum,ÑÌ¹ÜÍ·²İ,6,8,9,10,NA,Asteraceae,CB
Carpesium divaricatum,½ğÍÚ¶ú,7,10,10,11,NA,Asteraceae,CB
Carpesium humile,°«ÌìÃû¾«,7,9,9,10,NA,Asteraceae,CB
Carpesium leptophyllum,±¡Ò¶ÌìÃû¾«,NA,NA,NA,NA,NA,Asteraceae,CB
Carpesium lipskyi,¸ßÔ­ÌìÃû¾«,7,8,9,10,NA,Asteraceae,CB
Carpesium longifolium,³¤Ò¶ÌìÃû¾«,7,8,9,10,NA,Asteraceae,CB
Carpesium macrocephalum,´ó»¨½ğÍÚ¶ú,7,9,9,10,NA,Asteraceae,CB
Carpesium minum,Ğ¡»¨½ğÍÚ¶ú,8,9,10,10,NA,Asteraceae,CB
Carpesium nepalense var. lanatum,ÃŞÃ«Äá²´¶ûÌìÃû¾«,7,9,9,11,NA,Asteraceae,CB
Carpesium szechuanense,ËÄ´¨ÌìÃû¾«,7,8,9,10,NA,Asteraceae,CB
Carpesium trachelifolium,´Ö³İÌìÃû¾«,NA,NA,NA,NA,NA,Asteraceae,CB
Carpesium triste,°µ»¨½ğÍÚ¶ú,7,9,9,10,NA,Asteraceae,CB
Carpesium triste var. sinense,Ã«°µ»¨½ğÍÚ¶ú,NA,NA,NA,NA,NA,Asteraceae,CB
Carpesium velutinum,ÈŞÃ«ÌìÃû¾«,7,9,9,10,NA,Asteraceae,CB
Carpesium zhouquensis,ÖÛÇúÌìÃû´Ö,NA,NA,NA,NA,NA,Asteraceae,CB
Carpinus cordata,Ç§½ïÓÜ,5,6,7,8,NA,Betulaceae,WD
Carpinus cordata var. chinensis,»ªÇ§½ïÓÜ,NA,NA,NA,NA,NA,Betulaceae,WD
Carpinus cordata var. mollis,Ã«Ò¶Ç§½ïÓÜ,NA,NA,NA,NA,NA,Betulaceae,WD
Carpinus fargesiana,´¨ÉÂ¶ì¶úèÀ,5,6,7,9,NA,Betulaceae,WD
Carpinus henryana,´¨¶õ¶ì¶úèÀ,5,6,9,10,NA,Betulaceae,WD
Carpinus hupeana,ºş±±¶ì¶úèÀ,5,6,7,8,NA,Betulaceae,WD
Carpinus polyneura,¶àÂö¶ì¶úèÀ,5,6,7,9,NA,Betulaceae,WD
Carpinus pubescens,ÔÆ¹ó¶ì¶úèÀ,5,6,9,10,NA,Betulaceae,WD
Carpinus shensiensis,ÉÂÎ÷¶ì¶úèÀ,5,6,9,10,NA,Betulaceae,WD
Carpinus stipulata,Ğ¡Ò¶¶ì¶úèÀ,5,6,7,8,NA,Betulaceae,WD
Carpinus turczaninowii,¶ì¶úèÀ,5,7,7,9,NA,Betulaceae,WD
Carpinus viminea,À×¹«¶ì¶úèÀ,4,6,7,9,NA,Betulaceae,WD
Carum bretschneideri,ºÓ±±¸ğÂÆ×Ó,5,9,5,9,Carum,Apiaceae,CB
Carum buriaticum,Ìï¸ğÂÆ×Ó,6,7,8,10,NA,Apiaceae,CB
Caryopteris divaricata,İµ,7,9,7,9,NA,Verbenaceae,CB
Caryopteris incana,À¼Ïã²İ,6,10,6,10,Caryopteris,Verbenaceae,WD
Caryopteris mongholica,ÃÉ¹Åİµ,8,10,8,10,NA,Verbenaceae,WD
Caryopteris nepetifolia,µ¥»¨İµ,8,10,8,10,NA,Verbenaceae,CB
Caryopteris tangutica,¹â¹ûİµ,8,10,9,11,Caryopteris,Verbenaceae,WD
Caryopteris terniflora,Èı»¨İµ,4,5,6,7,NA,Verbenaceae,WD
Caryopteris trichosphaera,Ã«Çòİµ,8,9,8,9,Caryopteris,Verbenaceae,WD
Cassiope abbreviata,¶Ì¹£½õÌĞ»¨,5,7,NA,NA,Cassiope,Ericaceae,WD
Castanea mollissima,Àõ,4,6,8,10,NA,Fagaceae,WD
Castanea seguinii,Ã©Àõ,5,5,9,10,NA,Fagaceae,WD
Catabrosa aquatica,ÑØ¹µ²İ,4,8,NA,NA,Catabrosa,Poaceae,CB
Catabrosa aquatica var. angusta,Õ­ÑØ¹µ²İ,4,9,4,9,NA,Poaceae,CB
Catalpa bungei,é±,5,6,6,10,NA,Bignoniaceae,WD
Catalpa fargesii,»Òé±,3,5,6,11,NA,Bignoniaceae,WD
Catalpa ovata,è÷,5,6,8,10,NA,Bignoniaceae,WD
Caulophyllum robustum,ºìÃ«Ê¿,5,6,7,9,Caulophyllum,Berberidaceae,CB
Cayratia japonica var. pseudotrifolia,¼âÒ¶ÎÚİüİ®,5,8,9,10,NA,Vitaceae,CB
Celastrus angulatus,¿àÆ¤ÌÙ,6,6,8,10,Celastrus,Celastraceae,WD
Celastrus gemmatus,´óÑ¿ÄÏÉßÌÙ,4,9,8,10,Celastrus,Celastraceae,WD
Celastrus glaucophyllus,»ÒÒ¶ÄÏÉßÌÙ,3,6,9,10,Celastrus,Celastraceae,WD
Celastrus hypoleucus,·Û±³ÄÏÉßÌÙ,5,6,9,10,Celastrus,Celastraceae,WD
Celastrus orbiculatus,ÄÏÉßÌÙ,5,6,7,10,NA,Celastraceae,WD
Celastrus rosthornianus,¶Ì¹£ÄÏÉßÌÙ,4,5,8,10,Celastrus,Celastraceae,WD
Celastrus rosthornianus var. loeseneri,¿íÒ¶¶Ì¹£ÄÏÉßÌÙ,NA,NA,NA,NA,NA,Celastraceae,WD
Celastrus rugosus,ÖåÒ¶ÄÏÉßÌÙ,5,6,8,10,NA,Celastraceae,WD
Celastrus vaniotii,³¤ĞòÄÏÉßÌÙ,5,7,9,9,Celastrus,Celastraceae,WD
Celtis biondii,×Ïµ¯Ê÷,4,5,9,10,Celtis,Ulmaceae,WD
Celtis bungeana,ºÚµ¯Ê÷,4,5,10,11,NA,Ulmaceae,WD
Celtis julianae,Éºº÷ÆÓ,3,4,9,10,NA,Ulmaceae,WD
Celtis koraiensis,´óÒ¶ÆÓ,4,5,9,10,NA,Ulmaceae,WD
Celtis sinensis,ÆÓÊ÷,3,4,9,10,Celtis,Ulmaceae,WD
Celtis tetrandra,ËÄÈïÆÓ,3,4,9,10,Celtis,Ulmaceae,WD
Centaurium pulchellum,ÃÀÀö°×½ğ»¨,5,7,5,7,Centaurium,Gentianaceae,CB
Centaurium pulchellum var. altaicum,°×½ğ»¨,NA,NA,NA,NA,NA,Gentianaceae,CB
Cephalanthera erecta,ÒøÀ¼,4,6,8,9,Cephalanthera,Orchidaceae,CB
Cephalanthera falcata,½ğÀ¼,4,5,8,9,Cephalanthera,Orchidaceae,CB
Cephalanthera longifolia,Í·ÈïÀ¼,5,6,9,10,Cephalanthera,Orchidaceae,CB
Cerastium arvense,¾í¶ú,5,6,7,8,NA,Caryophyllaceae,CB
Cerastium falcatum,ÅûÕëÒ¶¾í¶ú,6,8,8,9,Cerastium,Caryophyllaceae,CB
Cerastium fontanum,Ï²Èª¾í¶ú,5,6,6,7,Cerastium,Caryophyllaceae,CB
Cerastium fontanum subsp. vulgare,´ØÉúÈª¾í¶ú,5,6,6,7,NA,Caryophyllaceae,CB
Cerastium furcatum,ÔµÃ«¾í¶ú,5,8,8,9,Cerastium,Caryophyllaceae,CB
Cerastium limprichtii,ÍÖÔ²Ò¶¾í¶ú,7,9,7,9,Cerastium,Caryophyllaceae,CB
Cerastium pusillum,É½¾í¶ú,7,8,8,9,Cerastium,Caryophyllaceae,CB
Cerastium szechuense,ËÄ´¨¾í¶ú,NA,NA,NA,NA,NA,Caryophyllaceae,CB
Cerasus clarofolia,Î¢Ã«Ó£ÌÒ,4,6,6,7,Cerasus,Rosaceae,WD
Cerasus conadenia,×¶ÏÙÓ£ÌÒ,5,5,7,7,Cerasus,Rosaceae,WD
Cerasus dictyoneura,Ã«Ò¶Å·Àî,4,5,7,9,Cerasus,Rosaceae,WD
Cerasus discadenia,ÅÌÏÙÓ£ÌÒ,5,5,7,7,NA,Rosaceae,WD
Cerasus dolichadenia,³¤ÏÙÓ£ÌÒ,7,7,8,8,Cerasus,Rosaceae,WD
Cerasus glandulosa,ÂóÀî,3,4,5,8,NA,Rosaceae,WD
Cerasus japonica var. nakaii,³¤¹£ÓôÀî,5,5,6,7,NA,Rosaceae,WD
Cerasus pleiocerasus,µñºËÓ£ÌÒ,6,7,8,9,Cerasus,Rosaceae,WD
Cerasus polytricha,¶àÃ«Ó£ÌÒ,4,5,6,7,Cerasus,Rosaceae,WD
Cerasus pseudocerasus,Ó£ÌÒ,3,4,5,6,NA,Rosaceae,WD
Cerasus setulosa,´ÌÃ«Ó£ÌÒ,4,6,6,8,Cerasus,Rosaceae,WD
Cerasus stipulacea,ÍĞÒ¶Ó£ÌÒ,5,6,7,8,NA,Rosaceae,WD
Cerasus szechuanica,ËÄ´¨Ó£ÌÒ,4,6,6,8,Cerasus,Rosaceae,WD
Cerasus tatsienensis,¿µ¶¨Ó£ÌÒ,4,6,6,7,Cerasus,Rosaceae,WD
Cerasus tomentosa,Ã«Ó£ÌÒ,4,5,6,7,NA,Rosaceae,WD
Cerasus trichostoma,´¨Î÷Ó£ÌÒ,5,6,7,10,Cerasus,Rosaceae,WD
Cerasus yunnanensis,ÔÆÄÏÓ£ÌÒ,3,5,5,6,NA,Rosaceae,WD
Ceratocarpus arenarius,½Ç¹ûŞ¼,4,7,4,7,Ceratocarpus,Chenopodiaceae,CB
Ceratophyllum demersum,½ğÓãÔå,9,11,9,11,NA,Ceratophyllaceae,CB
Ceratostigma minus,Ğ¡À¶Ñ©»¨,7,10,10,11,Ceratostigma,Plumbaginaceae,WD
Ceratostigma minus f. lasaense,À­ÈøĞ¡À¶Ñ©»¨,NA,NA,NA,NA,NA,Plumbaginaceae,WD
Ceratostigma willmottianum,áº½­À¶Ñ©»¨,6,10,7,11,Ceratostigma,Plumbaginaceae,WD
Cercidiphyllum japonicum,Á¬ÏãÊ÷,4,4,8,8,Cercidiphyllum,Cercidiphyllaceae,WD
Cercis chinensis,×Ï¾£,3,4,8,10,NA,Fabaceae,WD
Cercis glabra,ºş±±×Ï¾£,3,4,9,11,Cercis,Fabaceae,WD
Chaenomeles cathayensis,Ä¾¹Ïº£ÌÄ,3,5,9,10,NA,Rosaceae,WD
Chaenomeles sinensis,Ä¾¹Ï,9,10,9,10,NA,Rosaceae,WD
Chaenomeles speciosa,Ìù¹£º£ÌÄ,3,5,9,10,NA,Rosaceae,WD
Chaetoseris roborowskii,´¨¸ÊÃ«ÁÛ¾Õ,7,9,7,9,Chaetoseris,Asteraceae,CB
Chamaerhodos erecta,µØÇ¾Ş±,6,8,6,8,Chamaerhodos,Rosaceae,CB
Chamaerhodos sabulosa,É°ÉúµØÇ¾Ş±,6,7,8,9,Chamaerhodos,Rosaceae,CB
Chamaesium novemjugum,´ÖÖ¦°«ÔóÇÛ,6,8,8,9,NA,Apiaceae,CB
Chamaesium paradoxum,°«ÔóÇÛ,7,9,7,9,Chamaesium,Apiaceae,CB
Chamaesium thalictrifolium,ËÉÅË°«ÔóÇÛ,7,8,7,8,Chamaesium,Apiaceae,CB
Chamerion angustifolium,ÁøÀ¼,6,9,8,10,NA,Onagraceae,CB
Chamerion angustifolium subsp. circumvagum,Ã«ÂöÁøÀ¼,7,9,8,10,NA,Onagraceae,CB
Changnienia amoena,¶À»¨À¼,4,4,NA,NA,Changnienia,Orchidaceae,CB
Chelidonium majus,°×Çü²Ë,4,5,5,7,NA,Papaveraceae,CB
Chelonopsis giraldii,Ğ¡Ò¶Áå×ÓÏã,10,10,NA,NA,Chelonopsis,Lamiaceae,WD
Chenopodium acuminatum,¼âÍ·Ò¶Ş¼,10,10,NA,NA,NA,Chenopodiaceae,CB
Chenopodium album,Ş¼,5,10,5,10,NA,Chenopodiaceae,CB
Chenopodium glaucum,»ÒÂÌŞ¼,5,10,5,10,Chenopodium,Chenopodiaceae,CB
Chenopodium gracilispicum,Ï¸ËëŞ¼,7,7,8,8,Chenopodium,Chenopodiaceae,CB
Chenopodium iljinii,Ğ¡°×Ş¼,8,10,8,10,Chenopodium,Chenopodiaceae,CB
Chenopodium karoi,Æ½ÎÔŞ¼,8,9,8,9,NA,Chenopodiaceae,CB
Chenopodium rubrum,ºìÒ¶Ş¼,8,10,8,10,Chenopodium,Chenopodiaceae,CB
Chenopodium strictum,Ô²Í·Ş¼,7,9,7,9,Chenopodium,Chenopodiaceae,CB
Chenopodium urbicum,ÊĞŞ¼,8,9,10,10,Chenopodium,Chenopodiaceae,CB
Chesniella ferganensis,¸ÊËàºµÈ¸¶¹,7,7,8,8,NA,Fabaceae,CB
Chimaphila japonica,Ï²¶¬²İ,6,8,9,10,NA,Ericaceae,WD
Chimonanthus praecox,À¯Ã·,11,´ÎÄê2,3,10,NA,Calycanthaceae,WD
Chimonobambusa purpurea,´ÌºÚÖñ,4,12,NA,NA,Chimonobambusa,Poaceae,WD
Chionanthus retusus,Á÷ËÕÊ÷,3,6,6,11,NA,Oleaceae,WD
Chirita skogiana,Ë¹ÊÏ´½ÖùÜÄÌ¦,4,4,NA,NA,NA,Gesneriaceae,CB
Chloranthus henryi,¿íÒ¶½ğËÚÀ¼,4,7,7,8,Chloranthus,Chloranthaceae,CB
Chloranthus henryi var. hupehensis,ºş±±½ğËÚÀ¼,5,6,NA,NA,NA,Chloranthaceae,CB
Chloranthus japonicus,ÒøÏß²İ,4,5,5,7,Chloranthus,Chloranthaceae,CB
Chloranthus multistachys,¶àËë½ğËÚÀ¼,5,7,8,10,Chloranthus,Chloranthaceae,CB
Choerospondias axillaris var. pubinervis,Ã«ÂöÄÏËáÔæ,3,4,7,9,NA,Anacardiaceae,WD
Chorispora tenella,Àë×Ó½æ,4,6,5,8,NA,Brassicaceae,CB
Christolea villosa,ÈáÃ«¸ßÔ­½æ,6,6,NA,NA,NA,Brassicaceae,CB
Chrysanthemum chanetii,Ğ¡ºì¾Õ,7,10,7,10,NA,Asteraceae,CB
Chrysanthemum glabriusculum,ÄâÑÇ¾Õ,9,10,NA,NA,NA,Asteraceae,CB
Chrysanthemum indicum,Ò°¾Õ,6,11,6,11,NA,Asteraceae,CB
Chrysanthemum lavandulifolium,¸Ê¾Õ,5,11,5,11,NA,Asteraceae,CB
Chrysanthemum naktongense,Ğ¨Ò¶¾Õ,7,8,7,8,NA,Asteraceae,CB
Chrysanthemum oreastrum,Ğ¡É½¾Õ,6,8,6,8,NA,Asteraceae,CB
Chrysanthemum zawadskii,×Ï»¨Ò°¾Õ,7,9,7,9,NA,Asteraceae,CB
Chrysopogon aciculatus,Öñ½Ú²İ,6,10,6,10,Chrysopogon,Poaceae,CB
